optS0 = -1374.17495016
tdS0 = -1374.07973061
optS1 = -1374.08901783
optR1 = -1374.0834649

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.3342    1.3309    1.3285
  R2         R(1,5)    1.3897    1.4127    1.4093
  R3        R(1,19)    1.5549    1.5449    1.5468
  R4         R(2,3)    1.4173    1.4259    1.4254
  R5        R(2,21)    1.0882    1.0876    1.0873
  R6         R(3,4)    1.3956    1.4096    1.4089
  R7        R(3,30)    1.4721    1.4545    1.4569
  R8         R(4,5)    1.4148    1.4054    1.4035
  R9        R(4,22)    1.0864    1.0844    1.0844
 R10        R(5,12)    1.4055    1.4219    1.4434
 R11         R(6,7)    1.3926    1.3924    1.3894
 R12        R(6,11)    1.4032    1.4063    1.4157
 R13        R(6,23)    1.0908    1.0913    1.0871
 R14         R(7,8)    1.3954    1.3960    1.3963
 R15        R(7,24)    1.0902    1.0906    1.0905
 R16         R(8,9)    1.3955    1.3956    1.3963
 R17        R(8,25)    1.0904    1.0904    1.0901
 R18        R(9,10)    1.3926    1.3929    1.3894
 R19        R(9,26)    1.0902    1.0906    1.0905
 R20       R(10,11)    1.4030    1.4057    1.4157
 R21       R(10,27)    1.0907    1.0908    1.0872
 R22       R(11,12)    1.4779    1.4727    1.4527
 R23       R(12,13)    1.4055    1.4225    1.4434
 R24       R(13,14)    1.4149    1.4049    1.4036
 R25       R(13,17)    1.3891    1.4108    1.4093
 R26       R(14,15)    1.3955    1.4094    1.4089
 R27       R(14,28)    1.0866    1.0851    1.0844
 R28       R(15,16)    1.4174    1.4266    1.4254
 R29       R(15,41)    1.4720    1.4544    1.4569
 R30       R(16,17)    1.3343    1.3307    1.3284
 R31       R(16,29)    1.0882    1.0876    1.0873
 R32       R(17,19)    1.5537    1.5430    1.5468
 R33       R(18,19)    1.3919    1.3930    1.3877
 R34       R(19,20)    1.3954    1.4004    1.3947
 R35       R(30,31)    1.4029    1.4093    1.4083
 R36       R(30,32)    1.4030    1.4099    1.4088
 R37       R(31,33)    1.3927    1.3897    1.3900
 R38       R(31,36)    1.0912    1.0903    1.0904
 R39       R(32,34)    1.3932    1.3896    1.3901
 R40       R(32,37)    1.0913    1.0903    1.0903
 R41       R(33,35)    1.3959    1.3975    1.3973
 R42       R(33,38)    1.0906    1.0903    1.0904
 R43       R(34,35)    1.3953    1.3975    1.3970
 R44       R(34,39)    1.0906    1.0903    1.0903
 R45       R(35,40)    1.0904    1.0904    1.0903
 R46       R(41,42)    1.4029    1.4093    1.4089
 R47       R(41,43)    1.4030    1.4099    1.4083
 R48       R(42,44)    1.3928    1.3897    1.3901
 R49       R(42,47)    1.0913    1.0903    1.0903
 R50       R(43,45)    1.3932    1.3895    1.3900
 R51       R(43,48)    1.0912    1.0903    1.0904
 R52       R(44,46)    1.3958    1.3975    1.3971
 R53       R(44,49)    1.0906    1.0904    1.0903
 R54       R(45,46)    1.3953    1.3976    1.3973
 R55       R(45,50)    1.0906    1.0903    1.0904
 R56       R(46,51)    1.0904    1.0903    1.0903
  A1       A(2,1,5)  108.2742  108.7072  109.2659
  A2      A(2,1,19)  125.4558  125.0399  128.2185
  A3      A(5,1,19)  125.7426  125.4337  122.5143
  A4       A(1,2,3)  110.5199  110.0223  109.6745
  A5      A(1,2,21)  120.4690  120.3511  120.3406
  A6      A(3,2,21)  128.9851  129.5876  129.9764
  A7       A(2,3,4)  105.8072  106.0397  106.0122
  A8      A(2,3,30)  126.0100  125.6288  125.8530
  A9      A(4,3,30)  128.1783  128.3269  128.1341
 A10       A(3,4,5)  107.5207  107.6499  107.8669
 A11      A(3,4,22)  127.2255  127.1362  126.5491
 A12      A(5,4,22)  125.2509  125.2070  125.4136
 A13       A(1,5,4)  107.8712  107.5603  107.1771
 A14      A(1,5,12)  120.9205  120.5820  119.5287
 A15      A(4,5,12)  131.2064  131.8373  132.8722
 A16      A(7,6,11)  120.1255  120.7125  121.3283
 A17      A(7,6,23)  120.2585  119.9536  118.5471
