optS0 = -1374.17495016
tdS0 = -1374.07973061
optS1 = -1374.08901783
optR1 = -1374.0834649

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52132  2.51504  2.51047
  R2         R(1,5)  2.62618  2.66964  2.66312
  R3        R(1,19)  2.93833  2.91943  2.92295
  R4         R(2,3)  2.67835  2.69465  2.69362
  R5        R(2,21)  2.05642  2.05535  2.05462
  R6         R(3,4)  2.63738  2.66378  2.66244
  R7        R(3,30)  2.78178  2.74863  2.75314
  R8         R(4,5)  2.67366  2.65576  2.65232
  R9        R(4,22)  2.05302  2.04925  2.04931
 R10        R(5,12)  2.65600  2.68698  2.72754
 R11         R(6,7)  2.63169  2.63119  2.62560
 R12        R(6,11)  2.65161  2.65751  2.67529
 R13        R(6,23)  2.06132  2.06226  2.05437
 R14         R(7,8)  2.63693  2.63797  2.63855
 R15        R(7,24)  2.06014  2.06096  2.06078
 R16         R(8,9)  2.63711  2.63724  2.63864
 R17        R(8,25)  2.06062  2.06056  2.05993
 R18        R(9,10)  2.63169  2.63216  2.62559
 R19        R(9,26)  2.06011  2.06094  2.06078
 R20       R(10,11)  2.65133  2.65647  2.67537
 R21       R(10,27)  2.06121  2.06126  2.05444
 R22       R(11,12)  2.79276  2.78309  2.74512
 R23       R(12,13)  2.65601  2.68815  2.72765
 R24       R(13,14)  2.67375  2.65495  2.65234
 R25       R(13,17)  2.62497  2.66606  2.66327
 R26       R(14,15)  2.63711  2.66330  2.66250
 R27       R(14,28)  2.05337  2.05055  2.04923
 R28       R(15,16)  2.67856  2.69595  2.69368
 R29       R(15,41)  2.78160  2.74848  2.75311
 R30       R(16,17)  2.52142  2.51471  2.51036
 R31       R(16,29)  2.05635  2.05519  2.05464
 R32       R(17,19)  2.93607  2.91579  2.92303
 R33       R(18,19)  2.63023  2.63233  2.62243
 R34       R(19,20)  2.63690  2.64639  2.63554
 R35       R(30,31)  2.65118  2.66324  2.66125
 R36       R(30,32)  2.65127  2.66429  2.66233
 R37       R(31,33)  2.63185  2.62610  2.62674
 R38       R(31,36)  2.06205  2.06029  2.06048
 R39       R(32,34)  2.63285  2.62588  2.62685
 R40       R(32,37)  2.06217  2.06040  2.06046
 R41       R(33,35)  2.63781  2.64089  2.64046
 R42       R(33,38)  2.06102  2.06045  2.06051
 R43       R(34,35)  2.63672  2.64088  2.64002
 R44       R(34,39)  2.06102  2.06031  2.06042
 R45       R(35,40)  2.06060  2.06048  2.06046
 R46       R(41,42)  2.65111  2.66320  2.66234
 R47       R(41,43)  2.65130  2.66430  2.66133
 R48       R(42,44)  2.63207  2.62613  2.62684
 R49       R(42,47)  2.06218  2.06042  2.06046
 R50       R(43,45)  2.63278  2.62572  2.62674
 R51       R(43,48)  2.06216  2.06045  2.06047
 R52       R(44,46)  2.63766  2.64087  2.64010
 R53       R(44,49)  2.06100  2.06047  2.06041
 R54       R(45,46)  2.63681  2.64100  2.64044
 R55       R(45,50)  2.06097  2.06029  2.06054
 R56       R(46,51)  2.06060  2.06045  2.06046
  A1       A(2,1,5)  1.88974  1.89730  1.90705
  A2      A(2,1,19)  2.18962  2.18236  2.23783
  A3      A(5,1,19)  2.19462  2.18923  2.13828
  A4       A(1,2,3)  1.92894  1.92025  1.91418
  A5      A(1,2,21)  2.10258  2.10052  2.10034
  A6      A(3,2,21)  2.25121  2.26173  2.26852
  A7       A(2,3,4)  1.84668  1.85074  1.85026
  A8      A(2,3,30)  2.19929  2.19264  2.19655
  A9      A(4,3,30)  2.23713  2.23973  2.23636
 A10       A(3,4,5)  1.87659  1.87885  1.88263
 A11      A(3,4,22)  2.22050  2.21894  2.20870
 A12      A(5,4,22)  2.18604  2.18527  2.18888
 A13       A(1,5,4)  1.88271  1.87728  1.87059
 A14      A(1,5,12)  2.11046  2.10455  2.08617
 A15      A(4,5,12)  2.28998  2.30099  2.31906
 A16      A(7,6,11)  2.09659  2.10683  2.11758
 A17      A(7,6,23)  2.09891  2.09359  2.06904
 A18     A(11,6,23)  2.08736  2.08256  2.09596
 A19       A(6,7,8)  2.09708  2.09896  2.10619
 A20      A(6,7,24)  2.08824  2.08745  2.08058
 A21      A(8,7,24)  2.09787  2.09674  2.09635
 A22       A(7,8,9)  2.09381  2.08705  2.07610
 A23      A(7,8,25)  2.09476  2.09814  2.10339
 A24      A(9,8,25)  2.09462  2.09799  2.10339
 A25      A(8,9,10)  2.09735  2.09999  2.10619
 A26      A(8,9,26)  2.09775  2.09645  2.09634
 A27     A(10,9,26)  2.08808  2.08670  2.08058
 A28     A(9,10,11)  2.09634  2.10578  2.11755
 A29     A(9,10,27)  2.09820  2.09042  2.06907
 A30    A(11,10,27)  2.08823  2.08653  2.09596
 A31     A(6,11,10)  2.08510  2.06772  2.04099
 A32     A(6,11,12)  2.09632  2.09829  2.12030
 A33    A(10,11,12)  2.10175  2.11713  2.12014
 A34     A(5,12,11)  2.10003  2.12235  2.15361
 A35     A(5,12,13)  2.09108  2.06327  1.97182
 A36    A(11,12,13)  2.09202  2.09590  2.15399
 A37    A(12,13,14)  2.28489  2.28688  2.31943
 A38    A(12,13,17)  2.11288  2.11372  2.08594
 A39    A(14,13,17)  1.88289  1.87894  1.87050
 A40    A(13,14,15)  1.87636  1.87803  1.88270
 A41    A(13,14,28)  2.18447  2.17966  2.18894
 A42    A(15,14,28)  2.22144  2.22392  2.20861
 A43    A(14,15,16)  1.84695  1.85066  1.85021
 A44    A(14,15,41)  2.23534  2.24060  2.23660
 A45    A(16,15,41)  2.20088  2.19192  2.19636
 A46    A(15,16,17)  1.92835  1.91951  1.91422
 A47    A(15,16,29)  2.25173  2.26195  2.26864
 A48    A(17,16,29)  2.10306  2.10161  2.10019
 A49    A(13,17,16)  1.89021  1.89756  1.90709
 A50    A(13,17,19)  2.19619  2.18691  2.13847
 A51    A(16,17,19)  2.19672  2.19628  2.23760
 A52     A(1,19,17)  1.84289  1.82618  1.78541
 A53     A(1,19,18)  1.93110  1.93460  1.93221
 A54     A(1,19,20)  1.91579  1.92270  1.92987
 A55    A(17,19,18)  1.92556  1.93408  1.93218
 A56    A(17,19,20)  1.92372  1.92771  1.92987
 A57    A(18,19,20)  1.92339  1.91709  1.94818
 A58     A(3,30,31)  2.10476  2.10334  2.10413
 A59     A(3,30,32)  2.10884  2.11388  2.11273
