From fa scan:
Fixed   = D(6,11,12,13), S, 55, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.171344 -1374.089018 -49.3879  -47.86480
-1374.171300 -1374.089012 -48.3879  -47.19820
-1374.171240 -1374.088995 -47.3880  -46.53590
-1374.171164 -1374.088967 -46.3879  -45.86745
-1374.171073 -1374.088926 -45.3880  -45.22180
-1374.170968 -1374.088873 -44.3880  -44.57730
-1374.170846 -1374.088808 -43.3880  -43.94040
-1374.170709 -1374.088729 -42.3880  -43.30915
-1374.170555 -1374.088638 -41.3880  -42.67995
-1374.170384 -1374.088534 -40.3880  -42.05440
-1374.170195 -1374.088416 -39.3880  -41.43215
-1374.169990 -1374.088286 -38.3880  -40.81210
-1374.169767 -1374.088142 -37.3880  -40.19385
-1374.169527 -1374.087984 -36.3880  -39.57850
-1374.169269 -1374.087813 -35.3880  -38.96680
-1374.168993 -1374.087628 -34.3880  -38.35730
-1374.168698 -1374.087430 -33.3880  -37.75035
-1374.168385 -1374.087217 -32.3880  -37.14700
-1374.168054 -1374.086990 -31.3880  -36.54705
-1374.167705 -1374.086749 -30.3880  -35.95015
-1374.167337 -1374.086494 -29.3880  -35.35490
-1374.166950 -1374.086224 -28.3880  -34.76185
-1374.166545 -1374.085939 -27.3880  -34.17145
-1374.166122 -1374.085639 -26.3880  -33.58200
-1374.165680 -1374.085324 -25.3880  -32.99150
-1374.165220 -1374.084995 -24.3880  -32.40045
-1374.164741 -1374.084650 -23.3880  -31.80895
-1374.164243 -1374.084291 -22.3880  -31.21430
-1374.163725 -1374.083917 -21.3880  -30.61270
-1374.163187 -1374.083528 -20.3880  -30.00525
-1374.162629 -1374.083125 -19.3880  -29.39405
-1374.162049 -1374.082707 -18.3880  -28.77640
-1374.161448 -1374.082276 -17.3880  -28.14695
-1374.160801 -1374.081830 -16.3881  -27.47845
-1374.160147 -1374.081371 -15.3880  -26.82950
-1374.159456 -1374.080898 -14.3880  -26.14610
-1374.158693 -1374.080413 -13.3880  -25.38925
-1374.149299 -1374.083336 -12.3878   -6.63505
-1374.149239 -1374.083370 -11.3880   -5.73215
-1374.149200 -1374.083401 -10.3880   -4.80265
-1374.149176 -1374.083428  -9.3880   -3.94580
-1374.149158 -1374.083449  -8.3880   -3.08115
-1374.149155 -1374.083466  -7.3880   -2.22395
-1374.149161 -1374.083478  -6.3880   -1.37190
-1374.149176 -1374.083484  -5.3880   -0.52760
-1374.149198 -1374.083486  -4.3880    0.30780
-1374.149225 -1374.083483  -3.3880    1.13945
-1374.149258 -1374.083475  -2.3880    1.96760
-1374.149300 -1374.083462  -1.3880    2.78600
-1374.149349 -1374.083443  -0.3880    3.59995
-1374.149402 -1374.083420   0.6120    4.42315
-1374.149463 -1374.083393   1.6120    5.26480
-1374.149534 -1374.083361   2.6120    6.12175
-1374.149615 -1374.083327   3.6120    6.98730
-1374.149706 -1374.083289   4.6120    7.85370
-1374.149805 -1374.083249   5.6120    8.72245

From fb scan:
Fixed   = D(6,11,12,13), S, 55, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.171052 -1374.088523 -59.6504  -55.36915
-1374.171129 -1374.088608 -58.6504  -54.57770
-1374.171197 -1374.088687 -57.6504  -53.79655
-1374.171258 -1374.088759 -56.6504  -53.03745
-1374.171313 -1374.088823 -55.6504  -52.30590
-1374.171357 -1374.088879 -54.6504  -51.59575
-1374.171390 -1374.088925 -53.6504  -50.89875
-1374.171410 -1374.088961 -52.6504  -50.20825
-1374.171415 -1374.088987 -51.6504  -49.51735
-1374.171405 -1374.089004 -50.6504  -48.82495
-1374.171380 -1374.089010 -49.6504  -48.13550
-1374.171340 -1374.089006 -48.6504  -47.45250
-1374.171284 -1374.088991 -47.6504  -46.77345
-1374.171213 -1374.088965 -46.6504  -46.09505
-1374.171126 -1374.088929 -45.6504  -45.41745
-1374.171024 -1374.088881 -44.6504  -44.74550
-1374.170907 -1374.088821 -43.6504  -44.08615
-1374.170776 -1374.088750 -42.6504  -43.44235
-1374.170631 -1374.088666 -41.6504  -42.81190
-1374.170470 -1374.088568 -40.6504  -42.19210
-1374.170293 -1374.088458 -39.6504  -41.58095
-1374.170100 -1374.088333 -38.6504  -40.97610
-1374.169889 -1374.088195 -37.6504  -40.37410
-1374.169659 -1374.088042 -36.6503  -39.77320
-1374.169411 -1374.087875 -35.6503  -39.17325
-1374.169146 -1374.087695 -34.6503  -38.57380
-1374.168861 -1374.087500 -33.6503  -37.97600
-1374.168559 -1374.087291 -32.6503  -37.38190
-1374.168239 -1374.087068 -31.6503  -36.79150
-1374.167900 -1374.086830 -30.6503  -36.20345
-1374.167541 -1374.086577 -29.6503  -35.61655
-1374.167164 -1374.086310 -28.6503  -35.02950
-1374.166768 -1374.086028 -27.6503  -34.44260
-1374.166353 -1374.085731 -26.6503  -33.85640
-1374.165919 -1374.085419 -25.6503  -33.27105
-1374.165467 -1374.085092 -24.6503  -32.68610
-1374.164996 -1374.084751 -23.6506  -32.09740
-1374.164503 -1374.084394 -22.6506  -31.50865
