optS0 = -1374.17536942
tdS0 = -1374.08066355
optS1 = -1374.08967756
optR1 = -1374.08405272

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52154  2.51513  2.51050
  R2         R(1,5)  2.62626  2.66967  2.66328
  R3        R(1,19)  2.93780  2.91914  2.92253
  R4         R(2,3)  2.67821  2.69493  2.69389
  R5        R(2,21)  2.05643  2.05539  2.05466
  R6         R(3,4)  2.63752  2.66342  2.66207
  R7        R(3,30)  2.78186  2.74876  2.75323
  R8         R(4,5)  2.67355  2.65612  2.65276
  R9        R(4,22)  2.05302  2.04927  2.04929
 R10        R(5,12)  2.65613  2.68685  2.72730
 R11         R(6,7)  2.63168  2.63127  2.62574
 R12        R(6,11)  2.65169  2.65744  2.67516
 R13        R(6,23)  2.06131  2.06227  2.05433
 R14         R(7,8)  2.63696  2.63799  2.63851
 R15        R(7,24)  2.06012  2.06096  2.06078
 R16         R(8,9)  2.63716  2.63727  2.63860
 R17        R(8,25)  2.06061  2.06056  2.05993
 R18        R(9,10)  2.63169  2.63223  2.62572
 R19        R(9,26)  2.06010  2.06093  2.06078
 R20       R(10,11)  2.65140  2.65642  2.67523
 R21       R(10,27)  2.06120  2.06127  2.05441
 R22       R(11,12)  2.79262  2.78341  2.74590
 R23       R(12,13)  2.65613  2.68797  2.72742
 R24       R(13,14)  2.67364  2.65534  2.65278
 R25       R(13,17)  2.62506  2.66612  2.66344
 R26       R(14,15)  2.63723  2.66293  2.66213
 R27       R(14,28)  2.05337  2.05055  2.04921
 R28       R(15,16)  2.67842  2.69619  2.69396
 R29       R(15,41)  2.78167  2.74864  2.75319
 R30       R(16,17)  2.52164  2.51483  2.51038
 R31       R(16,29)  2.05636  2.05524  2.05467
 R32       R(17,19)  2.93556  2.91554  2.92261
 R33       R(18,19)  2.63067  2.63261  2.62258
 R34       R(19,20)  2.63748  2.64696  2.63628
 R35       R(30,31)  2.65123  2.66325  2.66127
 R36       R(30,32)  2.65132  2.66429  2.66235
