From fa scan:
Fixed   = D(6,11,12,13), S, 55, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.171810 -1374.089678 -49.4377  -47.92035
-1374.171768 -1374.089672 -48.4377  -47.25355
-1374.171709 -1374.089655 -47.4378  -46.59130
-1374.171634 -1374.089627 -46.4377  -45.92250
-1374.171546 -1374.089586 -45.4378  -45.27660
-1374.171441 -1374.089533 -44.4378  -44.63170
-1374.171321 -1374.089468 -43.4378  -43.99435
-1374.171185 -1374.089389 -42.4378  -43.36285
-1374.171032 -1374.089298 -41.4378  -42.73325
-1374.170862 -1374.089194 -40.4378  -42.10740
-1374.170675 -1374.089077 -39.4378  -41.48495
-1374.170471 -1374.088947 -38.4378  -40.86455
-1374.170250 -1374.088803 -37.4378  -40.24585
-1374.170011 -1374.088645 -36.4378  -39.63020
-1374.169754 -1374.088474 -35.4378  -39.01830
-1374.169479 -1374.088290 -34.4378  -38.40840
-1374.169186 -1374.088091 -33.4378  -37.80110
-1374.168875 -1374.087879 -32.4378  -37.19770
-1374.168546 -1374.087653 -31.4378  -36.59795
-1374.168198 -1374.087412 -30.4378  -36.00080
-1374.167832 -1374.087157 -29.4378  -35.40515
-1374.167447 -1374.086887 -28.4378  -34.81190
-1374.167043 -1374.086602 -27.4378  -34.22150
-1374.166621 -1374.086303 -26.4378  -33.63150
-1374.166181 -1374.085988 -25.4378  -33.04025
-1374.165722 -1374.085659 -24.4378  -32.44895
-1374.165245 -1374.085315 -23.4378  -31.85770
-1374.164748 -1374.084956 -22.4378  -31.26265
-1374.164232 -1374.084582 -21.4378  -30.66025
-1374.163695 -1374.084194 -20.4378  -30.05275
-1374.163138 -1374.083791 -19.4378  -29.44235
-1374.162561 -1374.083374 -18.4378  -28.82470
-1374.161961 -1374.082943 -17.4378  -28.19460
-1374.161336 -1374.082497 -16.4377  -27.55475
-1374.160665 -1374.082039 -15.4379  -26.87355
-1374.159983 -1374.081566 -14.4377  -26.20820
-1374.159235 -1374.081081 -13.4379  -25.46160
-1374.149833 -1374.083926 -12.4376   -6.69865
-1374.149774 -1374.083960 -11.4377   -5.77830
-1374.149737 -1374.083990 -10.4377   -4.87535
