optS0 = -1374.1754753
tdS0  = -1374.08066983
optS1 = -1374.0898445
optR1 = -1374.08420143

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3344        1.3310        1.3285
  R2         R(1,5)        1.3898        1.4127        1.4094
  R3        R(1,19)        1.5545        1.5447        1.5465
  R4         R(2,3)        1.4172        1.4261        1.4256
  R5        R(2,21)        1.0882        1.0877        1.0873
  R6         R(3,4)        1.3957        1.4094        1.4087
  R7        R(3,30)        1.4721        1.4546        1.4570
  R8         R(4,5)        1.4148        1.4056        1.4038
  R9        R(4,22)        1.0864        1.0844        1.0844
 R10        R(5,12)        1.4056        1.4218        1.4432
 R11         R(6,7)        1.3926        1.3924        1.3895
 R12        R(6,11)        1.4032        1.4062        1.4156
 R13        R(6,23)        1.0908        1.0913        1.0871
 R14         R(7,8)        1.3954        1.3960        1.3962
 R15        R(7,24)        1.0902        1.0906        1.0905
 R16         R(8,9)        1.3955        1.3956        1.3963
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3926        1.3929        1.3895
 R19        R(9,26)        1.0902        1.0906        1.0905
 R20       R(10,11)        1.4031        1.4057        1.4157
 R21       R(10,27)        1.0907        1.0908        1.0871
 R22       R(11,12)        1.4778        1.4730        1.4532
 R23       R(12,13)        1.4056        1.4224        1.4433
 R24       R(13,14)        1.4148        1.4052        1.4038
 R25       R(13,17)        1.3891        1.4109        1.4095
 R26       R(14,15)        1.3956        1.4091        1.4087
 R27       R(14,28)        1.0866        1.0851        1.0844
 R28       R(15,16)        1.4173        1.4268        1.4256
 R29       R(15,41)        1.4720        1.4545        1.4569
 R30       R(16,17)        1.3344        1.3308        1.3284
 R31       R(16,29)        1.0882        1.0876        1.0873
 R32       R(17,19)        1.5534        1.5428        1.5465
 R33       R(18,19)        1.3921        1.3932        1.3878
 R34       R(19,20)        1.3958        1.4008        1.3952
 R35       R(30,31)        1.4030        1.4093        1.4083
 R36       R(30,32)        1.4030        1.4099        1.4089
 R37       R(31,33)        1.3927        1.3897        1.3900
 R38       R(31,36)        1.0912        1.0903        1.0904
 R39       R(32,34)        1.3933        1.3896        1.3901
 R40       R(32,37)        1.0913        1.0903        1.0903
 R41       R(33,35)        1.3959        1.3975        1.3973
 R42       R(33,38)        1.0906        1.0903        1.0904
 R43       R(34,35)        1.3953        1.3975        1.3971
 R44       R(34,39)        1.0906        1.0903        1.0903
 R45       R(35,40)        1.0904        1.0904        1.0903
 R46       R(41,42)        1.4029        1.4093        1.4089
 R47       R(41,43)        1.4030        1.4099        1.4083
 R48       R(42,44)        1.3929        1.3897        1.3901
 R49       R(42,47)        1.0913        1.0903        1.0903
 R50       R(43,45)        1.3932        1.3895        1.3900
 R51       R(43,48)        1.0912        1.0904        1.0904
 R52       R(44,46)        1.3958        1.3975        1.3971
 R53       R(44,49)        1.0906        1.0903        1.0903
 R54       R(45,46)        1.3954        1.3976        1.3973
 R55       R(45,50)        1.0906        1.0903        1.0904
 R56       R(46,51)        1.0904        1.0903        1.0903
  A1       A(2,1,5)      108.2732      108.7006      109.2665
  A2      A(2,1,19)      125.4637      125.0541      128.2214
  A3      A(5,1,19)      125.7350      125.4353      122.5112
  A4       A(1,2,3)      110.5173      110.0254      109.6749
  A5      A(1,2,21)      120.4766      120.3672      120.3555
  A6      A(3,2,21)      128.9804      129.5700      129.9613
  A7       A(2,3,4)      105.8097      106.0405      106.0147
  A8      A(2,3,30)      126.0107      125.6183      125.8440
  A9      A(4,3,30)      128.1750      128.3369      128.1406
 A10       A(3,4,5)      107.5225      107.6531      107.8737
 A11      A(3,4,22)      127.2250      127.1398      126.5375
 A12      A(5,4,22)      125.2497      125.2002      125.4187
 A13       A(1,5,4)      107.8707      107.5603      107.1667
 A14      A(1,5,12)      120.9237      120.5893      119.5322
 A15      A(4,5,12)      131.2036      131.8306      132.8861
