optS0 = -1374.1754753
tdS0 = -1374.08066983
optS1 = -1374.0898445
optR1 = -1374.08420143

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52159  2.51515  2.51051
  R2         R(1,5)  2.62629  2.66968  2.66332
  R3        R(1,19)  2.93767  2.91907  2.92243
  R4         R(2,3)  2.67818  2.69499  2.69395
  R5        R(2,21)  2.05643  2.05540  2.05467
  R6         R(3,4)  2.63755  2.66333  2.66198
  R7        R(3,30)  2.78188  2.74879  2.75325
  R8         R(4,5)  2.67353  2.65621  2.65288
  R9        R(4,22)  2.05302  2.04927  2.04928
 R10        R(5,12)  2.65616  2.68682  2.72724
 R11         R(6,7)  2.63168  2.63128  2.62577
 R12        R(6,11)  2.65170  2.65742  2.67512
 R13        R(6,23)  2.06131  2.06227  2.05432
 R14         R(7,8)  2.63697  2.63800  2.63850
 R15        R(7,24)  2.06012  2.06095  2.06078
 R16         R(8,9)  2.63717  2.63728  2.63859
 R17        R(8,25)  2.06061  2.06056  2.05993
 R18        R(9,10)  2.63169  2.63224  2.62576
 R19        R(9,26)  2.06010  2.06093  2.06078
 R20       R(10,11)  2.65142  2.65640  2.67520
 R21       R(10,27)  2.06120  2.06128  2.05440
 R22       R(11,12)  2.79259  2.78349  2.74610
 R23       R(12,13)  2.65616  2.68792  2.72736
 R24       R(13,14)  2.67361  2.65544  2.65289
 R25       R(13,17)  2.62508  2.66613  2.66348
 R26       R(14,15)  2.63727  2.66283  2.66204
 R27       R(14,28)  2.05337  2.05055  2.04920
 R28       R(15,16)  2.67839  2.69624  2.69402
 R29       R(15,41)  2.78169  2.74868  2.75321
 R30       R(16,17)  2.52169  2.51486  2.51039
 R31       R(16,29)  2.05636  2.05525  2.05468
 R32       R(17,19)  2.93542  2.91547  2.92251
 R33       R(18,19)  2.63078  2.63269  2.62262
 R34       R(19,20)  2.63763  2.64711  2.63646
 R35       R(30,31)  2.65124  2.66325  2.66128
 R36       R(30,32)  2.65134  2.66429  2.66235
 R37       R(31,33)  2.63191  2.62616  2.62679
 R38       R(31,36)  2.06204  2.06030  2.06049
 R39       R(32,34)  2.63292  2.62597  2.62693
 R40       R(32,37)  2.06217  2.06040  2.06046
 R41       R(33,35)  2.63787  2.64094  2.64052
 R42       R(33,38)  2.06102  2.06045  2.06050
 R43       R(34,35)  2.63678  2.64090  2.64006
 R44       R(34,39)  2.06102  2.06030  2.06041
 R45       R(35,40)  2.06060  2.06047  2.06046
 R46       R(41,42)  2.65117  2.66319  2.66236
 R47       R(41,43)  2.65136  2.66428  2.66137
 R48       R(42,44)  2.63214  2.62620  2.62692
 R49       R(42,47)  2.06218  2.06043  2.06046
 R50       R(43,45)  2.63284  2.62582  2.62679
 R51       R(43,48)  2.06216  2.06046  2.06048
 R52       R(44,46)  2.63773  2.64092  2.64014
 R53       R(44,49)  2.06099  2.06046  2.06040
 R54       R(45,46)  2.63687  2.64102  2.64051
 R55       R(45,50)  2.06098  2.06029  2.06053
 R56       R(46,51)  2.06060  2.06045  2.06046
  A1       A(2,1,5)  1.88972  1.89718  1.90706
  A2      A(2,1,19)  2.18975  2.18261  2.23789
  A3      A(5,1,19)  2.19449  2.18926  2.13822
  A4       A(1,2,3)  1.92889  1.92031  1.91419
  A5      A(1,2,21)  2.10271  2.10081  2.10060
  A6      A(3,2,21)  2.25113  2.26142  2.26825
  A7       A(2,3,4)  1.84673  1.85076  1.85031
  A8      A(2,3,30)  2.19930  2.19245  2.19639
  A9      A(4,3,30)  2.23708  2.23990  2.23648
 A10       A(3,4,5)  1.87662  1.87890  1.88275
 A11      A(3,4,22)  2.22049  2.21901  2.20850
 A12      A(5,4,22)  2.18602  2.18516  2.18897
 A13       A(1,5,4)  1.88270  1.87728  1.87041
 A14      A(1,5,12)  2.11052  2.10468  2.08623
 A15      A(4,5,12)  2.28994  2.30088  2.31930
 A16      A(7,6,11)  2.09654  2.10678  2.11766
 A17      A(7,6,23)  2.09877  2.09345  2.06865
 A18     A(11,6,23)  2.08754  2.08275  2.09627
 A19       A(6,7,8)  2.09707  2.09892  2.10619
 A20      A(6,7,24)  2.08822  2.08746  2.08049
 A21      A(8,7,24)  2.09790  2.09677  2.09642
 A22       A(7,8,9)  2.09386  2.08711  2.07601
 A23      A(7,8,25)  2.09474  2.09811  2.10344
 A24      A(9,8,25)  2.09459  2.09796  2.10344
 A25      A(8,9,10)  2.09735  2.09994  2.10619
 A26      A(8,9,26)  2.09777  2.09649  2.09642
 A27     A(10,9,26)  2.08806  2.08671  2.08050
 A28     A(9,10,11)  2.09629  2.10573  2.11763
 A29     A(9,10,27)  2.09808  2.09033  2.06869
 A30    A(11,10,27)  2.08840  2.08668  2.09626
 A31     A(6,11,10)  2.08517  2.06785  2.04090
 A32     A(6,11,12)  2.09630  2.09836  2.12033
 A33    A(10,11,12)  2.10170  2.11693  2.12016
 A34     A(5,12,11)  2.10012  2.12205  2.15335
 A35     A(5,12,13)  2.09088  2.06352  1.97234
 A36    A(11,12,13)  2.09213  2.09597  2.15374
 A37    A(12,13,14)  2.28485  2.28701  2.31969
 A38    A(12,13,17)  2.11294  2.11370  2.08600
 A39    A(14,13,17)  1.88288  1.87891  1.87032
 A40    A(13,14,15)  1.87639  1.87809  1.88282
 A41    A(13,14,28)  2.18447  2.17964  2.18902
 A42    A(15,14,28)  2.22142  2.22392  2.20841
 A43    A(14,15,16)  1.84700  1.85069  1.85024
 A44    A(14,15,41)  2.23526  2.24080  2.23673
 A45    A(16,15,41)  2.20091  2.19169  2.19620
 A46    A(15,16,17)  1.92829  1.91957  1.91423
 A47    A(15,16,29)  2.25162  2.26160  2.26838
 A48    A(17,16,29)  2.10322  2.10190  2.10045
 A49    A(13,17,16)  1.89019  1.89743  1.90710
 A50    A(13,17,19)  2.19604  2.18696  2.13842
 A51    A(16,17,19)  2.19688  2.19634  2.23764
 A52     A(1,19,17)  1.84333  1.82691  1.78616
 A53     A(1,19,18)  1.93126  1.93472  1.93253
 A54     A(1,19,20)  1.91589  1.92269  1.92973
 A55    A(17,19,18)  1.92573  1.93422  1.93250
 A56    A(17,19,20)  1.92380  1.92760  1.92972
 A57    A(18,19,20)  1.92249  1.91628  1.94723
 A58     A(3,30,31)  2.10470  2.10320  2.10398
 A59     A(3,30,32)  2.10885  2.11391  2.11274
 A60    A(31,30,32)  2.06963  2.06608  2.06646
 A61    A(30,31,33)  2.10640  2.10691  2.10706
 A62    A(30,31,36)  2.08933  2.09006  2.09057
 A63    A(33,31,36)  2.08732  2.08619  2.08551
 A64    A(30,32,34)  2.10622  2.10679  2.10667
 A65    A(30,32,37)  2.09247  2.09533  2.09476
 A66    A(34,32,37)  2.08438  2.08103  2.08171
 A67    A(31,33,35)  2.09920  2.09896  2.09889
 A68    A(31,33,38)  2.08764  2.08876  2.08852
 A69    A(35,33,38)  2.09633  2.09547  2.09578
 A70    A(32,34,35)  2.09915  2.09893  2.09907
 A71    A(32,34,39)  2.08736  2.08814  2.08793
 A72    A(35,34,39)  2.09665  2.09611  2.09618
 A73    A(33,35,34)  2.08576  2.08870  2.08821
 A74    A(33,35,40)  2.09871  2.09732  2.09758
 A75    A(34,35,40)  2.09872  2.09717  2.09739
 A76    A(15,41,42)  2.10356  2.10321  2.11255
 A77    A(15,41,43)  2.10964  2.11358  2.10425
 A78    A(42,41,43)  2.06999  2.06639  2.06638
 A79    A(41,42,44)  2.10628  2.10664  2.10678
 A80    A(41,42,47)  2.08847  2.08961  2.09478
 A81    A(44,42,47)  2.08831  2.08689  2.08160
 A82    A(41,43,45)  2.10595  2.10672  2.10705
 A83    A(41,43,48)  2.09228  2.09475  2.09077
 A84    A(45,43,48)  2.08481  2.08168  2.08534
 A85    A(42,44,46)  2.09896  2.09896  2.09903
 A86    A(42,44,49)  2.08790  2.08889  2.08797
 A87    A(46,44,49)  2.09630  2.09534  2.09619
 A88    A(43,45,46)  2.09913  2.09878  2.09895
 A89    A(43,45,50)  2.08750  2.08828  2.08847
 A90    A(46,45,50)  2.09654  2.09612  2.09576
 A91    A(44,46,45)  2.08605  2.08887  2.08818
 A92    A(44,46,51)  2.09859  2.09726  2.09743
 A93    A(45,46,51)  2.09854  2.09705  2.09758
  D1     D(5,1,2,3) -0.00191 -0.01343 -0.00013
  D2    D(5,1,2,21) -3.11410 -3.11981 -3.12520
  D3    D(19,1,2,3)  3.00068  2.95603 -3.13565
  D4   D(19,1,2,21) -0.11151 -0.15035  0.02247
  D5     D(2,1,5,4)  0.01016  0.02379 -0.00614
  D6    D(2,1,5,12) -3.13944 -3.09279 -3.03488
  D7    D(19,1,5,4) -2.99196 -2.94486  3.12979
  D8   D(19,1,5,12)  0.14162  0.22175  0.10105
  D9   D(2,1,19,17)  3.09908  2.93053  2.48031
 D10   D(2,1,19,18)  1.01507  0.84425  0.42013
 D11   D(2,1,19,20) -1.11046 -1.28032 -1.74717
 D12   D(5,1,19,17) -0.20531 -0.41152 -0.65448
 D13   D(5,1,19,18) -2.28932 -2.49780 -2.71466
 D14   D(5,1,19,20)  1.86834  1.66081  1.40122
 D15     D(1,2,3,4) -0.00711 -0.00202  0.00630
 D16    D(1,2,3,30) -3.13600 -3.13125 -3.13051
 D17    D(21,2,3,4)  3.10188  3.10016  3.12929
 D18   D(21,2,3,30) -0.02701 -0.02907 -0.00752
 D19     D(2,3,4,5)  0.01306  0.01663 -0.00994
 D20    D(2,3,4,22) -3.13890 -3.14098  3.05213
 D21    D(30,3,4,5)  3.14158 -3.13777  3.12672
 D22   D(30,3,4,22) -0.01038 -0.01220 -0.09438
 D23   D(2,3,30,31)  2.77208  3.02764  3.02533
 D24   D(2,3,30,32) -0.36841 -0.11572 -0.12003
 D25   D(4,3,30,31) -0.35396 -0.09880 -0.11042
 D26   D(4,3,30,32)  2.78873  3.04102  3.02741
 D27     D(3,4,5,1) -0.01454 -0.02473  0.00999
 D28    D(3,4,5,12)  3.13619  3.08796  3.01745
 D29    D(22,4,5,1)  3.13716  3.13249 -3.05321
 D30   D(22,4,5,12)  0.00470 -0.03800 -0.04575
 D31   D(1,5,12,11)  3.12385 -3.12915 -2.68514
 D32   D(1,5,12,13) -0.00650  0.07403  0.54674
 D33   D(4,5,12,11) -0.02788  0.04445  0.60384
 D34   D(4,5,12,13)  3.12496 -3.03554 -2.44747
 D35    D(11,6,7,8) -0.01307 -0.00304  0.01450
 D36   D(11,6,7,24)  3.12661  3.13079 -3.14004
 D37    D(23,6,7,8) -3.12671 -3.12267 -3.08990
 D38   D(23,6,7,24)  0.01297  0.01116  0.03874
 D39   D(7,6,11,10)  0.00845  0.00848 -0.05609
 D40   D(7,6,11,12) -3.13790  3.14053 -3.13428
 D41  D(23,6,11,10)  3.12227  3.12824  3.04773
 D42  D(23,6,11,12) -0.02408 -0.02289 -0.03046
 D43     D(6,7,8,9)  0.00532 -0.00350  0.02923
 D44    D(6,7,8,25) -3.13514  3.14108 -3.13883
 D45    D(24,7,8,9) -3.13435 -3.13729 -3.09929
 D46   D(24,7,8,25)  0.00838  0.00730  0.01584
 D47    D(7,8,9,10)  0.00706  0.00445 -0.02929
 D48    D(7,8,9,26) -3.13091 -3.12682  3.09906
 D49   D(25,8,9,10) -3.13567 -3.14014  3.13877
 D50   D(25,8,9,26)  0.00955  0.01178 -0.01607
 D51   D(8,9,10,11) -0.01163  0.00114 -0.01439
 D52   D(8,9,10,27) -3.12196 -3.10818  3.09003
 D53  D(26,9,10,11)  3.12635  3.13246  3.14033
 D54  D(26,9,10,27)  0.01603  0.02314 -0.03843
 D55   D(9,10,11,6)  0.00388 -0.00753  0.05603
 D56  D(9,10,11,12) -3.13293 -3.13947  3.13423
 D57  D(27,10,11,6)  3.11438  3.10186 -3.04781
 D58 D(27,10,11,12) -0.02244 -0.03009  0.03039
 D59   D(6,11,12,5)  2.24159  2.34125 -3.12329
 D60  D(6,11,12,13) -0.91125 -0.86306 -0.08127
 D61  D(10,11,12,5) -0.90481 -0.81015  0.08457
 D62 D(10,11,12,13)  2.22553  2.26872  3.12659
 D63  D(5,12,13,14)  3.03119  2.93817  2.44727
 D64  D(5,12,13,17) -0.02437 -0.10073 -0.54757
 D65 D(11,12,13,14) -0.09921 -0.14278 -0.60402
 D66 D(11,12,13,17)  3.12842  3.10151  2.68433
 D67 D(12,13,14,15) -3.06984 -3.03942 -3.01820
 D68 D(12,13,14,28)  0.02870  0.04627  0.04552
 D69 D(17,13,14,15) -0.00566  0.00993 -0.01018
 D70 D(17,13,14,28)  3.09287  3.09563  3.05353
 D71 D(12,13,17,16)  3.07609  3.04776  3.03568
 D72 D(12,13,17,19) -0.07741 -0.16559 -0.09929
 D73 D(14,13,17,16)  0.00278 -0.01260  0.00642
 D74 D(14,13,17,19)  3.13247  3.05724 -3.12855
 D75 D(13,14,15,16)  0.00618 -0.00387  0.00999
 D76 D(13,14,15,41) -3.14082  3.13441 -3.12694
 D77 D(28,14,15,16) -3.09118 -3.08772 -3.05262
 D78 D(28,14,15,41)  0.04501  0.05055  0.09364
 D79 D(14,15,16,17) -0.00466 -0.00402 -0.00617
 D80 D(14,15,16,29) -3.13566 -3.12899 -3.12998
 D81 D(41,15,16,17) -3.14098  3.14078  3.13090
 D82 D(41,15,16,29)  0.01120  0.01580  0.00708
 D83 D(14,15,41,42)  0.38327  0.10945 -3.03475
 D84 D(14,15,41,43) -2.75715 -3.03020  0.10327
 D85 D(16,15,41,42) -2.76476 -3.03607  0.11238
 D86 D(16,15,41,43)  0.37801  0.10747 -3.03278
 D87 D(15,16,17,13)  0.00116  0.01029 -0.00012
 D88 D(15,16,17,19) -3.12852 -3.05907  3.13436
 D89 D(29,16,17,13)  3.13321  3.13702  3.12568
 D90 D(29,16,17,19)  0.00352  0.06766 -0.02302
 D91  D(13,17,19,1)  0.17329  0.38249  0.65361
 D92 D(13,17,19,18)  2.26095  2.46910  2.71381
 D93 D(13,17,19,20) -1.89509 -1.68653 -1.40210
 D94  D(16,17,19,1) -2.98225 -2.84297 -2.48003
 D95 D(16,17,19,18) -0.89459 -0.75635 -0.41983
 D96 D(16,17,19,20)  1.23256  1.37121  1.74745
 D97  D(3,30,31,33) -3.14141  3.14077  3.13486
 D98  D(3,30,31,36) -0.01712 -0.00824 -0.01617
 D99 D(32,30,31,33) -0.00089  0.00089 -0.00307
D100 D(32,30,31,36)  3.12340  3.13507  3.12909
D101  D(3,30,32,34)  3.13660 -3.14050 -3.13521
D102  D(3,30,32,37) -0.02111 -0.00806 -0.00285
D103 D(31,30,32,34) -0.00392 -0.00064  0.00270
D104 D(31,30,32,37)  3.12155  3.13180  3.13505
D105 D(30,31,33,35)  0.00421 -0.00062  0.00149
D106 D(30,31,33,38)  3.13868  3.13962  3.14012
D107 D(36,31,33,35) -3.12010 -3.13482 -3.13070
D108 D(36,31,33,38)  0.01437  0.00542  0.00793
D109 D(30,32,34,35)  0.00544  0.00011 -0.00075
D110 D(30,32,34,39)  3.13999  3.13921  3.13897
D111 D(37,32,34,35) -3.12011 -3.13240 -3.13318
D112 D(37,32,34,39)  0.01444  0.00670  0.00655
D113 D(31,33,35,34) -0.00271  0.00008  0.00052
D114 D(31,33,35,40)  3.13862 -3.14111  3.14090
D115 D(38,33,35,34) -3.13714 -3.14016 -3.13810
D116 D(38,33,35,40)  0.00419  0.00184  0.00229
D117 D(32,34,35,33) -0.00209  0.00018 -0.00089
D118 D(32,34,35,40)  3.13977  3.14136 -3.14127
D119 D(39,34,35,33) -3.13660 -3.13891 -3.14061
D120 D(39,34,35,40)  0.00526  0.00227  0.00220
D121 D(15,41,42,44) -3.13713 -3.13945  3.13591
D122 D(15,41,42,47)  0.02186  0.01115  0.00298
D123 D(43,41,42,44)  0.00332  0.00025 -0.00218
D124 D(43,41,42,47) -3.12088 -3.13234 -3.13511
D125 D(15,41,43,45) -3.14087  3.13960 -3.13550
D126 D(15,41,43,48)  0.01844  0.00723  0.01504
D127 D(42,41,43,45)  0.00187 -0.00009  0.00261
D128 D(42,41,43,48) -3.12201 -3.13246 -3.13003
D129 D(41,42,44,46) -0.00567 -0.00020  0.00053
D130 D(41,42,44,49) -3.13928 -3.13939 -3.13928
D131 D(47,42,44,46)  3.11853  3.13241  3.13353
D132 D(47,42,44,49) -0.01508 -0.00678 -0.00628
D133 D(41,43,45,46) -0.00474 -0.00013 -0.00139
D134 D(41,43,45,50) -3.13946 -3.13953 -3.14009
D135 D(48,43,45,46)  3.11921  3.13231  3.13128
D136 D(48,43,45,50) -0.01551 -0.00708 -0.00742
D137 D(42,44,46,45)  0.00277 -0.00003  0.00074
D138 D(42,44,46,51) -3.13818 -3.14116  3.14121
D139 D(49,44,46,45)  3.13635  3.13915  3.14055
D140 D(49,44,46,51) -0.00460 -0.00197 -0.00217
D141 D(43,45,46,44)  0.00240  0.00019 -0.00032
D142 D(43,45,46,51) -3.13984  3.14132 -3.14078
D143 D(50,45,46,44)  3.13708  3.13958  3.13837
D144 D(50,45,46,51) -0.00515 -0.00248 -0.00209
