From fa scan:
Fixed   = D(6,11,12,13), S, 55, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.171928 -1374.089844 -49.4500  -47.93410
-1374.171886 -1374.089839 -48.4500  -47.26735
-1374.171828 -1374.089822 -47.4501  -46.60520
-1374.171753 -1374.089794 -46.4500  -45.93635
-1374.171665 -1374.089753 -45.4500  -45.29035
-1374.171561 -1374.089700 -44.4500  -44.64540
-1374.171441 -1374.089634 -43.4500  -44.00795
-1374.171305 -1374.089556 -42.4500  -43.37635
-1374.171153 -1374.089465 -41.4500  -42.74670
-1374.170983 -1374.089361 -40.4500  -42.12075
-1374.170797 -1374.089244 -39.4500  -41.49825
-1374.170593 -1374.089114 -38.4500  -40.87775
-1374.170372 -1374.088970 -37.4500  -40.25895
-1374.170133 -1374.088813 -36.4500  -39.64320
-1374.169877 -1374.088642 -35.4501  -39.03125
-1374.169602 -1374.088457 -34.4501  -38.42130
-1374.169310 -1374.088259 -33.4501  -37.81390
-1374.168999 -1374.088046 -32.4501  -37.21050
-1374.168670 -1374.087820 -31.4501  -36.61075
-1374.168322 -1374.087579 -30.4501  -36.01355
-1374.167956 -1374.087324 -29.4501  -35.41785
-1374.167572 -1374.087054 -28.4501  -34.82460
-1374.167168 -1374.086770 -27.4501  -34.23405
-1374.166747 -1374.086471 -26.4501  -33.64400
-1374.166307 -1374.086156 -25.4501  -33.05260
-1374.165849 -1374.085827 -24.4501  -32.46125
-1374.165372 -1374.085483 -23.4501  -31.86995
-1374.164876 -1374.085124 -22.4501  -31.27480
-1374.164360 -1374.084751 -21.4501  -30.67230
-1374.163824 -1374.084362 -20.4501  -30.06480
-1374.163267 -1374.083959 -19.4501  -29.45445
-1374.162690 -1374.083542 -18.4501  -28.83670
-1374.162091 -1374.083111 -17.4501  -28.20665
-1374.161466 -1374.082666 -16.4500  -27.56705
-1374.160797 -1374.082207 -15.4502  -26.88670
-1374.160116 -1374.081735 -14.4500  -26.22235
-1374.159371 -1374.081250 -13.4502  -25.47945
-1374.149981 -1374.084074 -12.4499   -6.72410
-1374.149921 -1374.084108 -11.4500   -5.79565
-1374.149874 -1374.084138 -10.4500   -4.89150
-1374.149852 -1374.084164  -9.4501   -4.00820
-1374.149830 -1374.084186  -8.4501   -3.14330
-1374.149825 -1374.084202  -7.4501   -2.28075
-1374.149831 -1374.084214  -6.4501   -1.42530
-1374.149845 -1374.084221  -5.4501   -0.57740
-1374.149867 -1374.084223  -4.4501    0.26175
-1374.149894 -1374.084220  -3.4501    1.09685
-1374.149927 -1374.084212  -2.4501    1.92975
-1374.149968 -1374.084200  -1.4501    2.75205
-1374.150018 -1374.084182  -0.4501    3.57010
-1374.150073 -1374.084160   0.5499    4.39680
-1374.150142 -1374.084133   1.5500    5.24970
-1374.150216 -1374.084103   2.5500    6.11195
-1374.150298 -1374.084070   3.5500    6.98020
-1374.150389 -1374.084033   4.5500    7.84845
-1374.150487 -1374.083995   5.5500    8.71790

From fb scan:
Fixed   = D(6,11,12,13), S, 55, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.171620 -1374.089356 -59.6569  -55.39690
-1374.171697 -1374.089441 -58.6569  -54.60515
-1374.171766 -1374.089519 -57.6569  -53.82315
-1374.171828 -1374.089591 -56.6569  -53.06240
-1374.171884 -1374.089654 -55.6569  -52.32900
-1374.171929 -1374.089709 -54.6569  -51.61780
-1374.171962 -1374.089755 -53.6569  -50.92090
-1374.171983 -1374.089790 -52.6569  -50.23130
-1374.171989 -1374.089816 -51.6569  -49.54165
-1374.171980 -1374.089832 -50.6569  -48.85025
-1374.171955 -1374.089837 -49.6569  -48.16120
-1374.171916 -1374.089832 -48.6569  -47.47815
-1374.171862 -1374.089817 -47.6569  -46.79985
-1374.171791 -1374.089791 -46.6569  -46.12315
-1374.171705 -1374.089754 -45.6569  -45.44705
-1374.171604 -1374.089705 -44.6569  -44.77555
-1374.171488 -1374.089645 -43.6569  -44.11590
-1374.171358 -1374.089573 -42.6569  -43.47130
-1374.171213 -1374.089488 -41.6569  -42.83985
-1374.171053 -1374.089390 -40.6569  -42.21915
-1374.170878 -1374.089279 -39.6569  -41.60750
-1374.170685 -1374.089154 -38.6569  -41.00245
-1374.170475 -1374.089015 -37.6569  -40.40045
-1374.170247 -1374.088862 -36.6568  -39.79935
-1374.170000 -1374.088695 -35.6568  -39.19915
-1374.169734 -1374.088514 -34.6568  -38.59930
-1374.169451 -1374.088318 -33.6568  -38.00110
-1374.169150 -1374.088109 -32.6568  -37.40665
-1374.168830 -1374.087885 -31.6568  -36.81630
-1374.168492 -1374.087647 -30.6568  -36.22800
-1374.168136 -1374.087394 -29.6568  -35.63885
-1374.167759 -1374.087126 -28.6569  -35.05415
-1374.167365 -1374.086843 -27.6569  -34.46525
-1374.166950 -1374.086546 -26.6569  -33.88100
-1374.166513 -1374.086234 -25.6568  -33.29215
-1374.166067 -1374.085907 -24.6569  -32.71035
-1374.165596 -1374.085565 -23.6571  -32.12200
-1374.165106 -1374.085208 -22.6571  -31.53460
-1374.152394 -1374.083645 -21.6570  -17.44640
-1374.151668 -1374.083668 -20.6570  -15.77330
-1374.151132 -1374.083704 -19.6570  -14.28955
-1374.150742 -1374.083749 -18.6570  -12.96175
-1374.150488 -1374.083798 -17.6569  -11.79470
-1374.150284 -1374.083848 -16.6570  -10.66960
-1374.150119 -1374.083898 -15.6570   -9.58560
-1374.150014 -1374.083948 -14.6569   -8.59545
-1374.149930 -1374.083995 -13.6569   -7.64350
-1374.149873 -1374.084038 -12.6569   -6.73620
-1374.149846 -1374.084076 -11.6569   -5.84990
-1374.149817 -1374.084110 -10.6569   -4.97500
-1374.149805 -1374.084138  -9.6569   -4.11740
-1374.149804 -1374.084161  -8.6569   -3.27535
-1374.149812 -1374.084179  -7.6569   -2.43645
-1374.149820 -1374.084192  -6.6569   -1.59530
-1374.149839 -1374.084199  -5.6569   -0.75005
-1374.149859 -1374.084201  -4.6570    0.09430
