optS0 = -1374.17529664
tdS0 = -1374.07982076
optS1 = -1374.08956293
optR1 = -1374.08395063

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.3343    1.3309    1.3285
  R2         R(1,5)    1.3898    1.4127    1.4093
  R3        R(1,19)    1.5547    1.5448    1.5466
  R4         R(2,3)    1.4173    1.4261    1.4255
  R5        R(2,21)    1.0882    1.0877    1.0873
  R6         R(3,4)    1.3957    1.4095    1.4087
  R7        R(3,30)    1.4721    1.4546    1.4569
  R8         R(4,5)    1.4148    1.4055    1.4037
  R9        R(4,22)    1.0864    1.0844    1.0844
 R10        R(5,12)    1.4055    1.4218    1.4432
 R11         R(6,7)    1.3926    1.3924    1.3895
 R12        R(6,11)    1.4032    1.4063    1.4156
 R13        R(6,23)    1.0908    1.0913    1.0871
 R14         R(7,8)    1.3954    1.3960    1.3962
 R15        R(7,24)    1.0902    1.0906    1.0905
 R16         R(8,9)    1.3955    1.3956    1.3963
 R17        R(8,25)    1.0904    1.0904    1.0901
 R18        R(9,10)    1.3926    1.3929    1.3895
 R19        R(9,26)    1.0902    1.0906    1.0905
 R20       R(10,11)    1.4031    1.4057    1.4157
 R21       R(10,27)    1.0907    1.0908    1.0871
 R22       R(11,12)    1.4778    1.4729    1.4530
 R23       R(12,13)    1.4056    1.4224    1.4433
 R24       R(13,14)    1.4148    1.4051    1.4037
 R25       R(13,17)    1.3891    1.4108    1.4094
 R26       R(14,15)    1.3956    1.4092    1.4088
 R27       R(14,28)    1.0866    1.0851    1.0844
 R28       R(15,16)    1.4174    1.4267    1.4256
 R29       R(15,41)    1.4720    1.4545    1.4569
 R30       R(16,17)    1.3344    1.3308    1.3284
 R31       R(16,29)    1.0882    1.0876    1.0873
 R32       R(17,19)    1.5535    1.5429    1.5466
 R33       R(18,19)    1.3920    1.3931    1.3878
 R34       R(19,20)    1.3956    1.4007    1.3950
 R35       R(30,31)    1.4030    1.4093    1.4083
 R36       R(30,32)    1.4030    1.4099    1.4089
 R37       R(31,33)    1.3927    1.3897    1.3900
 R38       R(31,36)    1.0912    1.0903    1.0904
 R39       R(32,34)    1.3933    1.3896    1.3901
 R40       R(32,37)    1.0913    1.0903    1.0903
 R41       R(33,35)    1.3959    1.3975    1.3973
 R42       R(33,38)    1.0906    1.0903    1.0904
 R43       R(34,35)    1.3953    1.3975    1.3971
 R44       R(34,39)    1.0906    1.0903    1.0903
 R45       R(35,40)    1.0904    1.0904    1.0903
 R46       R(41,42)    1.4029    1.4093    1.4089
 R47       R(41,43)    1.4030    1.4099    1.4083
 R48       R(42,44)    1.3929    1.3897    1.3901
 R49       R(42,47)    1.0913    1.0903    1.0903
 R50       R(43,45)    1.3932    1.3895    1.3900
 R51       R(43,48)    1.0912    1.0903    1.0904
 R52       R(44,46)    1.3958    1.3975    1.3971
 R53       R(44,49)    1.0906    1.0903    1.0903
 R54       R(45,46)    1.3954    1.3976    1.3973
 R55       R(45,50)    1.0906    1.0903    1.0904
 R56       R(46,51)    1.0904    1.0903    1.0903
  A1       A(2,1,5)  108.2735  108.7029  109.2663
  A2      A(2,1,19)  125.4610  125.0493  128.2204
  A3      A(5,1,19)  125.7376  125.4347  122.5123
  A4       A(1,2,3)  110.5182  110.0243  109.6748
  A5      A(1,2,21)  120.4741  120.3618  120.3504
  A6      A(3,2,21)  128.9820  129.5760  129.9664
  A7       A(2,3,4)  105.8089  106.0402  106.0139
  A8      A(2,3,30)  126.0105  125.6218  125.8471
  A9      A(4,3,30)  128.1761  128.3335  128.1384
 A10       A(3,4,5)  107.5219  107.6520  107.8714
 A11      A(3,4,22)  127.2251  127.1385  126.5414
 A12      A(5,4,22)  125.2501  125.2026  125.4170
 A13       A(1,5,4)  107.8709  107.5603  107.1703
 A14      A(1,5,12)  120.9226  120.5868  119.5310
 A15      A(4,5,12)  131.2045  131.8329  132.8814
 A16      A(7,6,11)  120.1237  120.7105  121.3315
 A17      A(7,6,23)  120.2533  119.9485  118.5325
 A18     A(11,6,23)  119.6038  119.3290  120.1015
 A19       A(6,7,8)  120.1536  120.2603  120.6759
 A20      A(6,7,24)  119.6464  119.6025  119.2051
 A21      A(8,7,24)  120.2000  120.1356  120.1148
 A22       A(7,8,9)  119.9682  119.5814  118.9483
 A23      A(7,8,25)  120.0201  120.2135  120.5171
 A24      A(9,8,25)  120.0117  120.2049  120.5170
 A25      A(8,9,10)  120.1692  120.3187  120.6758
 A26      A(8,9,26)  120.1930  120.1190  120.1144
 A27     A(10,9,26)  119.6375  119.5596  119.2055
 A28     A(9,10,11)  120.1095  120.6504  121.3298
 A29     A(9,10,27)  120.2135  119.7688  118.5347
 A30    A(11,10,27)  119.6529  119.5550  120.1010
 A31     A(6,11,10)  119.4700  118.4766  116.9366
 A32     A(6,11,12)  120.1098  120.2258  121.4853
