optS0 = -1374.17529664
tdS0 = -1374.07982076
optS1 = -1374.08956293
optR1 = -1374.08395063

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52150  2.51511  2.51049
  R2         R(1,5)  2.62625  2.66967  2.66325
  R3        R(1,19)  2.93789  2.91919  2.92261
  R4         R(2,3)  2.67824  2.69488  2.69384
  R5        R(2,21)  2.05643  2.05538  2.05465
  R6         R(3,4)  2.63749  2.66348  2.66214
  R7        R(3,30)  2.78184  2.74874  2.75321
  R8         R(4,5)  2.67357  2.65606  2.65269
  R9        R(4,22)  2.05302  2.04927  2.04929
 R10        R(5,12)  2.65610  2.68687  2.72734
 R11         R(6,7)  2.63168  2.63125  2.62571
 R12        R(6,11)  2.65167  2.65745  2.67518
 R13        R(6,23)  2.06132  2.06226  2.05433
 R14         R(7,8)  2.63696  2.63799  2.63852
 R15        R(7,24)  2.06013  2.06096  2.06078
 R16         R(8,9)  2.63715  2.63727  2.63861
 R17        R(8,25)  2.06061  2.06056  2.05993
 R18        R(9,10)  2.63169  2.63222  2.62570
 R19        R(9,26)  2.06010  2.06093  2.06078
 R20       R(10,11)  2.65139  2.65643  2.67526
 R21       R(10,27)  2.06120  2.06127  2.05441
 R22       R(11,12)  2.79265  2.78336  2.74576
 R23       R(12,13)  2.65611  2.68800  2.72746
 R24       R(13,14)  2.67366  2.65528  2.65270
 R25       R(13,17)  2.62504  2.66611  2.66341
 R26       R(14,15)  2.63721  2.66299  2.66220
 R27       R(14,28)  2.05337  2.05055  2.04921
 R28       R(15,16)  2.67845  2.69615  2.69391
 R29       R(15,41)  2.78166  2.74861  2.75318
 R30       R(16,17)  2.52160  2.51481  2.51038
 R31       R(16,29)  2.05636  2.05523  2.05467
 R32       R(17,19)  2.93565  2.91558  2.92269
 R33       R(18,19)  2.63059  2.63256  2.62256
 R34       R(19,20)  2.63738  2.64686  2.63615
 R35       R(30,31)  2.65122  2.66324  2.66127
 R36       R(30,32)  2.65131  2.66429  2.66234
 R37       R(31,33)  2.63189  2.62614  2.62677
 R38       R(31,36)  2.06204  2.06029  2.06049
 R39       R(32,34)  2.63289  2.62594  2.62691
 R40       R(32,37)  2.06217  2.06040  2.06046
 R41       R(33,35)  2.63785  2.64092  2.64050
 R42       R(33,38)  2.06102  2.06045  2.06050
 R43       R(34,35)  2.63676  2.64089  2.64004
 R44       R(34,39)  2.06102  2.06030  2.06042
 R45       R(35,40)  2.06060  2.06047  2.06046
 R46       R(41,42)  2.65115  2.66320  2.66235
 R47       R(41,43)  2.65134  2.66429  2.66136
 R48       R(42,44)  2.63212  2.62618  2.62689
 R49       R(42,47)  2.06218  2.06043  2.06046
 R50       R(43,45)  2.63282  2.62579  2.62678
 R51       R(43,48)  2.06216  2.06046  2.06047
 R52       R(44,46)  2.63771  2.64091  2.64012
 R53       R(44,49)  2.06100  2.06046  2.06040
 R54       R(45,46)  2.63685  2.64101  2.64049
 R55       R(45,50)  2.06098  2.06029  2.06053
 R56       R(46,51)  2.06060  2.06045  2.06046
  A1       A(2,1,5)  1.88973  1.89722  1.90706
  A2      A(2,1,19)  2.18971  2.18253  2.23787
  A3      A(5,1,19)  2.19453  2.18924  2.13824
  A4       A(1,2,3)  1.92891  1.92029  1.91419
  A5      A(1,2,21)  2.10267  2.10071  2.10051
  A6      A(3,2,21)  2.25116  2.26153  2.26834
  A7       A(2,3,4)  1.84671  1.85075  1.85029
  A8      A(2,3,30)  2.19930  2.19251  2.19645
  A9      A(4,3,30)  2.23710  2.23984  2.23644
 A10       A(3,4,5)  1.87661  1.87888  1.88271
 A11      A(3,4,22)  2.22050  2.21898  2.20857
 A12      A(5,4,22)  2.18603  2.18520  2.18894
 A13       A(1,5,4)  1.88270  1.87728  1.87047
 A14      A(1,5,12)  2.11050  2.10464  2.08621
 A15      A(4,5,12)  2.28995  2.30092  2.31922
 A16      A(7,6,11)  2.09655  2.10680  2.11764
 A17      A(7,6,23)  2.09882  2.09350  2.06878
 A18     A(11,6,23)  2.08748  2.08268  2.09617
 A19       A(6,7,8)  2.09708  2.09894  2.10619
 A20      A(6,7,24)  2.08822  2.08746  2.08052
 A21      A(8,7,24)  2.09789  2.09676  2.09640
 A22       A(7,8,9)  2.09384  2.08709  2.07604
 A23      A(7,8,25)  2.09475  2.09812  2.10342
 A24      A(9,8,25)  2.09460  2.09797  2.10342
 A25      A(8,9,10)  2.09735  2.09996  2.10619
 A26      A(8,9,26)  2.09776  2.09647  2.09639
 A27     A(10,9,26)  2.08807  2.08671  2.08053
 A28     A(9,10,11)  2.09631  2.10575  2.11760
 A29     A(9,10,27)  2.09812  2.09036  2.06882
 A30    A(11,10,27)  2.08834  2.08663  2.09616
 A31     A(6,11,10)  2.08515  2.06781  2.04093
 A32     A(6,11,12)  2.09631  2.09834  2.12032
 A33    A(10,11,12)  2.10172  2.11700  2.12015
 A34     A(5,12,11)  2.10009  2.12215  2.15344
 A35     A(5,12,13)  2.09095  2.06344  1.97216
 A36    A(11,12,13)  2.09209  2.09595  2.15383
 A37    A(12,13,14)  2.28486  2.28696  2.31960
 A38    A(12,13,17)  2.11292  2.11370  2.08598
 A39    A(14,13,17)  1.88289  1.87892  1.87038
 A40    A(13,14,15)  1.87638  1.87807  1.88278
 A41    A(13,14,28)  2.18447  2.17965  2.18899
 A42    A(15,14,28)  2.22142  2.22392  2.20848
 A43    A(14,15,16)  1.84698  1.85068  1.85023
 A44    A(14,15,41)  2.23529  2.24073  2.23669
 A45    A(16,15,41)  2.20090  2.19177  2.19626
 A46    A(15,16,17)  1.92831  1.91955  1.91423
 A47    A(15,16,29)  2.25166  2.26172  2.26847
 A48    A(17,16,29)  2.10317  2.10180  2.10036
 A49    A(13,17,16)  1.89020  1.89748  1.90710
 A50    A(13,17,19)  2.19609  2.18694  2.13844
 A51    A(16,17,19)  2.19683  2.19632  2.23763
 A52     A(1,19,17)  1.84318  1.82666  1.78591
 A53     A(1,19,18)  1.93120  1.93468  1.93242
 A54     A(1,19,20)  1.91585  1.92269  1.92978
 A55    A(17,19,18)  1.92567  1.93417  1.93239
 A56    A(17,19,20)  1.92377  1.92763  1.92978
 A57    A(18,19,20)  1.92280  1.91656  1.94755
 A58     A(3,30,31)  2.10472  2.10325  2.10403
 A59     A(3,30,32)  2.10885  2.11390  2.11273
 A60    A(31,30,32)  2.06962  2.06604  2.06641
 A61    A(30,31,33)  2.10641  2.10693  2.10709
 A62    A(30,31,36)  2.08928  2.09001  2.09053
 A63    A(33,31,36)  2.08736  2.08622  2.08553
 A64    A(30,32,34)  2.10623  2.10682  2.10671
 A65    A(30,32,37)  2.09242  2.09526  2.09470
 A66    A(34,32,37)  2.08442  2.08107  2.08174
