From fa scan:
Fixed   = D(6,11,12,13), S, 55, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.171730 -1374.089563 -49.4290  -47.91065
-1374.171687 -1374.089557 -48.4290  -47.24390
-1374.171628 -1374.089540 -47.4291  -46.58160
-1374.171553 -1374.089512 -46.4290  -45.91285
-1374.171464 -1374.089471 -45.4291  -45.26700
-1374.171359 -1374.089418 -44.4291  -44.62215
-1374.171238 -1374.089353 -43.4291  -43.98485
-1374.171102 -1374.089275 -42.4291  -43.35340
-1374.170949 -1374.089184 -41.4291  -42.72390
-1374.170779 -1374.089080 -40.4291  -42.09805
-1374.170592 -1374.088962 -39.4291  -41.47565
-1374.170387 -1374.088832 -38.4291  -40.85530
-1374.170166 -1374.088688 -37.4291  -40.23675
-1374.169927 -1374.088530 -36.4291  -39.62115
-1374.169670 -1374.088359 -35.4291  -39.00920
-1374.169395 -1374.088175 -34.4291  -38.39945
-1374.169102 -1374.087976 -33.4291  -37.79220
-1374.168790 -1374.087764 -32.4291  -37.18885
-1374.168460 -1374.087538 -31.4291  -36.58895
-1374.168112 -1374.087297 -30.4291  -35.99195
-1374.167746 -1374.087041 -29.4291  -35.39640
-1374.167360 -1374.086772 -28.4291  -34.80315
-1374.166956 -1374.086487 -27.4291  -34.21265
-1374.166534 -1374.086187 -26.4291  -33.62280
-1374.166094 -1374.085873 -25.4291  -33.03175
-1374.165635 -1374.085544 -24.4291  -32.44050
-1374.165157 -1374.085200 -23.4291  -31.84905
-1374.164660 -1374.084840 -22.4291  -31.25415
-1374.164144 -1374.084467 -21.4291  -30.65200
-1374.163607 -1374.084078 -20.4291  -30.04445
-1374.163050 -1374.083675 -19.4291  -29.43375
-1374.162472 -1374.083258 -18.4291  -28.81620
-1374.161872 -1374.082827 -17.4291  -28.18645
-1374.161247 -1374.082381 -16.4290  -27.54600
-1374.160575 -1374.081923 -15.4292  -26.86400
-1374.159891 -1374.081450 -14.4290  -26.19745
-1374.159142 -1374.080965 -13.4292  -25.44950
-1374.149740 -1374.083823 -12.4289   -6.69225
-1374.149682 -1374.083858 -11.4289   -5.76775
-1374.149641 -1374.083888 -10.4291   -4.86780
-1374.149611 -1374.083914  -9.4291   -3.98860
-1374.149603 -1374.083936  -8.4291   -3.11725
-1374.149599 -1374.083952  -7.4290   -2.25525
-1374.149606 -1374.083964  -6.4290   -1.40060
-1374.149619 -1374.083971  -5.4290   -0.55235
-1374.149641 -1374.083973  -4.4290    0.28600
-1374.149664 -1374.083970  -3.4291    1.11890
-1374.149698 -1374.083962  -2.4291    1.95005
-1374.149740 -1374.083950  -1.4291    2.77140
-1374.149789 -1374.083932  -0.4291    3.58630
-1374.149845 -1374.083909   0.5709    4.41185
-1374.149908 -1374.083882   1.5709    5.25440
-1374.149980 -1374.083851   2.5709    6.11355
-1374.150061 -1374.083817   3.5709    6.98010
-1374.150150 -1374.083781   4.5709    7.84715
-1374.150247 -1374.083741   5.5709    8.71720

From fb scan:
Fixed   = D(6,11,12,13), S, 55, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.171426 -1374.089073 -59.6549  -55.38670
-1374.171503 -1374.089158 -58.6549  -54.59410
-1374.171572 -1374.089236 -57.6549  -53.81210
-1374.171634 -1374.089308 -56.6549  -53.05265
-1374.171689 -1374.089371 -55.6549  -52.32050
-1374.171734 -1374.089427 -54.6549  -51.61025
-1374.171767 -1374.089472 -53.6549  -50.91385
-1374.171787 -1374.089508 -52.6549  -50.22385
-1374.171793 -1374.089534 -51.6549  -49.53340
-1374.171783 -1374.089550 -50.6549  -48.84165
-1374.171758 -1374.089555 -49.6549  -48.15255
-1374.171719 -1374.089551 -48.6549  -47.46930
-1374.171664 -1374.089536 -47.6549  -46.79050
-1374.171593 -1374.089510 -46.6549  -46.11285
-1374.171507 -1374.089473 -45.6549  -45.43550
-1374.171405 -1374.089425 -44.6549  -44.76395
-1374.171289 -1374.089365 -43.6549  -44.10505
-1374.171159 -1374.089293 -42.6549  -43.46135
-1374.171014 -1374.089208 -41.6549  -42.83055
-1374.170854 -1374.089110 -40.6549  -42.21045
-1374.170678 -1374.088999 -39.6549  -41.59915
-1374.170485 -1374.088875 -38.6549  -40.99430
-1374.170275 -1374.088736 -37.6549  -40.39245
-1374.170046 -1374.088583 -36.6548  -39.79155
-1374.169799 -1374.088416 -35.6548  -39.19115
-1374.169533 -1374.088235 -34.6548  -38.59075
-1374.169249 -1374.088040 -33.6548  -37.99225
-1374.168948 -1374.087830 -32.6548  -37.39775
-1374.168628 -1374.087607 -31.6548  -36.80720
-1374.168289 -1374.087369 -30.6548  -36.21910
-1374.167932 -1374.087116 -29.6548  -35.63205
-1374.167555 -1374.086848 -28.6548  -35.04450
-1374.167160 -1374.086566 -27.6549  -34.45650
-1374.166746 -1374.086268 -26.6549  -33.87000
-1374.166313 -1374.085956 -25.6549  -33.28565
-1374.165862 -1374.085629 -24.6548  -32.70725
-1374.165389 -1374.085288 -23.6551  -32.11125
-1374.164900 -1374.084931 -22.6551  -31.52325
-1374.152121 -1374.083385 -21.6550  -17.36755
-1374.151411 -1374.083410 -20.6550  -15.71940
-1374.150882 -1374.083448 -19.6549  -14.24460
-1374.150492 -1374.083494 -18.6549  -12.92030
-1374.150250 -1374.083543 -17.6549  -11.77065
-1374.150049 -1374.083594 -16.6549  -10.64870
-1374.149885 -1374.083645 -15.6549   -9.56850
-1374.149783 -1374.083696 -14.6549   -8.58260
-1374.149700 -1374.083743 -13.6549   -7.63330
-1374.149643 -1374.083786 -12.6549   -6.72790
-1374.149616 -1374.083825 -11.6549   -5.84315
-1374.149588 -1374.083858 -10.6549   -4.96985
-1374.149577 -1374.083887  -9.6548   -4.11365
-1374.149575 -1374.083910  -8.6548   -3.27255
-1374.149584 -1374.083928  -7.6548   -2.43445
-1374.149592 -1374.083941  -6.6548   -1.59435
-1374.149611 -1374.083948  -5.6549   -0.75050
-1374.149631 -1374.083951  -4.6549    0.09275
