From fa scan:
Fixed   = D(6,11,12,13), S, 55, 1.0000
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.083050 -49.2027  -47.66060
0.000048 0.083055 -48.2028  -46.99490
0.000113 0.083072 -47.2028  -46.33305
0.000195 0.083101 -46.2028  -45.66580
0.000290 0.083142 -45.2028  -45.02125
0.000400 0.083195 -44.2028  -44.37870
0.000526 0.083261 -43.2028  -43.74370
0.000669 0.083340 -42.2028  -43.11355
0.000828 0.083431 -41.2028  -42.48550
0.001004 0.083536 -40.2028  -41.86115
0.001197 0.083654 -39.2028  -41.24000
0.001408 0.083785 -38.2028  -40.62080
0.001635 0.083930 -37.2028  -40.00370
0.001881 0.084088 -36.2029  -39.38990
0.002145 0.084260 -35.2029  -38.77915
0.002427 0.084446 -34.2029  -38.17050
0.002727 0.084645 -33.2029  -37.56425
0.003045 0.084859 -32.2029  -36.96145
0.003382 0.085087 -31.2029  -36.36215
0.003737 0.085329 -30.2029  -35.76580
0.004111 0.085585 -29.2029  -35.17140
0.004503 0.085857 -28.2029  -34.57965
0.004914 0.086143 -27.2029  -33.99060
0.005342 0.086444 -26.2028  -33.40225
0.005790 0.086759 -25.2028  -32.81295
0.006255 0.087090 -24.2028  -32.22320
0.006740 0.087436 -23.2028  -31.63295
0.007244 0.087797 -22.2028  -31.03870
0.007768 0.088173 -21.2028  -30.43700
0.008313 0.088563 -20.2028  -29.82960
0.008878 0.088967 -19.2028  -29.21800
0.009466 0.089386 -18.2028  -28.59850
0.010076 0.089819 -17.2028  -27.96565
0.010738 0.090265 -16.2029  -27.28680
0.011412 0.090725 -15.2028  -26.61880
0.012140 0.091198 -14.2029  -25.90240
0.022278 0.088504 -13.2027   -7.30955
0.022339 0.088464 -12.2027   -6.38925
0.022390 0.088427 -11.2028   -5.50170
0.022420 0.088395 -10.2028   -4.62210
0.022446 0.088368  -9.2029   -3.75835
0.022453 0.088346  -8.2029   -2.90645
0.022452 0.088329  -7.2028   -2.05890
0.022445 0.088317  -6.2028   -1.21710
0.022428 0.088311  -5.2028   -0.38445
0.022404 0.088310  -4.2028    0.44015
0.022377 0.088314  -3.2028    1.26190
0.022343 0.088323  -2.2028    2.07705
0.022301 0.088338  -1.2028    2.88440
0.022254 0.088359  -0.2028    3.68910
0.022202 0.088384   0.7972    4.50380
0.022135 0.088414   1.7972    5.33885
0.022064 0.088449   2.7972    6.18400
0.021985 0.088487   3.7972    7.03675
0.021897 0.088528   4.7972    7.89345
0.021799 0.088572   5.7972    8.75560

From fb scan:
Fixed   = D(6,11,12,13), S, 55, -1.000
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000341 0.083651 -59.6340  -55.29295
0.000267 0.083564 -58.6340  -54.50370
0.000201 0.083483 -57.6340  -53.72705
0.000140 0.083409 -56.6340  -52.97585
0.000093 0.083344 -55.6340  -52.22715
0.000049 0.083286 -54.6339  -51.51550
0.000020 0.083238 -53.6339  -50.81680
0.000003 0.083200 -52.6339  -50.12565
0.000000 0.083172 -51.6339  -49.43480
0.000013 0.083154 -50.6339  -48.74255
0.000041 0.083147 -49.6339  -48.05310
0.000084 0.083149 -48.6339  -47.36960
0.000143 0.083162 -47.6339  -46.69030
0.000217 0.083186 -46.6339  -46.01265
0.000307 0.083221 -45.6339  -45.33645
0.000412 0.083267 -44.6339  -44.66575
0.000532 0.083325 -43.6339  -44.00685
0.000665 0.083395 -42.6339  -43.36335
0.000813 0.083478 -41.6339  -42.73270
0.000977 0.083574 -40.6339  -42.11250
0.001156 0.083683 -39.6339  -41.50090
0.001352 0.083807 -38.6339  -40.89540
0.001566 0.083944 -37.6339  -40.29250
0.001798 0.084095 -36.6339  -39.69065
0.002049 0.084260 -35.6339  -39.09010
0.002317 0.084440 -34.6339  -38.49010
0.002604 0.084633 -33.6339  -37.89170
0.002909 0.084841 -32.6339  -37.29620
0.003233 0.085063 -31.6339  -36.70400
0.003576 0.085299 -30.6339  -36.11405
0.003937 0.085551 -29.6339  -35.52550
0.004318 0.085817 -28.6339  -34.93695
0.004718 0.086098 -27.6339  -34.34800
0.005135 0.086393 -26.6339  -33.76180
0.005573 0.086704 -25.6341  -33.17135
0.006031 0.087029 -24.6339  -32.58840
0.006505 0.087369 -23.6342  -31.99510
0.019311 0.089095 -22.6340  -18.73885
0.020399 0.089068 -21.6340  -16.69880
0.021004 0.089026 -20.6339  -15.18710
0.021455 0.088975 -19.6340  -13.82700
0.021767 0.088919 -18.6340  -12.62430
0.021989 0.088861 -17.6340  -11.51070
0.022174 0.088803 -16.6340  -10.43320
0.022294 0.088746 -15.6340   -9.40650
0.022394 0.088691 -14.6340   -8.44755
0.022461 0.088640 -13.6340   -7.52920
0.022509 0.088594 -12.6339   -6.64240
0.022530 0.088552 -11.6340   -5.77400
0.022553 0.088516 -10.6339   -4.91700
0.022561 0.088486  -9.6339   -4.07525
0.022561 0.088461  -8.6339   -3.24435
0.022552 0.088442  -7.6339   -2.41480
0.022542 0.088428  -6.6339   -1.58675
0.022522 0.088420  -5.6340   -0.75595
0.022501 0.088418  -4.6340    0.07465
