optS0 = -1374.17333792
tdS0  = -1374.0785332
optS1 = -1374.08649789
optR1 = -1374.08121667

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3338        1.3307        1.3284
  R2         R(1,5)        1.3895        1.4126        1.4089
  R3        R(1,19)        1.5560        1.5455        1.5476
  R4         R(2,3)        1.4176        1.4254        1.4249
  R5        R(2,21)        1.0882        1.0876        1.0872
  R6         R(3,4)        1.3954        1.4103        1.4096
  R7        R(3,30)        1.4719        1.4543        1.4567
  R8         R(4,5)        1.4151        1.4047        1.4027
  R9        R(4,22)        1.0864        1.0844        1.0845
 R10        R(5,12)        1.4053        1.4221        1.4438
 R11         R(6,7)        1.3926        1.3922        1.3891
 R12        R(6,11)        1.4030        1.4064        1.4160
 R13        R(6,23)        1.0908        1.0913        1.0872
 R14         R(7,8)        1.3953        1.3959        1.3963
 R15        R(7,24)        1.0902        1.0906        1.0905
 R16         R(8,9)        1.3954        1.3955        1.3964
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3926        1.3928        1.3891
 R19        R(9,26)        1.0902        1.0906        1.0905
 R20       R(10,11)        1.4029        1.4059        1.4160
 R21       R(10,27)        1.0908        1.0907        1.0872
 R22       R(11,12)        1.4781        1.4721        1.4511
 R23       R(12,13)        1.4053        1.4229        1.4439
 R24       R(13,14)        1.4151        1.4041        1.4027
 R25       R(13,17)        1.3889        1.4107        1.4090
 R26       R(14,15)        1.3952        1.4101        1.4097
 R27       R(14,28)        1.0866        1.0851        1.0845
 R28       R(15,16)        1.4177        1.4261        1.4249
 R29       R(15,41)        1.4718        1.4541        1.4567
 R30       R(16,17)        1.3339        1.3305        1.3284
 R31       R(16,29)        1.0881        1.0875        1.0872
 R32       R(17,19)        1.5547        1.5435        1.5476
 R33       R(18,19)        1.3910        1.3924        1.3874
 R34       R(19,20)        1.3942        1.3992        1.3932
 R35       R(30,31)        1.4028        1.4093        1.4082
 R36       R(30,32)        1.4029        1.4099        1.4088
 R37       R(31,33)        1.3926        1.3896        1.3899
 R38       R(31,36)        1.0912        1.0902        1.0903
 R39       R(32,34)        1.3931        1.3894        1.3899
 R40       R(32,37)        1.0912        1.0903        1.0903
 R41       R(33,35)        1.3958        1.3974        1.3972
 R42       R(33,38)        1.0906        1.0904        1.0904
 R43       R(34,35)        1.3952        1.3975        1.3970
 R44       R(34,39)        1.0906        1.0903        1.0903
 R45       R(35,40)        1.0904        1.0904        1.0904
 R46       R(41,42)        1.4028        1.4093        1.4088
 R47       R(41,43)        1.4029        1.4099        1.4083
 R48       R(42,44)        1.3927        1.3896        1.3899
 R49       R(42,47)        1.0913        1.0903        1.0903
 R50       R(43,45)        1.3931        1.3893        1.3899
 R51       R(43,48)        1.0912        1.0903        1.0903
 R52       R(44,46)        1.3957        1.3974        1.3970
 R53       R(44,49)        1.0906        1.0904        1.0903
 R54       R(45,46)        1.3952        1.3975        1.3972
 R55       R(45,50)        1.0906        1.0903        1.0904
 R56       R(46,51)        1.0904        1.0904        1.0904
  A1       A(2,1,5)      108.2769      108.7263      109.2644
  A2      A(2,1,19)      125.4318      124.9921      128.2118
  A3      A(5,1,19)      125.7660      125.4356      122.5210
  A4       A(1,2,3)      110.5285      110.0139      109.6730
  A5      A(1,2,21)      120.4455      120.3029      120.2958
  A6      A(3,2,21)      128.9993      129.6397      130.0220
  A7       A(2,3,4)      105.7994      106.0365      106.0049
  A8      A(2,3,30)      126.0078      125.6615      125.8811
  A9      A(4,3,30)      128.1885      128.2969      128.1130
 A10       A(3,4,5)      107.5155      107.6406      107.8465
 A11      A(3,4,22)      127.2267      127.1279      126.5822
 A12      A(5,4,22)      125.2547      125.2245      125.3994
 A13       A(1,5,4)      107.8730      107.5605      107.2078
 A14      A(1,5,12)      120.9109      120.5635      119.5182
 A15      A(4,5,12)      131.2146      131.8535      132.8293
 A16      A(7,6,11)      120.1341      120.7217      121.3136
 A17      A(7,6,23)      120.2825      119.9769      118.6139
 A18     A(11,6,23)      119.5647      119.2881      120.0368
 A19       A(6,7,8)      120.1552      120.2690      120.6744
 A20      A(6,7,24)      119.6512      119.5998      119.2222
 A21      A(8,7,24)      120.1935      120.1295      120.0987
 A22       A(7,8,9)      119.9581      119.5694      118.9674
 A23      A(7,8,25)      120.0251      120.2195      120.5070
 A24      A(9,8,25)      120.0167      120.2108      120.5070
 A25      A(8,9,10)      120.1707      120.3285      120.6744
 A26      A(8,9,26)      120.1876      120.1105      120.0984
 A27     A(10,9,26)      119.6413      119.5583      119.2225
 A28     A(9,10,11)      120.1200      120.6606      121.3120
 A29     A(9,10,27)      120.2396      119.7891      118.6155
 A30    A(11,10,27)      119.6171      119.5220      120.0369
 A31     A(6,11,10)      119.4563      118.4485      116.9545
 A32     A(6,11,12)      120.1135      120.2153      121.4776
 A33    A(10,11,12)      120.4297      121.3337      121.4710
 A34     A(5,12,11)      120.3058      121.6513      123.4389
 A35     A(5,12,13)      119.8459      118.1738      112.8872
 A36    A(11,12,13)      119.8450      120.0772      123.4575
 A37    A(12,13,14)      130.9219      131.0067      132.8485
 A38    A(12,13,17)      121.0478      121.1118      119.5071
 A39    A(14,13,17)      107.8843      107.6598      107.2028
 A40    A(13,14,15)      107.5023      107.5932      107.8494
 A41    A(13,14,28)      125.1616      124.8880      125.4032
 A42    A(15,14,28)      127.2811      127.4218      126.5762
 A43    A(14,15,16)      105.8127      106.0287      106.0030
 A44    A(14,15,41)      128.0898      128.3418      128.1242
 A45    A(16,15,41)      126.0966      125.6293      125.8719
 A46    A(15,16,17)      110.4963      109.9696      109.6746
 A47    A(15,16,29)      129.0332      129.6622      130.0281
 A48    A(17,16,29)      120.4675      120.3608      120.2886
 A49    A(13,17,16)      108.3032      108.7436      109.2668
 A50    A(13,17,19)      125.8576      125.2997      122.5305
 A51    A(16,17,19)      125.8346      125.8203      128.1995
 A52     A(1,19,17)      105.5115      104.5071      102.1632
 A53     A(1,19,18)      110.6167      110.8227      110.6520
 A54     A(1,19,20)      109.7493      110.1648      110.5969
 A55    A(17,19,18)      110.2960      110.7873      110.6509
 A56    A(17,19,20)      110.2075      110.4688      110.5977
 A57    A(18,19,20)      110.3574      109.9803      111.7914
 A58     A(3,30,31)      120.6030      120.5370      120.5838
 A59     A(3,30,32)      120.8249      121.1115      121.0490
 A60    A(31,30,32)      118.5720      118.3514      118.3668
 A61    A(30,31,33)      120.6956      120.7321      120.7454
 A62    A(30,31,36)      119.6746      119.7172      119.7502
 A63    A(33,31,36)      119.6218      119.5490      119.5021
 A64    A(30,32,34)      120.6835      120.7269      120.7241
 A65    A(30,32,37)      119.8566      120.0058      119.9807
 A66    A(34,32,37)      119.4531      119.2648      119.2929
 A67    A(31,33,35)      120.2716      120.2625      120.2594
 A68    A(31,33,38)      119.6217      119.6814      119.6664
 A69    A(35,33,38)      120.1052      120.0560      120.0739
 A70    A(32,34,35)      120.2714      120.2603      120.2696
 A71    A(32,34,39)      119.6006      119.6458      119.6323
 A72    A(35,34,39)      120.1267      120.0938      120.0981
 A73    A(33,35,34)      119.5049      119.6668      119.6345
 A74    A(33,35,40)      120.2473      120.1712      120.1884
 A75    A(34,35,40)      120.2478      120.1620      120.1771
 A76    A(15,41,42)      120.5389      120.5288      121.0395
 A77    A(15,41,43)      120.8741      121.1049      120.5958
 A78    A(42,41,43)      118.5870      118.3662      118.3643
 A79    A(41,42,44)      120.6929      120.7194      120.7283
 A80    A(41,42,47)      119.6270      119.6906      119.9813
 A81    A(44,42,47)      119.6723      119.5879      119.2883
 A82    A(41,43,45)      120.6701      120.7229      120.7444
 A83    A(41,43,48)      119.8517      119.9809      119.7572
 A84    A(45,43,48)      119.4701      119.2940      119.4963
 A85    A(42,44,46)      120.2582      120.2617      120.2673
 A86    A(42,44,49)      119.6366      119.6890      119.6341
 A87    A(46,44,49)      120.1036      120.0492      120.0984
 A88    A(43,45,46)      120.2716      120.2530      120.2621
 A89    A(43,45,50)      119.6070      119.6534      119.6645
 A90    A(46,45,50)      120.1202      120.0935      120.0732
 A91    A(44,46,45)      119.5193      119.6768      119.6334
 A92    A(44,46,51)      120.2418      120.1681      120.1788
 A93    A(45,46,51)      120.2389      120.1550      120.1877
  D1     D(5,1,2,3)       -0.1100       -0.8175       -0.0500
  D2    D(5,1,2,21)     -178.3929     -178.6426     -179.0553
  D3    D(19,1,2,3)      171.9518      169.1067     -179.4435
  D4   D(19,1,2,21)       -6.3311       -8.7184        1.5513
  D5     D(2,1,5,4)        0.5852        1.4364       -0.3143
  D6    D(2,1,5,12)     -179.8165     -177.0341     -173.6170
  D7    D(19,1,5,4)     -171.4432     -168.4320      179.1204
  D8   D(19,1,5,12)        8.1552       13.0976        5.8178
  D9   D(2,1,19,17)      177.4465      167.5231      141.5852
 D10   D(2,1,19,18)       58.1699       48.1422       23.7594
 D11   D(2,1,19,20)      -63.8338      -73.8031     -100.6749
 D12   D(5,1,19,17)      -11.8543      -24.2104      -37.7357
 D13   D(5,1,19,18)     -131.1309     -143.5913     -155.5615
 D14   D(5,1,19,20)      106.8654       94.4634       80.0042
 D15     D(1,2,3,4)       -0.4105       -0.1108        0.3907
 D16    D(1,2,3,30)     -179.7046     -179.3402     -179.2772
 D17    D(21,2,3,4)      177.6846      177.4506      179.2691
 D18   D(21,2,3,30)       -1.6094       -1.7787       -0.3987
 D19     D(2,3,4,5)        0.7524        0.9937       -0.5753
 D20    D(2,3,4,22)     -179.8717     -179.9293      174.8428
 D21    D(30,3,4,5)     -179.9742     -179.8041      179.0826
 D22   D(30,3,4,22)       -0.5983       -0.7271       -5.4992
 D23   D(2,3,30,31)      158.3363      172.9247      173.2273
 D24   D(2,3,30,32)      -21.6175       -7.1828       -6.9993
 D25   D(4,3,30,31)      -20.7995       -6.1316       -6.3669
 D26   D(4,3,30,32)      159.2467      173.7609      173.4065
 D27     D(3,4,5,1)       -0.8379       -1.4858        0.5536
 D28    D(3,4,5,12)      179.6202      176.7460      172.5993
 D29    D(22,4,5,1)      179.7707      179.4150     -174.9329
 D30   D(22,4,5,12)        0.2288       -2.3532       -2.8872
 D31   D(1,5,12,11)      178.9915     -179.2487     -153.6375
 D32   D(1,5,12,13)       -0.3498        4.3429       31.5485
 D33   D(4,5,12,11)       -1.5167        2.7092       35.0999
 D34   D(4,5,12,13)      179.1420     -173.6992     -139.7141
 D35    D(11,6,7,8)       -0.7365       -0.2020        0.8376
 D36   D(11,6,7,24)      179.1423      179.3280     -179.9459
 D37    D(23,6,7,8)     -179.1582     -178.8676     -176.9895
 D38   D(23,6,7,24)        0.7205        0.6624        2.2271
 D39   D(7,6,11,10)        0.4789        0.5164       -3.2429
 D40   D(7,6,11,12)     -179.7952      179.9583     -179.7134
 D41  D(23,6,11,10)      178.9121      179.1911      174.5536
 D42  D(23,6,11,12)       -1.3621       -1.3670       -1.9169
 D43     D(6,7,8,9)        0.2981       -0.1997        1.6914
 D44    D(6,7,8,25)     -179.6364      179.9768     -179.8668
 D45    D(24,7,8,9)     -179.5800     -179.7272     -177.5183
 D46   D(24,7,8,25)        0.4855        0.4493        0.9235
 D47    D(7,8,9,10)        0.3981        0.2768       -1.6943
 D48    D(7,8,9,26)     -179.3859     -179.1087      177.5062
 D49   D(25,8,9,10)     -179.6674     -179.8997      179.8638
 D50   D(25,8,9,26)        0.5485        0.7148       -0.9357
 D51   D(8,9,10,11)       -0.6535        0.0470       -0.8316
 D52   D(8,9,10,27)     -178.8886     -178.0068      176.9977
 D53  D(26,9,10,11)      179.1317      179.4359      179.9610
 D54  D(26,9,10,27)        0.8966        1.3821       -2.2097
 D55   D(9,10,11,6)        0.2150       -0.4389        3.2399
 D56  D(9,10,11,12)     -179.5099     -179.8743      179.7106
 D57  D(27,10,11,6)      178.4611      177.6200     -174.5589
 D58 D(27,10,11,12)       -1.2638       -1.8153        1.9118
 D59   D(6,11,12,5)      128.2174      134.4560     -178.9057
 D60  D(6,11,12,13)      -52.4412      -49.2028       -4.6340
 D61  D(10,11,12,5)      -52.0594      -46.1185        4.7833
 D62 D(10,11,12,13)      127.2819      130.2227      179.0549
 D63  D(5,12,13,14)      173.6421      167.8929      139.7126
 D64  D(5,12,13,17)       -1.3978       -5.9835      -31.5802
 D65 D(11,12,13,14)       -5.7024       -8.5741      -35.1003
 D66 D(11,12,13,17)      179.2578      177.5495      153.6068
 D67 D(12,13,14,15)     -175.8487     -173.9141     -172.6300
 D68 D(12,13,14,28)        1.6143        2.7262        2.8652
 D69 D(17,13,14,15)       -0.3130        0.5858       -0.5574
 D70 D(17,13,14,28)      177.1501      177.2261      174.9378
 D71 D(12,13,17,16)      176.2171      174.4048      173.6504
