optS0 = -1374.17333792
tdS0 = -1374.0785332
optS1 = -1374.08649789
optR1 = -1374.08121667

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52051  2.51473  2.51038
  R2         R(1,5)  2.62586  2.66946  2.66251
  R3        R(1,19)  2.94032  2.92056  2.92458
  R4         R(2,3)  2.67887  2.69360  2.69261
  R5        R(2,21)  2.05639  2.05520  2.05449
  R6         R(3,4)  2.63686  2.66512  2.66384
  R7        R(3,30)  2.78149  2.74815  2.75282
  R8         R(4,5)  2.67407  2.65443  2.65067
  R9        R(4,22)  2.05300  2.04919  2.04938
 R10        R(5,12)  2.65555  2.68744  2.72842
 R11         R(6,7)  2.63169  2.63091  2.62508
 R12        R(6,11)  2.65134  2.65776  2.67580
 R13        R(6,23)  2.06136  2.06221  2.05451
 R14         R(7,8)  2.63678  2.63790  2.63868
 R15        R(7,24)  2.06018  2.06099  2.06079
 R16         R(8,9)  2.63695  2.63713  2.63877
 R17        R(8,25)  2.06064  2.06055  2.05993
 R18        R(9,10)  2.63170  2.63192  2.62507
 R19        R(9,26)  2.06016  2.06097  2.06079
 R20       R(10,11)  2.65107  2.65670  2.67586
 R21       R(10,27)  2.06124  2.06119  2.05458
 R22       R(11,12)  2.79326  2.78189  2.74225
 R23       R(12,13)  2.65559  2.68883  2.72849
 R24       R(13,14)  2.67415  2.65346  2.65072
 R25       R(13,17)  2.62463  2.66581  2.66263
 R26       R(14,15)  2.63664  2.66476  2.66387
 R27       R(14,28)  2.05335  2.05054  2.04932
 R28       R(15,16)  2.67908  2.69502  2.69264
 R29       R(15,41)  2.78133  2.74788  2.75280
 R30       R(16,17)  2.52061  2.51430  2.51030
 R31       R(16,29)  2.05630  2.05503  2.05451
 R32       R(17,19)  2.93804  2.91678  2.92463
 R33       R(18,19)  2.62856  2.63127  2.62179
 R34       R(19,20)  2.63469  2.64418  2.63275
 R35       R(30,31)  2.65099  2.66320  2.66114
 R36       R(30,32)  2.65107  2.66429  2.66228
 R37       R(31,33)  2.63164  2.62592  2.62658
 R38       R(31,36)  2.06207  2.06027  2.06045
 R39       R(32,34)  2.63265  2.62560  2.62661
 R40       R(32,37)  2.06216  2.06039  2.06046
 R41       R(33,35)  2.63764  2.64072  2.64025
 R42       R(33,38)  2.06102  2.06048  2.06054
 R43       R(34,35)  2.63651  2.64082  2.63992
 R44       R(34,39)  2.06102  2.06033  2.06044
 R45       R(35,40)  2.06058  2.06049  2.06046
