From fa scan:
Fixed   = D(6,11,12,13), S, 55, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1374.169547 -1374.086498 -49.2027  -47.66060
-1374.169499 -1374.086492 -48.2028  -46.99490
-1374.169434 -1374.086475 -47.2028  -46.33305
-1374.169353 -1374.086447 -46.2028  -45.66580
-1374.169258 -1374.086406 -45.2028  -45.02125
-1374.169147 -1374.086352 -44.2028  -44.37870
-1374.169021 -1374.086286 -43.2028  -43.74370
-1374.168879 -1374.086208 -42.2028  -43.11355
-1374.168720 -1374.086116 -41.2028  -42.48550
-1374.168544 -1374.086011 -40.2028  -41.86115
-1374.168350 -1374.085893 -39.2028  -41.24000
-1374.168140 -1374.085762 -38.2028  -40.62080
-1374.167912 -1374.085618 -37.2028  -40.00370
-1374.167667 -1374.085459 -36.2029  -39.38990
-1374.167403 -1374.085287 -35.2029  -38.77915
-1374.167121 -1374.085102 -34.2029  -38.17050
-1374.166821 -1374.084902 -33.2029  -37.56425
-1374.166502 -1374.084689 -32.2029  -36.96145
-1374.166165 -1374.084461 -31.2029  -36.36215
-1374.165810 -1374.084219 -30.2029  -35.76580
-1374.165437 -1374.083962 -29.2029  -35.17140
-1374.165044 -1374.083691 -28.2029  -34.57965
-1374.164634 -1374.083405 -27.2029  -33.99060
-1374.164205 -1374.083104 -26.2028  -33.40225
-1374.163758 -1374.082788 -25.2028  -32.81295
-1374.163292 -1374.082457 -24.2028  -32.22320
-1374.162807 -1374.082111 -23.2028  -31.63295
-1374.162303 -1374.081750 -22.2028  -31.03870
-1374.161780 -1374.081375 -21.2028  -30.43700
-1374.161235 -1374.080985 -20.2028  -29.82960
-1374.160669 -1374.080580 -19.2028  -29.21800
-1374.160082 -1374.080161 -18.2028  -28.59850
-1374.159472 -1374.079729 -17.2028  -27.96565
-1374.158809 -1374.079282 -16.2029  -27.28680
-1374.158136 -1374.078822 -15.2028  -26.61880
-1374.157407 -1374.078349 -14.2029  -25.90240
-1374.147269 -1374.081043 -13.2027   -7.30955
-1374.147208 -1374.081084 -12.2027   -6.38925
-1374.147158 -1374.081120 -11.2028   -5.50170
-1374.147127 -1374.081152 -10.2028   -4.62210
-1374.147102 -1374.081180  -9.2029   -3.75835
-1374.147094 -1374.081202  -8.2029   -2.90645
-1374.147095 -1374.081219  -7.2028   -2.05890
-1374.147103 -1374.081230  -6.2028   -1.21710
-1374.147120 -1374.081237  -5.2028   -0.38445
-1374.147143 -1374.081238  -4.2028    0.44015
-1374.147171 -1374.081234  -3.2028    1.26190
-1374.147205 -1374.081224  -2.2028    2.07705
