optS0 = -1603.15439809
tdS0  = -1603.06434903
optS1 = -1603.07368016
optR1 = -1603.06742197

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3347        1.3339        1.3307
  R2         R(1,5)        1.3894        1.4107        1.4084
  R3        R(1,19)        1.5544        1.5428        1.5440
  R4         R(2,3)        1.4177        1.4221        1.4219
  R5        R(2,21)        1.0882        1.0876        1.0871
  R6         R(3,4)        1.3958        1.4136        1.4136
  R7        R(3,30)        1.4709        1.4501        1.4516
  R8         R(4,5)        1.4153        1.4026        1.4008
  R9        R(4,22)        1.0863        1.0844        1.0842
 R10        R(5,12)        1.4055        1.4224        1.4439
 R11         R(6,7)        1.3927        1.3924        1.3896
 R12        R(6,11)        1.4031        1.4066        1.4163
 R13        R(6,23)        1.0908        1.0912        1.0867
 R14         R(7,8)        1.3954        1.3960        1.3962
 R15        R(7,24)        1.0902        1.0907        1.0906
 R16         R(8,9)        1.3955        1.3956        1.3961
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3927        1.3929        1.3896
 R19        R(9,26)        1.0902        1.0907        1.0907
 R20       R(10,11)        1.4030        1.4063        1.4162
 R21       R(10,27)        1.0907        1.0907        1.0867
 R22       R(11,12)        1.4783        1.4726        1.4545
 R23       R(12,13)        1.4054        1.4230        1.4437
 R24       R(13,14)        1.4153        1.4021        1.4009
 R25       R(13,17)        1.3886        1.4090        1.4082
 R26       R(14,15)        1.3958        1.4135        1.4134
 R27       R(14,28)        1.0865        1.0851        1.0843
 R28       R(15,16)        1.4178        1.4229        1.4219
 R29       R(15,40)        1.4709        1.4499        1.4518
 R30       R(16,17)        1.3347        1.3336        1.3309
 R31       R(16,29)        1.0881        1.0875        1.0871
 R32       R(17,19)        1.5530        1.5412        1.5438
 R33       R(18,19)        1.3920        1.3956        1.3899
 R34       R(19,20)        1.3962        1.4027        1.3971
 R35       R(30,31)        1.4062        1.4138        1.4130
 R36       R(30,32)        1.3985        1.4079        1.4070
 R37       R(31,33)        1.3854        1.3806        1.3810
 R38       R(31,36)        1.0912        1.0902        1.0902
 R39       R(32,34)        1.3956        1.3888        1.3895
 R40       R(32,37)        1.0913        1.0903        1.0904
 R41       R(33,35)        1.4031        1.4073        1.4068
 R42       R(33,38)        1.0902        1.0900        1.0900
 R43       R(34,35)        1.3983        1.4033        1.4027
 R44       R(34,39)        1.0885        1.0881        1.0882
 R45       R(35,50)        1.3554        1.3462        1.3471
 R46       R(40,41)        1.4062        1.4139        1.4129
 R47       R(40,42)        1.3986        1.4080        1.4069
 R48       R(41,43)        1.3855        1.3805        1.3810
 R49       R(41,46)        1.0912        1.0902        1.0903
 R50       R(42,44)        1.3955        1.3888        1.3896
 R51       R(42,47)        1.0913        1.0902        1.0904
 R52       R(43,45)        1.4030        1.4073        1.4068
 R53       R(43,48)        1.0902        1.0900        1.0900
 R54       R(44,45)        1.3984        1.4034        1.4027
 R55       R(44,49)        1.0884        1.0881        1.0882
 R56       R(45,55)        1.3555        1.3461        1.3472
 R57       R(50,51)        1.4168        1.4200        1.4198
 R58       R(51,52)        1.0947        1.0942        1.0942
 R59       R(51,53)        1.1013        1.1005        1.1005
 R60       R(51,54)        1.1013        1.1005        1.1006
 R61       R(55,56)        1.4168        1.4201        1.4197
 R62       R(56,57)        1.0947        1.0942        1.0942
 R63       R(56,58)        1.1013        1.1005        1.1006
 R64       R(56,59)        1.1013        1.1005        1.1006
  A1       A(2,1,5)      108.2633      108.7775      109.3923
  A2      A(2,1,19)      125.5420      124.8713      127.8755
  A3      A(5,1,19)      125.5956      125.5752      122.7321
  A4       A(1,2,3)      110.5744      109.9840      109.6336
  A5      A(1,2,21)      120.4165      120.3224      120.2865
  A6      A(3,2,21)      128.9871      129.6609      130.0718
  A7       A(2,3,4)      105.7193      105.9718      105.9323
  A8      A(2,3,30)      126.0962      125.8066      125.9139
  A9      A(4,3,30)      128.1819      128.2195      128.1533
 A10       A(3,4,5)      107.5922      107.7037      107.9469
 A11      A(3,4,22)      127.2210      127.0350      126.2870
 A12      A(5,4,22)      125.1836      125.2560      125.5617
 A13       A(1,5,4)      107.8442      107.5435      107.0939
 A14      A(1,5,12)      120.8588      120.5438      119.4457
 A15      A(4,5,12)      131.2969      131.8975      133.0350
 A16      A(7,6,11)      120.1438      120.7999      121.4598
 A17      A(7,6,23)      120.2664      119.9270      118.4309
 A18     A(11,6,23)      119.5722      119.2610      120.0708
 A19       A(6,7,8)      120.1533      120.2900      120.7330
 A20      A(6,7,24)      119.6533      119.5896      119.1601
 A21      A(8,7,24)      120.1933      120.1187      120.1021
 A22       A(7,8,9)      119.9561      119.5107      118.8136
 A23      A(7,8,25)      120.0201      120.2488      120.5832
 A24      A(9,8,25)      120.0237      120.2403      120.5838
 A25      A(8,9,10)      120.1682      120.3423      120.7359
 A26      A(8,9,26)      120.1856      120.1046      120.1035
 A27     A(10,9,26)      119.6458      119.5501      119.1559
 A28     A(9,10,11)      120.1308      120.7451      121.4586
 A29     A(9,10,27)      120.2189      119.7648      118.4331
 A30    A(11,10,27)      119.6276      119.4645      120.0703
 A31     A(6,11,10)      119.4421      118.3104      116.6856
 A32     A(6,11,12)      120.0960      120.3784      121.5779
 A33    A(10,11,12)      120.4615      121.3084      121.6271
 A34     A(5,12,11)      120.3151      121.4680      123.1571
 A35     A(5,12,13)      119.8691      118.3623      113.6037
 A36    A(11,12,13)      119.8110      120.0797      123.1000
 A37    A(12,13,14)      130.9823      131.1689      132.9957
 A38    A(12,13,17)      120.9964      120.9958      119.4785
 A39    A(14,13,17)      107.8511      107.6301      107.0940
 A40    A(13,14,15)      107.5818      107.6638      107.9476
 A41    A(13,14,28)      125.0922      124.9458      125.5689
 A42    A(15,14,28)      127.2757      127.3049      126.2635
 A43    A(14,15,16)      105.7279      105.9606      105.9359
 A44    A(14,15,40)      128.0919      128.2291      128.0988
 A45    A(16,15,40)      126.1793      125.8096      125.9649
 A46    A(15,16,17)      110.5368      109.9394      109.6286
 A47    A(15,16,29)      129.0562      129.7229      130.0623
 A48    A(17,16,29)      120.4051      120.3337      120.2984
 A49    A(13,17,16)      108.3012      108.8024      109.3931
 A50    A(13,17,19)      125.7190      125.4896      122.7128
 A51    A(16,17,19)      125.9650      125.5979      127.8938
 A52     A(1,19,17)      105.5943      104.9147      102.5438
 A53     A(1,19,18)      110.6999      110.8485      110.7241
 A54     A(1,19,20)      109.7434      110.2672      110.6407
 A55    A(17,19,18)      110.3776      110.7746      110.7196
 A56    A(17,19,20)      110.1722      110.5318      110.6912
 A57    A(18,19,20)      110.1638      109.4417      111.2182
 A58     A(3,30,31)      120.8392      120.8532      120.9436
 A59     A(3,30,32)      121.3479      121.5590      121.4540
 A60    A(31,30,32)      117.8128      117.5876      117.6022
 A61    A(30,31,33)      121.1414      121.2021      121.1985
 A62    A(30,31,36)      119.8444      119.7906      119.8201
 A63    A(33,31,36)      119.0086      119.0066      118.9801
 A64    A(30,32,34)      121.7258      121.8127      121.8114
 A65    A(30,32,37)      119.9457      119.9325      119.9388
 A66    A(34,32,37)      118.3221      118.2528      118.2486
 A67    A(31,33,35)      120.3565      120.3186      120.3296
 A68    A(31,33,38)      121.2083      121.3621      121.3378
 A69    A(35,33,38)      118.4335      118.3193      118.3324
 A70    A(32,34,35)      119.5959      119.5614      119.5626
 A71    A(32,34,39)      119.1772      119.3246      119.2872
 A72    A(35,34,39)      121.2255      121.1139      121.1502
 A73    A(33,35,34)      119.3670      119.5175      119.4955
 A74    A(33,35,50)      116.0108      115.9720      115.9649
 A75    A(34,35,50)      124.6222      124.5105      124.5395
 A76    A(15,40,41)      120.7650      120.8120      120.9055
 A77    A(15,40,42)      121.4217      121.5965      121.4806
 A78    A(41,40,42)      117.8133      117.5914      117.6136
 A79    A(40,41,43)      121.1504      121.2026      121.1977
 A80    A(40,41,46)      119.7971      119.7592      119.8041
 A81    A(43,41,46)      119.0464      119.0369      118.9962
 A82    A(40,42,44)      121.7150      121.8067      121.7996
 A83    A(40,42,47)      119.9624      119.9374      119.9349
 A84    A(44,42,47)      118.3160      118.2543      118.2631
 A85    A(41,43,45)      120.3462      120.3138      120.3225
 A86    A(41,43,48)      121.2137      121.3691      121.3416
 A87    A(45,43,48)      118.4381      118.3169      118.3357
 A88    A(42,44,45)      119.6063      119.5637      119.5637
 A89    A(42,44,49)      119.1761      119.3261      119.2882
 A90    A(45,44,49)      121.2163      121.1100      121.1479
 A91    A(43,45,44)      119.3681      119.5218      119.5026
 A92    A(43,45,55)      116.0211      115.9707      115.9600
 A93    A(44,45,55)      124.6108      124.5076      124.5374
 A94    A(35,50,51)      117.3304      117.7865      117.7435
 A95    A(50,51,52)      106.1354      105.9758      105.9882
 A96    A(50,51,53)      111.1859      110.9797      110.9987
 A97    A(50,51,54)      111.1877      110.9821      110.9930
 A98    A(52,51,53)      109.4730      109.6325      109.6112
 A99    A(52,51,54)      109.4878      109.6312      109.6216
A100    A(53,51,54)      109.3095      109.5737      109.5622
A101    A(45,55,56)      117.3254      117.7928      117.7323
A102    A(55,56,57)      106.1363      105.9730      105.9971
A103    A(55,56,58)      111.1868      110.9791      110.9928
A104    A(55,56,59)      111.1899      110.9782      110.9965
A105    A(57,56,58)      109.4855      109.6296      109.6245
A106    A(57,56,59)      109.4717      109.6326      109.6165
A107    A(58,56,59)      109.3090      109.5820      109.5486
  D1     D(5,1,2,3)        0.0157       -0.7073        0.0472
