optS0 = -1603.15439809
tdS0 = -1603.06434903
optS1 = -1603.07368016
optR1 = -1603.06742197

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52229  2.52075  2.51469
  R2         R(1,5)  2.62563  2.66585  2.66148
  R3        R(1,19)  2.93741  2.91540  2.91780
  R4         R(2,3)  2.67898  2.68739  2.68699
  R5        R(2,21)  2.05641  2.05526  2.05432
  R6         R(3,4)  2.63775  2.67136  2.67134
  R7        R(3,30)  2.77963  2.74027  2.74313
  R8         R(4,5)  2.67449  2.65054  2.64709
  R9        R(4,22)  2.05282  2.04928  2.04890
 R10        R(5,12)  2.65598  2.68790  2.72866
 R11         R(6,7)  2.63179  2.63132  2.62588
 R12        R(6,11)  2.65146  2.65816  2.67636
 R13        R(6,23)  2.06136  2.06208  2.05360
 R14         R(7,8)  2.63702  2.63803  2.63839
 R15        R(7,24)  2.06018  2.06107  2.06101
 R16         R(8,9)  2.63707  2.63723  2.63827
 R17        R(8,25)  2.06060  2.06061  2.05994
 R18        R(9,10)  2.63179  2.63220  2.62591
 R19        R(9,26)  2.06016  2.06109  2.06103
 R20       R(10,11)  2.65130  2.65746  2.67629
 R21       R(10,27)  2.06122  2.06113  2.05356
 R22       R(11,12)  2.79358  2.78275  2.74858
 R23       R(12,13)  2.65589  2.68917  2.72819
 R24       R(13,14)  2.67452  2.64954  2.64735
 R25       R(13,17)  2.62415  2.66260  2.66109
 R26       R(14,15)  2.63763  2.67119  2.67100
 R27       R(14,28)  2.05327  2.05048  2.04908
 R28       R(15,16)  2.67928  2.68892  2.68697
 R29       R(15,40)  2.77952  2.73987  2.74347
 R30       R(16,17)  2.52228  2.52015  2.51496
 R31       R(16,29)  2.05627  2.05510  2.05427
 R32       R(17,19)  2.93466  2.91236  2.91742
 R33       R(18,19)  2.63057  2.63725  2.62657
 R34       R(19,20)  2.63849  2.65078  2.64016
 R35       R(30,31)  2.65731  2.67178  2.67010
 R36       R(30,32)  2.64282  2.66064  2.65883
 R37       R(31,33)  2.61806  2.60890  2.60965
 R38       R(31,36)  2.06202  2.06013  2.06023
 R39       R(32,34)  2.63724  2.62448  2.62572
 R40       R(32,37)  2.06221  2.06029  2.06048
 R41       R(33,35)  2.65141  2.65940  2.65856
 R42       R(33,38)  2.06026  2.05972  2.05975
 R43       R(34,35)  2.64247  2.65186  2.65080
 R44       R(34,39)  2.05689  2.05623  2.05634
 R45       R(35,50)  2.56140  2.54397  2.54559
 R46       R(40,41)  2.65729  2.67191  2.66999
 R47       R(40,42)  2.64295  2.66079  2.65870
 R48       R(41,43)  2.61819  2.60882  2.60974
 R49       R(41,46)  2.06213  2.06018  2.06040
 R50       R(42,44)  2.63712  2.62437  2.62595
 R51       R(42,47)  2.06217  2.06021  2.06049
 R52       R(43,45)  2.65128  2.65949  2.65850
 R53       R(43,48)  2.06027  2.05972  2.05973
 R54       R(44,45)  2.64261  2.65195  2.65068
 R55       R(44,49)  2.05687  2.05622  2.05640
 R56       R(45,55)  2.56143  2.54380  2.54579
 R57       R(50,51)  2.67736  2.68349  2.68297
 R58       R(51,52)  2.06867  2.06769  2.06778
 R59       R(51,53)  2.08115  2.07969  2.07973
 R60       R(51,54)  2.08111  2.07968  2.07976
 R61       R(55,56)  2.67735  2.68357  2.68280
 R62       R(56,57)  2.06867  2.06768  2.06782
 R63       R(56,58)  2.08111  2.07962  2.07976
 R64       R(56,59)  2.08110  2.07968  2.07980
  A1       A(2,1,5)  1.88955  1.89853  1.90926
  A2      A(2,1,19)  2.19112  2.17942  2.23185
  A3      A(5,1,19)  2.19206  2.19170  2.14208
  A4       A(1,2,3)  1.92989  1.91958  1.91347
  A5      A(1,2,21)  2.10166  2.10002  2.09940
  A6      A(3,2,21)  2.25125  2.26301  2.27018
  A7       A(2,3,4)  1.84515  1.84956  1.84887
  A8      A(2,3,30)  2.20079  2.19574  2.19761
  A9      A(4,3,30)  2.23720  2.23785  2.23670
 A10       A(3,4,5)  1.87784  1.87978  1.88403
 A11      A(3,4,22)  2.22042  2.21718  2.20412
 A12      A(5,4,22)  2.18487  2.18613  2.19147
 A13       A(1,5,4)  1.88224  1.87699  1.86914
 A14      A(1,5,12)  2.10938  2.10389  2.08472
 A15      A(4,5,12)  2.29156  2.30204  2.32190
 A16      A(7,6,11)  2.09690  2.10836  2.11987
