From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150195 -1603.073680 -48.7282  -47.28120
-1603.150142 -1603.073675 -47.7283  -46.61395
-1603.150073 -1603.073658 -46.7283  -45.95045
-1603.149989 -1603.073629 -45.7283  -45.27730
-1603.149895 -1603.073588 -44.7283  -44.65435
-1603.149784 -1603.073535 -43.7283  -44.02935
-1603.149656 -1603.073468 -42.7283  -43.40580
-1603.149511 -1603.073388 -41.7283  -42.78695
-1603.149347 -1603.073294 -40.7283  -42.17070
-1603.149166 -1603.073188 -39.7283  -41.55465
-1603.148965 -1603.073068 -38.7283  -40.93695
-1603.148748 -1603.072934 -37.7284  -40.32610
-1603.148513 -1603.072788 -36.7284  -39.71860
-1603.148261 -1603.072628 -35.7284  -39.11515
-1603.147991 -1603.072453 -34.7284  -38.51425
-1603.147704 -1603.072265 -33.7284  -37.91510
-1603.147398 -1603.072062 -32.7284  -37.31700
-1603.147074 -1603.071845 -31.7284  -36.71930
-1603.146732 -1603.071614 -30.7284  -36.12220
-1603.146372 -1603.071369 -29.7283  -35.52225
-1603.145995 -1603.071109 -28.7283  -34.92900
-1603.145601 -1603.070834 -27.7284  -34.34685
-1603.145187 -1603.070544 -26.7284  -33.75635
-1603.144758 -1603.070240 -25.7284  -33.17665
-1603.144311 -1603.069920 -24.7284  -32.59315
-1603.143845 -1603.069585 -23.7284  -32.01060
-1603.143360 -1603.069236 -22.7283  -31.42410
-1603.142856 -1603.068871 -21.7283  -30.83755
-1603.142332 -1603.068491 -20.7283  -30.24925
-1603.141788 -1603.068097 -19.7283  -29.65815
-1603.141224 -1603.067687 -18.7283  -29.06265
-1603.140632 -1603.067262 -17.7284  -28.45010
-1603.140022 -1603.066823 -16.7284  -27.83885
-1603.139390 -1603.066368 -15.7283  -27.21455
-1603.138734 -1603.065900 -14.7284  -26.58335
-1603.138048 -1603.065417 -13.7284  -25.92535
-1603.137327 -1603.064921 -12.7284  -25.23980
-1603.135966 -1603.064415 -11.7284  -23.67105
-1603.128997 -1603.067332 -10.7283   -5.64310
-1603.128961 -1603.067359  -9.7283   -4.73375
-1603.128936 -1603.067381  -8.7283   -3.85555
-1603.128920 -1603.067399  -7.7284   -2.98480
-1603.128917 -1603.067412  -6.7284   -2.11430
-1603.128918 -1603.067420  -5.7284   -1.24570
-1603.128924 -1603.067424  -4.7284   -0.37085
-1603.128937 -1603.067424  -3.7284    0.50035
-1603.128957 -1603.067420  -2.7284    1.36600
-1603.128985 -1603.067412  -1.7284    2.22300
-1603.129019 -1603.067400  -0.7283    3.07260
-1603.129060 -1603.067383   0.2717    3.91570
-1603.129109 -1603.067363   1.2717    4.75800
-1603.129166 -1603.067338   2.2717    5.60705
-1603.129232 -1603.067310   3.2717    6.46770
-1603.129309 -1603.067279   4.2717    7.34120
-1603.129400 -1603.067245   5.2717    8.23405

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150290 -1603.073584 -52.4190  -49.93470
-1603.150288 -1603.073617 -51.4190  -49.22960
-1603.150272 -1603.073640 -50.4190  -48.53495
-1603.150243 -1603.073653 -49.4190  -47.84815
-1603.150199 -1603.073655 -48.4190  -47.16985
-1603.150142 -1603.073646 -47.4190  -46.50100
-1603.150071 -1603.073626 -46.4190  -45.84190
-1603.149984 -1603.073595 -45.4190  -45.19255
-1603.149882 -1603.073550 -44.4190  -44.55275
-1603.149764 -1603.073493 -43.4190  -43.92075
-1603.149629 -1603.073423 -42.4190  -43.29415
-1603.149478 -1603.073341 -41.4190  -42.67120
-1603.149310 -1603.073245 -40.4190  -42.05065
-1603.149124 -1603.073135 -39.4189  -41.43155
-1603.148920 -1603.073013 -38.4189  -40.81445
-1603.148700 -1603.072877 -37.4189  -40.19990
-1603.148463 -1603.072728 -36.4189  -39.58905
-1603.148208 -1603.072565 -35.4189  -38.98370
-1603.147937 -1603.072389 -34.4189  -38.38495
-1603.147648 -1603.072198 -33.4189  -37.79295
-1603.147342 -1603.071992 -32.4189  -37.20665
-1603.147018 -1603.071772 -31.4189  -36.62500
-1603.146676 -1603.071537 -30.4189  -36.04675
-1603.146316 -1603.071287 -29.4189  -35.47110
-1603.145937 -1603.071022 -28.4189  -34.89625
-1603.145539 -1603.070742 -27.4189  -34.32140
-1603.145123 -1603.070446 -26.4189  -33.74615
-1603.144688 -1603.070136 -25.4189  -33.17155
-1603.144236 -1603.069810 -24.4190  -32.59760
-1603.143766 -1603.069469 -23.4190  -32.02185
-1603.143276 -1603.069113 -22.4192  -31.44415
-1603.142767 -1603.068742 -21.4192  -30.86800
-1603.131327 -1603.067032 -20.4190  -17.00470
-1603.130628 -1603.067044 -19.4191  -15.22455
-1603.130213 -1603.067070 -18.4190  -13.83925
-1603.129892 -1603.067103 -17.4190  -12.59155
-1603.129680 -1603.067139 -16.4190  -11.43225
-1603.129497 -1603.067176 -15.4190  -10.34145
-1603.129352 -1603.067213 -14.4190   -9.29560
-1603.129230 -1603.067249 -13.4190   -8.28955
-1603.129133 -1603.067283 -12.4190   -7.30765
-1603.129065 -1603.067315 -11.4190   -6.37245
-1603.129006 -1603.067342 -10.4190   -5.45140
-1603.128967 -1603.067366  -9.4190   -4.53095
-1603.128941 -1603.067386  -8.4190   -3.63355
-1603.128928 -1603.067402  -7.4190   -2.76010
-1603.128924 -1603.067413  -6.4190   -1.89900
-1603.128924 -1603.067420  -5.4190   -1.04165
-1603.128930 -1603.067422  -4.4190   -0.17175
