optS0 = -1603.15490549
tdS0 = -1603.06533117
optS1 = -1603.07442199
optR1 = -1603.06810528

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52251  2.52082  2.51468
  R2         R(1,5)  2.62571  2.66601  2.66174
  R3        R(1,19)  2.93690  2.91509  2.91739
  R4         R(2,3)  2.67886  2.68768  2.68728
  R5        R(2,21)  2.05641  2.05530  2.05435
  R6         R(3,4)  2.63788  2.67112  2.67106
  R7        R(3,30)  2.77970  2.74030  2.74312
  R8         R(4,5)  2.67438  2.65077  2.64743
  R9        R(4,22)  2.05282  2.04929  2.04888
 R10        R(5,12)  2.65610  2.68782  2.72847
 R11         R(6,7)  2.63179  2.63140  2.62602
 R12        R(6,11)  2.65153  2.65811  2.67624
 R13        R(6,23)  2.06135  2.06210  2.05357
 R14         R(7,8)  2.63706  2.63805  2.63836
 R15        R(7,24)  2.06017  2.06106  2.06101
 R16         R(8,9)  2.63711  2.63725  2.63823
 R17        R(8,25)  2.06059  2.06061  2.05994
 R18        R(9,10)  2.63179  2.63227  2.62605
 R19        R(9,26)  2.06015  2.06108  2.06103
 R20       R(10,11)  2.65138  2.65740  2.67616
 R21       R(10,27)  2.06121  2.06115  2.05352
 R22       R(11,12)  2.79346  2.78307  2.74933
 R23       R(12,13)  2.65600  2.68903  2.72799
 R24       R(13,14)  2.67441  2.64982  2.64770
 R25       R(13,17)  2.62424  2.66276  2.66134
 R26       R(14,15)  2.63776  2.67090  2.67071
 R27       R(14,28)  2.05327  2.05049  2.04906
 R28       R(15,16)  2.67916  2.68920  2.68726
 R29       R(15,40)  2.77959  2.73995  2.74347
 R30       R(16,17)  2.52250  2.52024  2.51497
 R31       R(16,29)  2.05628  2.05514  2.05431
 R32       R(17,19)  2.93418  2.91206  2.91698
 R33       R(18,19)  2.63100  2.63749  2.62670
 R34       R(19,20)  2.63906  2.65138  2.64092
 R35       R(30,31)  2.65734  2.67180  2.67015
 R36       R(30,32)  2.64291  2.66069  2.65891
 R37       R(31,33)  2.61812  2.60891  2.60965
 R38       R(31,36)  2.06202  2.06014  2.06023
 R39       R(32,34)  2.63726  2.62447  2.62570
 R40       R(32,37)  2.06221  2.06029  2.06049
 R41       R(33,35)  2.65147  2.65950  2.65867
 R42       R(33,38)  2.06028  2.05973  2.05976
 R43       R(34,35)  2.64254  2.65192  2.65088
 R44       R(34,39)  2.05689  2.05622  2.05634
 R45       R(35,50)  2.56131  2.54376  2.54537
 R46       R(40,41)  2.65732  2.67192  2.67003
 R47       R(40,42)  2.64303  2.66083  2.65877
 R48       R(41,43)  2.61825  2.60884  2.60975
 R49       R(41,46)  2.06213  2.06020  2.06041
 R50       R(42,44)  2.63714  2.62438  2.62594
 R51       R(42,47)  2.06217  2.06021  2.06049
 R52       R(43,45)  2.65134  2.65958  2.65861
 R53       R(43,48)  2.06029  2.05973  2.05974
 R54       R(44,45)  2.64268  2.65200  2.65075
 R55       R(44,49)  2.05688  2.05621  2.05639
 R56       R(45,55)  2.56134  2.54363  2.54558
 R57       R(50,51)  2.67770  2.68386  2.68335
 R58       R(51,52)  2.06864  2.06766  2.06774
 R59       R(51,53)  2.08108  2.07963  2.07966
 R60       R(51,54)  2.08105  2.07961  2.07969
 R61       R(55,56)  2.67769  2.68393  2.68317
 R62       R(56,57)  2.06865  2.06765  2.06779
 R63       R(56,58)  2.08104  2.07956  2.07969
 R64       R(56,59)  2.08104  2.07961  2.07974
  A1       A(2,1,5)  1.88954  1.89846  1.90927
  A2      A(2,1,19)  2.19122  2.17975  2.23193
  A3      A(5,1,19)  2.19201  2.19150  2.14198
  A4       A(1,2,3)  1.92985  1.91960  1.91347
  A5      A(1,2,21)  2.10176  2.10026  2.09963
  A6      A(3,2,21)  2.25119  2.26277  2.26995
  A7       A(2,3,4)  1.84517  1.84957  1.84889
  A8      A(2,3,30)  2.20084  2.19557  2.19742
  A9      A(4,3,30)  2.23713  2.23801  2.23687
 A10       A(3,4,5)  1.87788  1.87984  1.88414
 A11      A(3,4,22)  2.22044  2.21713  2.20392
 A12      A(5,4,22)  2.18482  2.18611  2.19157
 A13       A(1,5,4)  1.88223  1.87697  1.86900
 A14      A(1,5,12)  2.10945  2.10387  2.08469
 A15      A(4,5,12)  2.29151  2.30208  2.32218
 A16      A(7,6,11)  2.09687  2.10833  2.11995
 A17      A(7,6,23)  2.09893  2.09301  2.06673
 A18     A(11,6,23)  2.08707  2.08164  2.09584
 A19       A(6,7,8)  2.09706  2.09942  2.10719
 A20      A(6,7,24)  2.08833  2.08725  2.07968
 A21      A(8,7,24)  2.09779  2.09649  2.09623
 A22       A(7,8,9)  2.09367  2.08590  2.07362
 A23      A(7,8,25)  2.09473  2.09872  2.10461
 A24      A(9,8,25)  2.09479  2.09857  2.10462
 A25      A(8,9,10)  2.09732  2.10034  2.10725
 A26      A(8,9,26)  2.09765  2.09625  2.09626
 A27     A(10,9,26)  2.08820  2.08655  2.07960
 A28     A(9,10,11)  2.09664  2.10737  2.11992
 A29     A(9,10,27)  2.09811  2.09019  2.06676
 A30    A(11,10,27)  2.08803  2.08519  2.09584
 A31     A(6,11,10)  2.08470  2.06499  2.03648
 A32     A(6,11,12)  2.09607  2.10098  2.12195
 A33    A(10,11,12)  2.10241  2.11716  2.12283
 A34     A(5,12,11)  2.09996  2.11986  2.14931
 A35     A(5,12,13)  2.09195  2.06601  1.98318
 A36    A(11,12,13)  2.09120  2.09574  2.14827
 A37    A(12,13,14)  2.28605  2.28945  2.32146
 A38    A(12,13,17)  2.11184  2.11172  2.08529
 A39    A(14,13,17)  1.88234  1.87847  1.86900
 A40    A(13,14,15)  1.87769  1.87915  1.88415
 A41    A(13,14,28)  2.18325  2.18071  2.19170
 A42    A(15,14,28)  2.22138  2.22184  2.20350
 A43    A(14,15,16)  1.84533  1.84938  1.84896
 A44    A(14,15,40)  2.23555  2.23817  2.23588
 A45    A(16,15,40)  2.20230  2.19563  2.19834
 A46    A(15,16,17)  1.92919  1.91883  1.91337
 A47    A(15,16,29)  2.25239  2.26383  2.26979
 A48    A(17,16,29)  2.10158  2.10046  2.09984
 A49    A(13,17,16)  1.89020  1.89889  1.90929
 A50    A(13,17,19)  2.19416  2.19000  2.14162
 A51    A(16,17,19)  2.19858  2.19236  2.23226
 A52     A(1,19,17)  1.84334  1.83160  1.79032
 A53     A(1,19,18)  1.93219  1.93479  1.93278
 A54     A(1,19,20)  1.91549  1.92446  1.93088
 A55    A(17,19,18)  1.92655  1.93352  1.93270
 A56    A(17,19,20)  1.92295  1.92904  1.93176
 A57    A(18,19,20)  1.92201  1.90958  1.94041
 A58     A(3,30,31)  2.10900  2.10916  2.11076
 A59     A(3,30,32)  2.11795  2.12164  2.11978
 A60    A(31,30,32)  2.05624  2.05238  2.05265
 A61    A(30,31,33)  2.11428  2.11530  2.11523
 A62    A(30,31,36)  2.09184  2.09088  2.09139
 A63    A(33,31,36)  2.07697  2.07699  2.07654
 A64    A(30,32,34)  2.12453  2.12600  2.12597
 A65    A(30,32,37)  2.09358  2.09339  2.09349
 A66    A(34,32,37)  2.06496  2.06376  2.06370
 A67    A(31,33,35)  2.10066  2.09997  2.10017
 A68    A(31,33,38)  2.11532  2.11804  2.11762
 A69    A(35,33,38)  2.06718  2.06517  2.06540
