From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150737 -1603.074422 -48.7737  -47.32490
-1603.150685 -1603.074416 -47.7738  -46.65730
-1603.150618 -1603.074399 -46.7738  -45.99330
-1603.150535 -1603.074371 -45.7738  -45.31965
-1603.150442 -1603.074330 -44.7738  -44.69600
-1603.150333 -1603.074277 -43.7738  -44.07085
-1603.150206 -1603.074210 -42.7738  -43.44720
-1603.150062 -1603.074130 -41.7738  -42.82810
-1603.149900 -1603.074037 -40.7738  -42.21170
-1603.149720 -1603.073930 -39.7738  -41.59545
-1603.149522 -1603.073811 -38.7739  -40.97945
-1603.149306 -1603.073678 -37.7739  -40.36685
-1603.149072 -1603.073531 -36.7739  -39.75930
-1603.148821 -1603.073371 -35.7739  -39.15565
-1603.148553 -1603.073197 -34.7739  -38.55430
-1603.148266 -1603.073009 -33.7739  -37.95475
-1603.147962 -1603.072807 -32.7739  -37.35660
-1603.147639 -1603.072590 -31.7739  -36.75880
-1603.147298 -1603.072359 -30.7739  -36.16140
-1603.146940 -1603.072114 -29.7739  -35.56635
-1603.146564 -1603.071854 -28.7739  -34.97435
-1603.146171 -1603.071580 -27.7738  -34.38265
-1603.145760 -1603.071291 -26.7739  -33.79945
-1603.145331 -1603.070986 -25.7739  -33.21475
-1603.144885 -1603.070667 -24.7739  -32.63130
-1603.144420 -1603.070333 -23.7739  -32.04835
-1603.143937 -1603.069984 -22.7739  -31.46460
-1603.143435 -1603.069619 -21.7739  -30.87890
-1603.142914 -1603.069240 -20.7739  -30.29150
-1603.142374 -1603.068846 -19.7739  -29.70240
-1603.141812 -1603.068436 -18.7738  -29.10680
-1603.141220 -1603.068012 -17.7740  -28.49205
-1603.140612 -1603.067573 -16.7739  -27.88045
-1603.139982 -1603.067119 -15.7738  -27.25725
-1603.139327 -1603.066651 -14.7739  -26.62185
-1603.138650 -1603.066169 -13.7739  -25.98120
-1603.137939 -1603.065673 -12.7738  -25.30640
-1603.137114 -1603.065164 -11.7740  -24.48675
-1603.129612 -1603.068017 -10.7737   -5.69050
-1603.129577 -1603.068043  -9.7737   -4.78830
-1603.129544 -1603.068065  -8.7739   -3.89775
-1603.129531 -1603.068082  -7.7739   -3.02690
-1603.129525 -1603.068095  -6.7739   -2.15580
-1603.129525 -1603.068104  -5.7739   -1.28275
-1603.129532 -1603.068108  -4.7739   -0.40705
-1603.129545 -1603.068108  -3.7739    0.46625
-1603.129566 -1603.068104  -2.7739    1.33265
-1603.129594 -1603.068096  -1.7739    2.19215
-1603.129628 -1603.068084  -0.7739    3.04530
-1603.129670 -1603.068068   0.2261    3.89165
-1603.129719 -1603.068048   1.2262    4.73715
-1603.129777 -1603.068024   2.2262    5.59230
-1603.129844 -1603.067997   3.2262    6.45985
-1603.129922 -1603.067967   4.2262    7.33870
-1603.130027 -1603.067934   5.2262    8.25350

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150830 -1603.074326 -52.4349  -49.96035
-1603.150828 -1603.074359 -51.4349  -49.25460
-1603.150813 -1603.074382 -50.4349  -48.55900
-1603.150784 -1603.074394 -49.4349  -47.87215
-1603.150742 -1603.074396 -48.4349  -47.19460
-1603.150685 -1603.074387 -47.4349  -46.52620
-1603.150613 -1603.074367 -46.4349  -45.86210
-1603.150528 -1603.074335 -45.4349  -45.21335
-1603.150428 -1603.074291 -44.4349  -44.57680
-1603.150310 -1603.074234 -43.4349  -43.94365
-1603.150177 -1603.074164 -42.4349  -43.31655
-1603.150026 -1603.074081 -41.4349  -42.69405
-1603.149859 -1603.073984 -40.4349  -42.07375
