optS0 = -1603.15503365
tdS0  = -1603.06537894
optS1 = -1603.0746096
optR1 = -1603.06827809

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3349        1.3340        1.3307
  R2         R(1,5)        1.3895        1.4108        1.4086
  R3        R(1,19)        1.5541        1.5426        1.5438
  R4         R(2,3)        1.4176        1.4223        1.4221
  R5        R(2,21)        1.0882        1.0876        1.0871
  R6         R(3,4)        1.3959        1.4135        1.4134
  R7        R(3,30)        1.4710        1.4501        1.4516
  R8         R(4,5)        1.4152        1.4028        1.4010
  R9        R(4,22)        1.0863        1.0844        1.0842
 R10        R(5,12)        1.4056        1.4223        1.4438
 R11         R(6,7)        1.3927        1.3925        1.3896
 R12        R(6,11)        1.4031        1.4066        1.4162
 R13        R(6,23)        1.0908        1.0912        1.0867
 R14         R(7,8)        1.3955        1.3960        1.3962
 R15        R(7,24)        1.0902        1.0907        1.0906
 R16         R(8,9)        1.3955        1.3956        1.3961
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3927        1.3929        1.3897
 R19        R(9,26)        1.0902        1.0907        1.0906
 R20       R(10,11)        1.4031        1.4062        1.4161
 R21       R(10,27)        1.0907        1.0907        1.0867
 R22       R(11,12)        1.4782        1.4728        1.4550
 R23       R(12,13)        1.4055        1.4230        1.4436
 R24       R(13,14)        1.4152        1.4023        1.4011
 R25       R(13,17)        1.3887        1.4091        1.4084
 R26       R(14,15)        1.3959        1.4133        1.4132
 R27       R(14,28)        1.0865        1.0851        1.0843
 R28       R(15,16)        1.4177        1.4231        1.4221
 R29       R(15,40)        1.4709        1.4499        1.4518
 R30       R(16,17)        1.3349        1.3337        1.3309
 R31       R(16,29)        1.0881        1.0875        1.0871
 R32       R(17,19)        1.5526        1.5410        1.5435
 R33       R(18,19)        1.3923        1.3957        1.3900
 R34       R(19,20)        1.3966        1.4031        1.3976
 R35       R(30,31)        1.4062        1.4139        1.4130
 R36       R(30,32)        1.3986        1.4080        1.4070
 R37       R(31,33)        1.3855        1.3806        1.3810
 R38       R(31,36)        1.0912        1.0902        1.0902
 R39       R(32,34)        1.3956        1.3888        1.3895
 R40       R(32,37)        1.0913        1.0903        1.0904
 R41       R(33,35)        1.4031        1.4074        1.4069
 R42       R(33,38)        1.0903        1.0900        1.0900
 R43       R(34,35)        1.3984        1.4033        1.4028
 R44       R(34,39)        1.0885        1.0881        1.0882
 R45       R(35,50)        1.3554        1.3461        1.3469
 R46       R(40,41)        1.4062        1.4139        1.4129
 R47       R(40,42)        1.3986        1.4081        1.4070
 R48       R(41,43)        1.3855        1.3805        1.3810
 R49       R(41,46)        1.0912        1.0902        1.0903
 R50       R(42,44)        1.3955        1.3888        1.3896
 R51       R(42,47)        1.0913        1.0902        1.0904
 R52       R(43,45)        1.4030        1.4074        1.4069
 R53       R(43,48)        1.0903        1.0900        1.0900
 R54       R(44,45)        1.3985        1.4034        1.4027
 R55       R(44,49)        1.0885        1.0881        1.0882
 R56       R(45,55)        1.3554        1.3460        1.3470
 R57       R(50,51)        1.4170        1.4203        1.4200
 R58       R(51,52)        1.0947        1.0942        1.0942
 R59       R(51,53)        1.1013        1.1005        1.1005
 R60       R(51,54)        1.1012        1.1005        1.1005
 R61       R(55,56)        1.4170        1.4203        1.4199
 R62       R(56,57)        1.0947        1.0941        1.0942
 R63       R(56,58)        1.1012        1.1004        1.1005
 R64       R(56,59)        1.1012        1.1005        1.1005
  A1       A(2,1,5)      108.2624      108.7730      109.3934
  A2      A(2,1,19)      125.5488      124.8956      127.8814
  A3      A(5,1,19)      125.5922      125.5607      122.7248
  A4       A(1,2,3)      110.5718      109.9849      109.6336
  A5      A(1,2,21)      120.4233      120.3395      120.3035
  A6      A(3,2,21)      128.9832      129.6438      130.0551
  A7       A(2,3,4)      105.7209      105.9726      105.9338
  A8      A(2,3,30)      126.0993      125.7947      125.9003
  A9      A(4,3,30)      128.1772      128.2307      128.1655
 A10       A(3,4,5)      107.5949      107.7080      107.9547
 A11      A(3,4,22)      127.2220      127.0317      126.2722
 A12      A(5,4,22)      125.1800      125.2548      125.5696
 A13       A(1,5,4)      107.8435      107.5421      107.0834
 A14      A(1,5,12)      120.8637      120.5425      119.4436
 A15      A(4,5,12)      131.2928      131.9002      133.0551
 A16      A(7,6,11)      120.1414      120.7982      121.4650
 A17      A(7,6,23)      120.2581      119.9189      118.4108
 A18     A(11,6,23)      119.5827      119.2712      120.0861
 A19       A(6,7,8)      120.1528      120.2872      120.7334
 A20      A(6,7,24)      119.6524      119.5909      119.1560
 A21      A(8,7,24)      120.1947      120.1203      120.1059
 A22       A(7,8,9)      119.9588      119.5137      118.8085
 A23      A(7,8,25)      120.0188      120.2473      120.5860
 A24      A(9,8,25)      120.0224      120.2388      120.5865
 A25      A(8,9,10)      120.1678      120.3399      120.7365
 A26      A(8,9,26)      120.1870      120.1064      120.1075
 A27     A(10,9,26)      119.6449      119.5506      119.1516
 A28     A(9,10,11)      120.1283      120.7428      121.4637
 A29     A(9,10,27)      120.2114      119.7577      118.4124
 A30    A(11,10,27)      119.6373      119.4745      120.0863
 A31     A(6,11,10)      119.4451      118.3166      116.6805
 A32     A(6,11,12)      120.0959      120.3772      121.5787
 A33    A(10,11,12)      120.4585      121.3035      121.6301
 A34     A(5,12,11)      120.3198      121.4567      123.1436
 A35     A(5,12,13)      119.8573      118.3765      113.6339
 A36    A(11,12,13)      119.8181      120.0766      123.0836
 A37    A(12,13,14)      130.9804      131.1776      133.0136
 A38    A(12,13,17)      121.0004      120.9919      119.4781
 A39    A(14,13,17)      107.8502      107.6278      107.0836
 A40    A(13,14,15)      107.5845      107.6686      107.9553
 A41    A(13,14,28)      125.0904      124.9457      125.5767
 A42    A(15,14,28)      127.2757      127.3015      126.2483
 A43    A(14,15,16)      105.7299      105.9619      105.9378
 A44    A(14,15,40)      128.0863      128.2397      128.1081
 A45    A(16,15,40)      126.1830      125.7977      125.9536
 A46    A(15,16,17)      110.5340      109.9410      109.6282
 A47    A(15,16,29)      129.0512      129.7044      130.0459
 A48    A(17,16,29)      120.4131      120.3507      120.3153
 A49    A(13,17,16)      108.3003      108.7970      109.3944
 A50    A(13,17,19)      125.7153      125.4746      122.7042
 A51    A(16,17,19)      125.9704      125.6167      127.9009
 A52     A(1,19,17)      105.6210      104.9500      102.5866
 A53     A(1,19,18)      110.7078      110.8567      110.7440
 A54     A(1,19,20)      109.7509      110.2622      110.6287
 A55    A(17,19,18)      110.3844      110.7849      110.7399
 A56    A(17,19,20)      110.1779      110.5244      110.6795
 A57    A(18,19,20)      110.1128      109.4034      111.1668
 A58     A(3,30,31)      120.8360      120.8444      120.9359
 A59     A(3,30,32)      121.3502      121.5613      121.4543
 A60    A(31,30,32)      117.8138      117.5941      117.6097
 A61    A(30,31,33)      121.1385      121.1969      121.1924
 A62    A(30,31,36)      119.8560      119.8005      119.8298
 A63    A(33,31,36)      119.0001      119.0020      118.9765
 A64    A(30,32,34)      121.7268      121.8103      121.8086
 A65    A(30,32,37)      119.9553      119.9449      119.9505
 A66    A(34,32,37)      118.3116      118.2429      118.2397
 A67    A(31,33,35)      120.3594      120.3199      120.3310
 A68    A(31,33,38)      121.1962      121.3531      121.3286
 A69    A(35,33,38)      118.4428      118.3270      118.3402
 A70    A(32,34,35)      119.5954      119.5607      119.5613
 A71    A(32,34,39)      119.1764      119.3250      119.2873
 A72    A(35,34,39)      121.2269      121.1141      121.1514
 A73    A(33,35,34)      119.3655      119.5182      119.4969
 A74    A(33,35,50)      116.0142      115.9742      115.9662
 A75    A(34,35,50)      124.6204      124.5076      124.5368
 A76    A(15,40,41)      120.7606      120.8030      120.8960
 A77    A(15,40,42)      121.4239      121.5988      121.4822
 A78    A(41,40,42)      117.8154      117.5980      117.6215
 A79    A(40,41,43)      121.1467      121.1975      121.1916
 A80    A(40,41,46)      119.8080      119.7691      119.8124
 A81    A(43,41,46)      119.0393      119.0321      118.9940
 A82    A(40,42,44)      121.7153      121.8041      121.7963
 A83    A(40,42,47)      119.9717      119.9495      119.9464
 A84    A(44,42,47)      118.3065      118.2447      118.2548
 A85    A(41,43,45)      120.3491      120.3151      120.3236
 A86    A(41,43,48)      121.2015      121.3599      121.3328
 A87    A(45,43,48)      118.4474      118.3249      118.3433
 A88    A(42,44,45)      119.6057      119.5632      119.5626
 A89    A(42,44,49)      119.1757      119.3263      119.2883
 A90    A(45,44,49)      121.2173      121.1104      121.1490
 A91    A(43,45,44)      119.3670      119.5221      119.5041
 A92    A(43,45,55)      116.0245      115.9729      115.9614
 A93    A(44,45,55)      124.6084      124.5050      124.5345
 A94    A(35,50,51)      117.3326      117.7897      117.7477
 A95    A(50,51,52)      106.1330      105.9718      105.9839
 A96    A(50,51,53)      111.1793      110.9716      110.9906
 A97    A(50,51,54)      111.1815      110.9746      110.9847
 A98    A(52,51,53)      109.4776      109.6385      109.6174
 A99    A(52,51,54)      109.4923      109.6369      109.6276
A100    A(53,51,54)      109.3156      109.5815      109.5708
A101    A(45,55,56)      117.3273      117.7951      117.7358
A102    A(55,56,57)      106.1340      105.9693      105.9931
A103    A(55,56,58)      111.1802      110.9719      110.9848
A104    A(55,56,59)      111.1838      110.9707      110.9883
A105    A(57,56,58)      109.4902      109.6351      109.6306
A106    A(57,56,59)      109.4761      109.6383      109.6228
A107    A(58,56,59)      109.3148      109.5892      109.5563
  D1     D(5,1,2,3)        0.0149       -0.6978        0.0566
  D2    D(5,1,2,21)     -178.4379     -178.8372     -179.0260
  D3    D(19,1,2,3)      171.5404      169.6957      179.8382
  D4   D(19,1,2,21)       -6.9124       -8.4437        0.7555
  D5     D(2,1,5,4)        0.4805        1.3119       -0.2450
  D6    D(2,1,5,12)     -179.5920     -177.4326     -173.7695
