optS0 = -1603.15503365
tdS0 = -1603.06537894
optS1 = -1603.0746096
optR1 = -1603.06827809

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52257  2.52083  2.51468
  R2         R(1,5)  2.62573  2.66605  2.66181
  R3        R(1,19)  2.93677  2.91501  2.91728
  R4         R(2,3)  2.67882  2.68775  2.68736
  R5        R(2,21)  2.05642  2.05532  2.05436
  R6         R(3,4)  2.63792  2.67106  2.67099
  R7        R(3,30)  2.77972  2.74031  2.74312
  R8         R(4,5)  2.67435  2.65084  2.64752
  R9        R(4,22)  2.05282  2.04930  2.04887
 R10        R(5,12)  2.65613  2.68779  2.72842
 R11         R(6,7)  2.63179  2.63141  2.62605
 R12        R(6,11)  2.65155  2.65809  2.67621
 R13        R(6,23)  2.06135  2.06210  2.05356
 R14         R(7,8)  2.63707  2.63805  2.63835
 R15        R(7,24)  2.06017  2.06106  2.06101
 R16         R(8,9)  2.63712  2.63726  2.63823
 R17        R(8,25)  2.06059  2.06061  2.05994
 R18        R(9,10)  2.63179  2.63229  2.62609
 R19        R(9,26)  2.06015  2.06108  2.06103
 R20       R(10,11)  2.65140  2.65739  2.67613
 R21       R(10,27)  2.06121  2.06115  2.05351
 R22       R(11,12)  2.79342  2.78315  2.74952
 R23       R(12,13)  2.65602  2.68899  2.72794
 R24       R(13,14)  2.67438  2.64989  2.64779
 R25       R(13,17)  2.62426  2.66280  2.66140
 R26       R(14,15)  2.63779  2.67083  2.67064
 R27       R(14,28)  2.05327  2.05049  2.04906
 R28       R(15,16)  2.67913  2.68927  2.68733
 R29       R(15,40)  2.77961  2.73997  2.74347
 R30       R(16,17)  2.52256  2.52026  2.51497
 R31       R(16,29)  2.05628  2.05515  2.05432
 R32       R(17,19)  2.93406  2.91199  2.91687
 R33       R(18,19)  2.63110  2.63755  2.62673
 R34       R(19,20)  2.63921  2.65152  2.64112
 R35       R(30,31)  2.65735  2.67181  2.67016
 R36       R(30,32)  2.64293  2.66071  2.65893
 R37       R(31,33)  2.61813  2.60891  2.60966
 R38       R(31,36)  2.06202  2.06014  2.06024
 R39       R(32,34)  2.63726  2.62447  2.62569
 R40       R(32,37)  2.06221  2.06029  2.06049
 R41       R(33,35)  2.65149  2.65953  2.65870
 R42       R(33,38)  2.06029  2.05973  2.05977
 R43       R(34,35)  2.64256  2.65193  2.65090
 R44       R(34,39)  2.05690  2.05622  2.05633
 R45       R(35,50)  2.56128  2.54371  2.54531
 R46       R(40,41)  2.65733  2.67192  2.67003
 R47       R(40,42)  2.64305  2.66083  2.65879
 R48       R(41,43)  2.61826  2.60885  2.60975
 R49       R(41,46)  2.06213  2.06020  2.06041
