From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150874 -1603.074610 -48.7855  -47.33635
-1603.150822 -1603.074604 -47.7856  -46.66845
-1603.150755 -1603.074587 -46.7856  -46.00420
-1603.150673 -1603.074559 -45.7856  -45.33055
-1603.150580 -1603.074518 -44.7856  -44.70675
-1603.150472 -1603.074464 -43.7856  -44.08150
-1603.150345 -1603.074398 -42.7856  -43.45780
-1603.150202 -1603.074318 -41.7856  -42.83870
-1603.150040 -1603.074225 -40.7856  -42.22225
-1603.149860 -1603.074118 -39.7856  -41.60590
-1603.149661 -1603.073999 -38.7856  -40.98765
-1603.149446 -1603.073866 -37.7856  -40.37615
-1603.149212 -1603.073719 -36.7856  -39.76825
-1603.148962 -1603.073559 -35.7856  -39.16455
-1603.148694 -1603.073385 -34.7856  -38.56350
-1603.148408 -1603.073197 -33.7856  -37.96440
-1603.148104 -1603.072995 -32.7856  -37.36645
-1603.147782 -1603.072778 -31.7856  -36.76885
-1603.147442 -1603.072548 -30.7856  -36.17170
-1603.147084 -1603.072303 -29.7856  -35.57670
-1603.146708 -1603.072043 -28.7856  -34.98455
-1603.146315 -1603.071769 -27.7856  -34.39280
-1603.145905 -1603.071480 -26.7856  -33.80895
-1603.145476 -1603.071175 -25.7856  -33.22470
-1603.145030 -1603.070856 -24.7856  -32.64155
-1603.144566 -1603.070522 -23.7856  -32.05825
-1603.144083 -1603.070173 -22.7856  -31.47385
-1603.143582 -1603.069809 -21.7856  -30.88860
-1603.143061 -1603.069430 -20.7856  -30.30185
-1603.142521 -1603.069035 -19.7856  -29.71250
-1603.141961 -1603.068626 -18.7856  -29.11955
-1603.141378 -1603.068202 -17.7856  -28.51895
-1603.140773 -1603.067763 -16.7856  -27.90915
-1603.140146 -1603.067309 -15.7856  -27.28960
-1603.139495 -1603.066841 -14.7856  -26.65960
-1603.138797 -1603.066359 -13.7857  -25.98495
-1603.138085 -1603.065863 -12.7857  -25.30970
-1603.137285 -1603.065354 -11.7857  -24.52545
-1603.129761 -1603.068189 -10.7855   -5.70485
-1603.129723 -1603.068215  -9.7855   -4.79865
-1603.129700 -1603.068237  -8.7855   -3.91055
-1603.129687 -1603.068254  -7.7856   -3.03415
-1603.129675 -1603.068267  -6.7856   -2.16235
-1603.129678 -1603.068275  -5.7856   -1.29315
-1603.129684 -1603.068280  -4.7856   -0.41555
-1603.129697 -1603.068280  -3.7856    0.45970
-1603.129716 -1603.068276  -2.7856    1.32905
-1603.129744 -1603.068268  -1.7856    2.18985
-1603.129777 -1603.068256  -0.7856    3.04300
-1603.129818 -1603.068240   0.2144    3.88950
-1603.129867 -1603.068220   1.2144    4.73490
-1603.129925 -1603.068196   2.2144    5.58760
-1603.129991 -1603.068169   3.2144    6.45195
-1603.130068 -1603.068139   4.2144    7.32875
-1603.130175 -1603.068107   5.2145    8.24875

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150965 -1603.074514 -52.4392  -49.96675
-1603.150964 -1603.074547 -51.4392  -49.26125
-1603.150950 -1603.074569 -50.4392  -48.56680
-1603.150921 -1603.074582 -49.4392  -47.87945
-1603.150879 -1603.074584 -48.4392  -47.20045
-1603.150823 -1603.074575 -47.4392  -46.53155
-1603.150753 -1603.074555 -46.4392  -45.87270
-1603.150667 -1603.074522 -45.4392  -45.22340
-1603.150566 -1603.074478 -44.4392  -44.58330
-1603.150449 -1603.074421 -43.4392  -43.95065
-1603.150316 -1603.074351 -42.4392  -43.32385
-1603.150165 -1603.074267 -41.4392  -42.70120
-1603.149998 -1603.074171 -40.4392  -42.08075
-1603.149813 -1603.074062 -39.4391  -41.46115
-1603.149611 -1603.073939 -38.4391  -40.84330
-1603.149391 -1603.073803 -37.4391  -40.22835
-1603.149155 -1603.073654 -36.4391  -39.61730
-1603.148902 -1603.073491 -35.4391  -39.01155
-1603.148631 -1603.073314 -34.4391  -38.41235
-1603.148344 -1603.073123 -33.4391  -37.82000
-1603.148039 -1603.072918 -32.4391  -37.23355
-1603.147715 -1603.072697 -31.4391  -36.65185
-1603.147374 -1603.072462 -30.4391  -36.07350
-1603.147015 -1603.072212 -29.4391  -35.49775
-1603.146637 -1603.071947 -28.4391  -34.92270
-1603.146240 -1603.071667 -27.4391  -34.34780
-1603.145826 -1603.071371 -26.4391  -33.77290
-1603.145393 -1603.071061 -25.4391  -33.19790
-1603.144942 -1603.070735 -24.4391  -32.62285
-1603.144470 -1603.070394 -23.4391  -32.04565
-1603.143980 -1603.070038 -22.4392  -31.47330
-1603.143475 -1603.069667 -21.4394  -30.89420
-1603.132202 -1603.067909 -20.4393  -17.23980
-1603.131443 -1603.067917 -19.4393  -15.36415
-1603.131006 -1603.067940 -18.4392  -13.94210
-1603.130674 -1603.067970 -17.4393  -12.67730
-1603.130457 -1603.068004 -16.4392  -11.50525
-1603.130271 -1603.068040 -15.4392  -10.40530
-1603.130123 -1603.068075 -14.4392   -9.35365
-1603.129999 -1603.068110 -13.4392   -8.34110
-1603.129899 -1603.068143 -12.4392   -7.35080
-1603.129829 -1603.068173 -11.4392   -6.41020
-1603.129770 -1603.068200 -10.4392   -5.48590
-1603.129729 -1603.068223  -9.4392   -4.56120
-1603.129702 -1603.068243  -8.4392   -3.65865
-1603.129688 -1603.068258  -7.4392   -2.78115
-1603.129683 -1603.068270  -6.4392   -1.91640
-1603.129683 -1603.068276  -5.4392   -1.05565
-1603.129689 -1603.068278  -4.4393   -0.18250
