optS0 = -1603.15481741
tdS0 = -1603.06456718
optS1 = -1603.07429304
optR1 = -1603.06798659

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52247  2.52080  2.51468
  R2         R(1,5)  2.62570  2.66598  2.66170
  R3        R(1,19)  2.93699  2.91514  2.91746
  R4         R(2,3)  2.67888  2.68763  2.68723
  R5        R(2,21)  2.05641  2.05530  2.05434
  R6         R(3,4)  2.63786  2.67116  2.67111
  R7        R(3,30)  2.77969  2.74029  2.74312
  R8         R(4,5)  2.67439  2.65073  2.64737
  R9        R(4,22)  2.05282  2.04929  2.04888
 R10        R(5,12)  2.65608  2.68783  2.72850
 R11         R(6,7)  2.63179  2.63138  2.62599
 R12        R(6,11)  2.65152  2.65812  2.67626
 R13        R(6,23)  2.06136  2.06209  2.05358
 R14         R(7,8)  2.63705  2.63804  2.63836
 R15        R(7,24)  2.06017  2.06106  2.06101
 R16         R(8,9)  2.63710  2.63725  2.63824
 R17        R(8,25)  2.06059  2.06061  2.05994
 R18        R(9,10)  2.63179  2.63226  2.62603
 R19        R(9,26)  2.06015  2.06108  2.06103
 R20       R(10,11)  2.65136  2.65741  2.67618
 R21       R(10,27)  2.06121  2.06115  2.05353
 R22       R(11,12)  2.79348  2.78301  2.74920
 R23       R(12,13)  2.65598  2.68905  2.72802
 R24       R(13,14)  2.67443  2.64977  2.64764
 R25       R(13,17)  2.62422  2.66273  2.66130
 R26       R(14,15)  2.63774  2.67095  2.67077
 R27       R(14,28)  2.05327  2.05049  2.04906
 R28       R(15,16)  2.67918  2.68915  2.68721
 R29       R(15,40)  2.77958  2.73993  2.74347
 R30       R(16,17)  2.52246  2.52023  2.51497
 R31       R(16,29)  2.05628  2.05513  2.05430
 R32       R(17,19)  2.93426  2.91211  2.91706
 R33       R(18,19)  2.63092  2.63745  2.62668
 R34       R(19,20)  2.63896  2.65127  2.64079
 R35       R(30,31)  2.65734  2.67180  2.67014
 R36       R(30,32)  2.64289  2.66068  2.65890
 R37       R(31,33)  2.61811  2.60891  2.60965
 R38       R(31,36)  2.06202  2.06014  2.06023
 R39       R(32,34)  2.63725  2.62448  2.62570
 R40       R(32,37)  2.06221  2.06029  2.06049
 R41       R(33,35)  2.65146  2.65948  2.65865
 R42       R(33,38)  2.06028  2.05972  2.05976
 R43       R(34,35)  2.64253  2.65191  2.65087
 R44       R(34,39)  2.05689  2.05622  2.05634
 R45       R(35,50)  2.56132  2.54380  2.54541
 R46       R(40,41)  2.65731  2.67192  2.67002
 R47       R(40,42)  2.64301  2.66082  2.65876
 R48       R(41,43)  2.61824  2.60884  2.60974
 R49       R(41,46)  2.06213  2.06019  2.06041
 R50       R(42,44)  2.63713  2.62438  2.62594
 R51       R(42,47)  2.06217  2.06021  2.06049
 R52       R(43,45)  2.65133  2.65957  2.65859
 R53       R(43,48)  2.06029  2.05973  2.05974
 R54       R(44,45)  2.64267  2.65199  2.65074
 R55       R(44,49)  2.05688  2.05621  2.05639
 R56       R(45,55)  2.56136  2.54366  2.54562
 R57       R(50,51)  2.67764  2.68379  2.68328
 R58       R(51,52)  2.06865  2.06766  2.06775
