From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150643 -1603.074293 -48.7658  -47.31735
-1603.150591 -1603.074287 -47.7658  -46.64975
-1603.150523 -1603.074271 -46.7658  -45.98580
-1603.150441 -1603.074242 -45.7658  -45.31220
-1603.150347 -1603.074201 -44.7658  -44.68870
-1603.150238 -1603.074148 -43.7658  -44.06355
-1603.150111 -1603.074081 -42.7658  -43.43995
-1603.149967 -1603.074001 -41.7658  -42.82090
-1603.149804 -1603.073908 -40.7658  -42.20455
-1603.149624 -1603.073801 -39.7658  -41.58830
-1603.149424 -1603.073682 -38.7658  -40.97025
-1603.149208 -1603.073549 -37.7659  -40.35900
-1603.148974 -1603.073402 -36.7659  -39.75125
-1603.148723 -1603.073242 -35.7659  -39.14760
-1603.148455 -1603.073068 -34.7659  -38.54660
-1603.148168 -1603.072880 -33.7659  -37.94750
-1603.147864 -1603.072677 -32.7659  -37.34950
-1603.147541 -1603.072461 -31.7659  -36.75185
-1603.147200 -1603.072230 -30.7659  -36.15470
-1603.146842 -1603.071985 -29.7659  -35.55980
-1603.146466 -1603.071725 -28.7659  -34.96770
-1603.146072 -1603.071450 -27.7658  -34.37605
-1603.145661 -1603.071161 -26.7659  -33.79235
-1603.145232 -1603.070857 -25.7659  -33.20820
-1603.144785 -1603.070537 -24.7659  -32.62510
-1603.144320 -1603.070203 -23.7659  -32.04180
-1603.143837 -1603.069854 -22.7659  -31.45740
-1603.143335 -1603.069489 -21.7659  -30.87210
-1603.142813 -1603.069110 -20.7659  -30.28525
-1603.142273 -1603.068716 -19.7659  -29.69575
-1603.141712 -1603.068306 -18.7659  -29.10250
-1603.141128 -1603.067882 -17.7658  -28.50145
-1603.140522 -1603.067442 -16.7658  -27.89110
-1603.139893 -1603.066989 -15.7658  -27.27095
-1603.139241 -1603.066521 -14.7658  -26.64025
-1603.138542 -1603.066038 -13.7660  -25.96425
-1603.137828 -1603.065542 -12.7659  -25.28670
-1603.136992 -1603.065034 -11.7660  -24.45440
-1603.129495 -1603.067897 -10.7657   -5.66790
-1603.129461 -1603.067923  -9.7657   -4.77165
-1603.129434 -1603.067945  -8.7659   -3.88945
-1603.129420 -1603.067963  -7.7659   -3.01925
-1603.129416 -1603.067976  -6.7659   -2.15005
-1603.129418 -1603.067984  -5.7659   -1.27885
-1603.129425 -1603.067988  -4.7659   -0.40090
-1603.129438 -1603.067988  -3.7659    0.47350
-1603.129458 -1603.067984  -2.7659    1.34200
-1603.129485 -1603.067976  -1.7659    2.20150
-1603.129518 -1603.067964  -0.7659    3.05310
-1603.129559 -1603.067948   0.2341    3.89875
-1603.129608 -1603.067928   1.2341    4.74320
-1603.129665 -1603.067904   2.2341    5.59365
-1603.129730 -1603.067876   3.2341    6.45585
-1603.129814 -1603.067846   4.2342    7.33955
-1603.129901 -1603.067813   5.2342    8.23025

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150739 -1603.074199 -52.4317  -49.95515
-1603.150737 -1603.074232 -51.4317  -49.25060
-1603.150723 -1603.074255 -50.4317  -48.55660
-1603.150694 -1603.074268 -49.4317  -47.87000
-1603.150651 -1603.074270 -48.4317  -47.19155
-1603.150595 -1603.074261 -47.4317  -46.52275
-1603.150524 -1603.074241 -46.4317  -45.86385
-1603.150438 -1603.074209 -45.4317  -45.21455
-1603.150337 -1603.074164 -44.4317  -44.57485
-1603.150220 -1603.074107 -43.4317  -43.94295
-1603.150086 -1603.074037 -42.4317  -43.31665
-1603.149935 -1603.073954 -41.4317  -42.69385
-1603.149768 -1603.073857 -40.4317  -42.07305
-1603.149582 -1603.073748 -39.4316  -41.45300
-1603.149379 -1603.073626 -38.4316  -40.83485
-1603.149159 -1603.073490 -37.4316  -40.21970
-1603.148923 -1603.073340 -36.4316  -39.60865
-1603.148669 -1603.073178 -35.4316  -39.00340
-1603.148399 -1603.073001 -34.4316  -38.40495
-1603.148111 -1603.072810 -33.4316  -37.81330
-1603.147805 -1603.072604 -32.4316  -37.22750
