From fa scan:
Fixed   = ['D(6,11,12,13)', 'S', '54', '1.0000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076515 -48.7282  -47.28120
0.000053 0.076520 -47.7283  -46.61395
0.000122 0.076537 -46.7283  -45.95045
0.000205 0.076566 -45.7283  -45.27730
0.000300 0.076607 -44.7283  -44.65435
0.000411 0.076660 -43.7283  -44.02935
0.000539 0.076727 -42.7283  -43.40580
0.000684 0.076807 -41.7283  -42.78695
0.000848 0.076901 -40.7283  -42.17070
0.001029 0.077007 -39.7283  -41.55465
0.001229 0.077127 -38.7283  -40.93695
0.001447 0.077260 -37.7284  -40.32610
0.001682 0.077407 -36.7284  -39.71860
0.001934 0.077567 -35.7284  -39.11515
0.002204 0.077742 -34.7284  -38.51425
0.002491 0.077930 -33.7284  -37.91510
0.002797 0.078133 -32.7284  -37.31700
0.003121 0.078350 -31.7284  -36.71930
0.003463 0.078581 -30.7284  -36.12220
0.003823 0.078826 -29.7283  -35.52225
0.004200 0.079086 -28.7283  -34.92900
0.004593 0.079361 -27.7284  -34.34685
0.005008 0.079650 -26.7284  -33.75635
0.005437 0.079955 -25.7284  -33.17665
0.005884 0.080275 -24.7284  -32.59315
0.006350 0.080609 -23.7284  -32.01060
0.006835 0.080959 -22.7283  -31.42410
0.007339 0.081324 -21.7283  -30.83755
0.007863 0.081703 -20.7283  -30.24925
0.008407 0.082098 -19.7283  -29.65815
0.008971 0.082508 -18.7283  -29.06265
0.009563 0.082933 -17.7284  -28.45010
0.010173 0.083372 -16.7284  -27.83885
0.010805 0.083826 -15.7283  -27.21455
0.011461 0.084295 -14.7284  -26.58335
0.012147 0.084777 -13.7284  -25.92535
0.012868 0.085274 -12.7284  -25.23980
0.014229 0.085780 -11.7284  -23.67105
0.021197 0.082862 -10.7283   -5.64310
0.021234 0.082836  -9.7283   -4.73375
0.021259 0.082813  -8.7283   -3.85555
0.021275 0.082796  -7.7284   -2.98480
0.021278 0.082783  -6.7284   -2.11430
0.021277 0.082775  -5.7284   -1.24570
0.021270 0.082771  -4.7284   -0.37085
0.021257 0.082771  -3.7284    0.50035
0.021237 0.082775  -2.7284    1.36600
0.021210 0.082783  -1.7284    2.22300
0.021176 0.082795  -0.7283    3.07260
0.021135 0.082812   0.2717    3.91570
0.021086 0.082832   1.2717    4.75800
0.021028 0.082857   2.2717    5.60705
0.020962 0.082885   3.2717    6.46770
0.020886 0.082916   4.2717    7.34120
0.020795 0.082950   5.2717    8.23405

From fb scan:
Fixed   = ['D(6,11,12,13)', 'S', '48', '-1.000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076706 -52.4190  -49.93470
0.000003 0.076674 -51.4190  -49.22960
0.000018 0.076650 -50.4190  -48.53495
0.000047 0.076638 -49.4190  -47.84815
0.000091 0.076635 -48.4190  -47.16985
0.000148 0.076644 -47.4190  -46.50100
0.000219 0.076664 -46.4190  -45.84190
0.000306 0.076696 -45.4190  -45.19255
0.000408 0.076740 -44.4190  -44.55275
0.000526 0.076797 -43.4190  -43.92075
0.000661 0.076867 -42.4190  -43.29415
0.000812 0.076950 -41.4190  -42.67120
0.000980 0.077046 -40.4190  -42.05065
0.001166 0.077155 -39.4189  -41.43155
0.001370 0.077277 -38.4189  -40.81445
0.001590 0.077413 -37.4189  -40.19990
0.001827 0.077562 -36.4189  -39.58905
0.002082 0.077725 -35.4189  -38.98370
0.002353 0.077901 -34.4189  -38.38495
0.002642 0.078093 -33.4189  -37.79295
0.002948 0.078298 -32.4189  -37.20665
0.003272 0.078518 -31.4189  -36.62500
0.003614 0.078753 -30.4189  -36.04675
0.003975 0.079003 -29.4189  -35.47110
0.004353 0.079268 -28.4189  -34.89625
0.004751 0.079548 -27.4189  -34.32140
0.005167 0.079844 -26.4189  -33.74615
0.005602 0.080154 -25.4189  -33.17155
0.006054 0.080480 -24.4190  -32.59760
0.006524 0.080821 -23.4190  -32.02185
0.007014 0.081177 -22.4192  -31.44415
0.007523 0.081548 -21.4192  -30.86800
0.018963 0.083259 -20.4190  -17.00470
0.019662 0.083246 -19.4191  -15.22455
0.020077 0.083220 -18.4190  -13.83925
0.020398 0.083187 -17.4190  -12.59155
0.020610 0.083151 -16.4190  -11.43225
0.020793 0.083114 -15.4190  -10.34145
0.020939 0.083077 -14.4190   -9.29560
0.021060 0.083041 -13.4190   -8.28955
0.021157 0.083007 -12.4190   -7.30765
0.021225 0.082975 -11.4190   -6.37245
0.021284 0.082948 -10.4190   -5.45140
0.021324 0.082924  -9.4190   -4.53095
0.021349 0.082904  -8.4190   -3.63355
0.021363 0.082888  -7.4190   -2.76010
0.021366 0.082877  -6.4190   -1.89900
0.021366 0.082870  -5.4190   -1.04165
0.021360 0.082868  -4.4190   -0.17175
