From fa scan:
Fixed   = ['D(6,11,12,13)', 'S', '54', '1.0000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076350 -48.7658  -47.31735
0.000052 0.076355 -47.7658  -46.64975
0.000120 0.076372 -46.7658  -45.98580
0.000202 0.076401 -45.7658  -45.31220
0.000296 0.076442 -44.7658  -44.68870
0.000405 0.076495 -43.7658  -44.06355
0.000532 0.076562 -42.7658  -43.43995
0.000676 0.076642 -41.7658  -42.82090
0.000839 0.076735 -40.7658  -42.20455
0.001019 0.076842 -39.7658  -41.58830
0.001218 0.076961 -38.7658  -40.97025
0.001434 0.077094 -37.7659  -40.35900
0.001668 0.077241 -36.7659  -39.75125
0.001920 0.077401 -35.7659  -39.14760
0.002188 0.077575 -34.7659  -38.54660
0.002475 0.077763 -33.7659  -37.94750
0.002779 0.077966 -32.7659  -37.34950
0.003102 0.078182 -31.7659  -36.75185
0.003443 0.078413 -30.7659  -36.15470
0.003801 0.078658 -29.7659  -35.55980
0.004177 0.078918 -28.7659  -34.96770
0.004571 0.079193 -27.7658  -34.37605
0.004982 0.079482 -26.7659  -33.79235
0.005411 0.079786 -25.7659  -33.20820
0.005858 0.080106 -24.7659  -32.62510
0.006323 0.080440 -23.7659  -32.04180
0.006806 0.080789 -22.7659  -31.45740
0.007308 0.081153 -21.7659  -30.87210
0.007830 0.081533 -20.7659  -30.28525
0.008370 0.081927 -19.7659  -29.69575
0.008931 0.082337 -18.7659  -29.10250
0.009515 0.082761 -17.7658  -28.50145
0.010121 0.083200 -16.7658  -27.89110
0.010750 0.083654 -15.7658  -27.27095
0.011402 0.084122 -14.7658  -26.64025
0.012101 0.084605 -13.7660  -25.96425
0.012815 0.085101 -12.7659  -25.28670
0.013651 0.085609 -11.7660  -24.45440
0.021148 0.082746 -10.7657   -5.66790
0.021182 0.082720  -9.7657   -4.77165
0.021209 0.082698  -8.7659   -3.88945
0.021223 0.082680  -7.7659   -3.01925
0.021227 0.082667  -6.7659   -2.15005
0.021224 0.082659  -5.7659   -1.27885
0.021218 0.082655  -4.7659   -0.40090
0.021205 0.082655  -3.7659    0.47350
0.021185 0.082659  -2.7659    1.34200
0.021158 0.082667  -1.7659    2.20150
0.021125 0.082679  -0.7659    3.05310
0.021084 0.082695   0.2341    3.89875
0.021035 0.082715   1.2341    4.74320
0.020978 0.082739   2.2341    5.59365
0.020913 0.082767   3.2341    6.45585
0.020829 0.082797   4.2342    7.33955
0.020742 0.082830   5.2342    8.23025

From fb scan:
Fixed   = ['D(6,11,12,13)', 'S', '48', '-1.000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076540 -52.4317  -49.95515
0.000002 0.076507 -51.4317  -49.25060
0.000016 0.076484 -50.4317  -48.55660
0.000045 0.076472 -49.4317  -47.87000
0.000088 0.076469 -48.4317  -47.19155
0.000144 0.076478 -47.4317  -46.52275
0.000215 0.076499 -46.4317  -45.86385
0.000301 0.076530 -45.4317  -45.21455
0.000402 0.076575 -44.4317  -44.57485
0.000519 0.076632 -43.4317  -43.94295
0.000653 0.076702 -42.4317  -43.31665
0.000804 0.076785 -41.4317  -42.69385
0.000971 0.076882 -40.4317  -42.07305
0.001157 0.076991 -39.4316  -41.45300
0.001360 0.077113 -38.4316  -40.83485
0.001580 0.077249 -37.4316  -40.21970
0.001816 0.077399 -36.4316  -39.60865
0.002070 0.077562 -35.4316  -39.00340
0.002340 0.077738 -34.4316  -38.40495
0.002628 0.077930 -33.4316  -37.81330
0.002934 0.078135 -32.4316  -37.22750
0.003257 0.078355 -31.4316  -36.64615
0.003599 0.078591 -30.4316  -36.06800
0.003958 0.078841 -29.4316  -35.49220
0.004337 0.079106 -28.4316  -34.91715
0.004734 0.079386 -27.4316  -34.34210
0.005149 0.079681 -26.4316  -33.76700
0.005583 0.079992 -25.4316  -33.19300
0.006035 0.080318 -24.4316  -32.61925
0.006505 0.080659 -23.4316  -32.04505
0.006991 0.081015 -22.4319  -31.46590
0.007502 0.081386 -21.4319  -30.89010
0.018835 0.083129 -20.4318  -17.15480
0.019575 0.083119 -19.4318  -15.31325
0.020003 0.083095 -18.4317  -13.90570
0.020332 0.083064 -17.4318  -12.64635
0.020547 0.083030 -16.4317  -11.47950
0.020731 0.082993 -15.4317  -10.38305
0.020878 0.082957 -14.4317   -9.33335
0.021001 0.082922 -13.4317   -8.32285
0.021101 0.082889 -12.4317   -7.33550
0.021170 0.082858 -11.4317   -6.39675
0.021229 0.082831 -10.4317   -5.47360
0.021270 0.082808  -9.4317   -4.55030
0.021296 0.082788  -8.4317   -3.64955
0.021310 0.082772  -7.4317   -2.77350
0.021314 0.082761  -6.4317   -1.91000
0.021314 0.082755  -5.4317   -1.05035
0.021308 0.082752  -4.4318   -0.17825
