optS0 = -1603.15244745
tdS0  = -1603.06265916
optS1 = -1603.07084459
optR1 = -1603.06480887

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3343        1.3338        1.3307
  R2         R(1,5)        1.3893        1.4104        1.4079
  R3        R(1,19)        1.5554        1.5434        1.5449
  R4         R(2,3)        1.4179        1.4215        1.4213
  R5        R(2,21)        1.0882        1.0875        1.0870
  R6         R(3,4)        1.3956        1.4141        1.4142
  R7        R(3,30)        1.4708        1.4500        1.4516
  R8         R(4,5)        1.4155        1.4021        1.4001
  R9        R(4,22)        1.0863        1.0844        1.0843
 R10        R(5,12)        1.4053        1.4225        1.4443
 R11         R(6,7)        1.3927        1.3923        1.3893
 R12        R(6,11)        1.4029        1.4068        1.4165
 R13        R(6,23)        1.0908        1.0912        1.0868
 R14         R(7,8)        1.3954        1.3959        1.3962
 R15        R(7,24)        1.0902        1.0907        1.0906
 R16         R(8,9)        1.3954        1.3955        1.3962
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3927        1.3928        1.3893
 R19        R(9,26)        1.0902        1.0907        1.0907
 R20       R(10,11)        1.4029        1.4064        1.4165
 R21       R(10,27)        1.0908        1.0907        1.0868
 R22       R(11,12)        1.4785        1.4719        1.4530
 R23       R(12,13)        1.4052        1.4233        1.4441
 R24       R(13,14)        1.4155        1.4015        1.4002
 R25       R(13,17)        1.3885        1.4087        1.4077
 R26       R(14,15)        1.3955        1.4141        1.4140
 R27       R(14,28)        1.0865        1.0851        1.0844
 R28       R(15,16)        1.4181        1.4224        1.4213
 R29       R(15,40)        1.4707        1.4497        1.4518
 R30       R(16,17)        1.3343        1.3334        1.3309
 R31       R(16,29)        1.0881        1.0874        1.0870
 R32       R(17,19)        1.5539        1.5418        1.5447
 R33       R(18,19)        1.3912        1.3951        1.3896
 R34       R(19,20)        1.3951        1.4015        1.3956
 R35       R(30,31)        1.4061        1.4138        1.4129
 R36       R(30,32)        1.3984        1.4078        1.4068
 R37       R(31,33)        1.3853        1.3805        1.3810
 R38       R(31,36)        1.0912        1.0901        1.0902
 R39       R(32,34)        1.3955        1.3888        1.3895
 R40       R(32,37)        1.0913        1.0903        1.0904
 R41       R(33,35)        1.4029        1.4071        1.4066
 R42       R(33,38)        1.0902        1.0899        1.0900
 R43       R(34,35)        1.3982        1.4032        1.4026
 R44       R(34,39)        1.0884        1.0881        1.0882
 R45       R(35,50)        1.3556        1.3466        1.3475
 R46       R(40,41)        1.4061        1.4139        1.4128
 R47       R(40,42)        1.3984        1.4080        1.4068
 R48       R(41,43)        1.3854        1.3805        1.3810
 R49       R(41,46)        1.0912        1.0902        1.0903
 R50       R(42,44)        1.3955        1.3887        1.3896
 R51       R(42,47)        1.0913        1.0902        1.0904
 R52       R(43,45)        1.4029        1.4072        1.4066
 R53       R(43,48)        1.0902        1.0899        1.0899
 R54       R(44,45)        1.3983        1.4033        1.4025
 R55       R(44,49)        1.0884        1.0881        1.0882
 R56       R(45,55)        1.3556        1.3465        1.3476
 R57       R(50,51)        1.4161        1.4193        1.4190
 R58       R(51,52)        1.0947        1.0942        1.0943
 R59       R(51,53)        1.1014        1.1007        1.1007
 R60       R(51,54)        1.1014        1.1007        1.1007
 R61       R(55,56)        1.4161        1.4194        1.4189
 R62       R(56,57)        1.0948        1.0942        1.0943
 R63       R(56,58)        1.1014        1.1006        1.1007
 R64       R(56,59)        1.1014        1.1006        1.1007
  A1       A(2,1,5)      108.2661      108.7914      109.3894
