optS0 = -1603.15244745
tdS0 = -1603.06265916
optS1 = -1603.07084459
optR1 = -1603.06480887

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52144  2.52052  2.51474
  R2         R(1,5)  2.62534  2.66520  2.66047
  R3        R(1,19)  2.93936  2.91659  2.91943
  R4         R(2,3)  2.67943  2.68629  2.68586
  R5        R(2,21)  2.05637  2.05509  2.05418
  R6         R(3,4)  2.63723  2.67226  2.67240
  R7        R(3,30)  2.77934  2.74017  2.74319
  R8         R(4,5)  2.67491  2.64967  2.64582
  R9        R(4,22)  2.05284  2.04925  2.04898
 R10        R(5,12)  2.65556  2.68819  2.72933
 R11         R(6,7)  2.63179  2.63105  2.62537
 R12        R(6,11)  2.65119  2.65838  2.67680
 R13        R(6,23)  2.06139  2.06203  2.05373
 R14         R(7,8)  2.63686  2.63793  2.63849
 R15        R(7,24)  2.06023  2.06110  2.06102
 R16         R(8,9)  2.63691  2.63713  2.63838
 R17        R(8,25)  2.06062  2.06061  2.05994
 R18        R(9,10)  2.63179  2.63192  2.62539
 R19        R(9,26)  2.06020  2.06112  2.06104
 R20       R(10,11)  2.65103  2.65767  2.67674
 R21       R(10,27)  2.06125  2.06108  2.05370
 R22       R(11,12)  2.79404  2.78153  2.74579
 R23       R(12,13)  2.65549  2.68972  2.72892
 R24       R(13,14)  2.67492  2.64847  2.64603
 R25       R(13,17)  2.62383  2.66196  2.66016
 R26       R(14,15)  2.63715  2.67229  2.67211
 R27       R(14,28)  2.05328  2.05047  2.04913
 R28       R(15,16)  2.67974  2.68787  2.68589
 R29       R(15,40)  2.77924  2.73955  2.74345
 R30       R(16,17)  2.52144  2.51984  2.51495
 R31       R(16,29)  2.05623  2.05492  2.05413
 R32       R(17,19)  2.93650  2.91352  2.91911
 R33       R(18,19)  2.62894  2.63628  2.62604
 R34       R(19,20)  2.63630  2.64852  2.63722
 R35       R(30,31)  2.65717  2.67167  2.66994
 R36       R(30,32)  2.64250  2.66041  2.65852
 R37       R(31,33)  2.61786  2.60884  2.60964
 R38       R(31,36)  2.06203  2.06008  2.06020
 R39       R(32,34)  2.63719  2.62451  2.62581
 R40       R(32,37)  2.06223  2.06029  2.06047
 R41       R(33,35)  2.65115  2.65901  2.65813
 R42       R(33,38)  2.06019  2.05968  2.05972
 R43       R(34,35)  2.64220  2.65161  2.65048
 R44       R(34,39)  2.05687  2.05626  2.05637
 R45       R(35,50)  2.56174  2.54475  2.54640
 R46       R(40,41)  2.65715  2.67189  2.66986
 R47       R(40,42)  2.64264  2.66067  2.65843
 R48       R(41,43)  2.61798  2.60870  2.60969
 R49       R(41,46)  2.06213  2.06012  2.06035
 R50       R(42,44)  2.63706  2.62432  2.62598
 R51       R(42,47)  2.06219  2.06019  2.06048
 R52       R(43,45)  2.65102  2.65915  2.65809
 R53       R(43,48)  2.06020  2.05968  2.05970
 R54       R(44,45)  2.64235  2.65177  2.65039
 R55       R(44,49)  2.05685  2.05625  2.05642
 R56       R(45,55)  2.56176  2.54447  2.54655
 R57       R(50,51)  2.67605  2.68206  2.68153
 R58       R(51,52)  2.06877  2.06782  2.06790
 R59       R(51,53)  2.08139  2.07995  2.08001
 R60       R(51,54)  2.08135  2.07994  2.08002
 R61       R(55,56)  2.67603  2.68219  2.68138
 R62       R(56,57)  2.06878  2.06780  2.06794
 R63       R(56,58)  2.08134  2.07987  2.08002
 R64       R(56,59)  2.08134  2.07992  2.08007
  A1       A(2,1,5)  1.88960  1.89877  1.90921
  A2      A(2,1,19)  2.19077  2.17817  2.23157
  A3      A(5,1,19)  2.19220  2.19241  2.14241
  A4       A(1,2,3)  1.93003  1.91953  1.91346
  A5      A(1,2,21)  2.10131  2.09911  2.09851
  A6      A(3,2,21)  2.25144  2.26392  2.27105
  A7       A(2,3,4)  1.84507  1.84951  1.84878
  A8      A(2,3,30)  2.20061  2.19638  2.19834
  A9      A(4,3,30)  2.23746  2.23725  2.23605
 A10       A(3,4,5)  1.87769  1.87956  1.88363
 A11      A(3,4,22)  2.22036  2.21736  2.20488
 A12      A(5,4,22)  2.18507  2.18618  2.19106
 A13       A(1,5,4)  1.88227  1.87705  1.86968
 A14      A(1,5,12)  2.10912  2.10396  2.08483
 A15      A(4,5,12)  2.29179  2.30191  2.32084
 A16      A(7,6,11)  2.09703  2.10845  2.11960
 A17      A(7,6,23)  2.09948  2.09355  2.06807
 A18     A(11,6,23)  2.08637  2.08095  2.09482
 A19       A(6,7,8)  2.09710  2.09961  2.10717
 A20      A(6,7,24)  2.08840  2.08717  2.07995
 A21      A(8,7,24)  2.09769  2.09638  2.09597
 A22       A(7,8,9)  2.09349  2.08569  2.07396
 A23      A(7,8,25)  2.09482  2.09882  2.10443
 A24      A(9,8,25)  2.09488  2.09867  2.10444
 A25      A(8,9,10)  2.09736  2.10050  2.10721
 A26      A(8,9,26)  2.09756  2.09612  2.09599
 A27     A(10,9,26)  2.08826  2.08652  2.07989
 A28     A(9,10,11)  2.09681  2.10753  2.11958
 A29     A(9,10,27)  2.09861  2.09066  2.06814
 A30    A(11,10,27)  2.08738  2.08452  2.09478
 A31     A(6,11,10)  2.08449  2.06457  2.03682
 A32     A(6,11,12)  2.09608  2.10106  2.12188
 A33    A(10,11,12)  2.10261  2.11751  2.12264
 A34     A(5,12,11)  2.09966  2.12064  2.15023
 A35     A(5,12,13)  2.09273  2.06504  1.98117
 A36    A(11,12,13)  2.09071  2.09594  2.14934
 A37    A(12,13,14)  2.28617  2.28885  2.32024
 A38    A(12,13,17)  2.11157  2.11199  2.08533
 A39    A(14,13,17)  1.88241  1.87862  1.86968
 A40    A(13,14,15)  1.87751  1.87884  1.88365
 A41    A(13,14,28)  2.18336  2.18071  2.19118
 A42    A(15,14,28)  2.22138  2.22208  2.20451
 A43    A(14,15,16)  1.84520  1.84929  1.84882
 A44    A(14,15,40)  2.23594  2.23743  2.23524
 A45    A(16,15,40)  2.20203  2.19645  2.19911
 A46    A(15,16,17)  1.92938  1.91871  1.91340
 A47    A(15,16,29)  2.25272  2.26509  2.27089
 A48    A(17,16,29)  2.10104  2.09931  2.09871
 A49    A(13,17,16)  1.89026  1.89926  1.90921
 A50    A(13,17,19)  2.19438  2.19094  2.14213
 A51    A(16,17,19)  2.19824  2.19115  2.23185
 A52     A(1,19,17)  1.84153  1.82920  1.78740
 A53     A(1,19,18)  1.93167  1.93424  1.93146
 A54     A(1,19,20)  1.91497  1.92476  1.93165
 A55    A(17,19,18)  1.92610  1.93284  1.93136
 A56    A(17,19,20)  1.92255  1.92951  1.93250
 A57    A(18,19,20)  1.92545  1.91222  1.94394
 A58     A(3,30,31)  2.10922  2.10975  2.11127
 A59     A(3,30,32)  2.11778  2.12148  2.11976
 A60    A(31,30,32)  2.05618  2.05195  2.05216
 A61    A(30,31,33)  2.11446  2.11565  2.11564
 A62    A(30,31,36)  2.09105  2.09022  2.09074
 A63    A(33,31,36)  2.07756  2.07731  2.07678
 A64    A(30,32,34)  2.12446  2.12616  2.12616
