From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.148105 -1603.070845 -48.5576  -47.11465
-1603.148047 -1603.070839 -47.5576  -46.44495
-1603.147972 -1603.070822 -46.5576  -45.76920
-1603.147887 -1603.070793 -45.5577  -45.13090
-1603.147787 -1603.070752 -44.5577  -44.49780
-1603.147670 -1603.070698 -43.5577  -43.87160
-1603.147537 -1603.070630 -42.5577  -43.24965
-1603.147386 -1603.070550 -41.5577  -42.63130
-1603.147217 -1603.070456 -40.5577  -42.01515
-1603.147031 -1603.070348 -39.5577  -41.39985
-1603.146826 -1603.070228 -38.5577  -40.78575
-1603.146604 -1603.070094 -37.5577  -40.17515
-1603.146364 -1603.069946 -36.5577  -39.56895
-1603.146107 -1603.069785 -35.5577  -38.96620
-1603.145832 -1603.069610 -34.5577  -38.36565
-1603.145539 -1603.069420 -33.5577  -37.76640
-1603.145228 -1603.069217 -32.5577  -37.16795
-1603.144898 -1603.068999 -31.5577  -36.56975
-1603.144551 -1603.068766 -30.5577  -35.97215
-1603.144186 -1603.068520 -29.5577  -35.37745
-1603.143803 -1603.068259 -28.5577  -34.78690
-1603.143403 -1603.067983 -27.5577  -34.19675
-1603.142986 -1603.067692 -26.5577  -33.61460
-1603.142550 -1603.067385 -25.5577  -33.03085
-1603.142097 -1603.067064 -24.5577  -32.44805
-1603.141625 -1603.066728 -23.5577  -31.86450
-1603.141134 -1603.066377 -22.5577  -31.27960
-1603.140624 -1603.066011 -21.5577  -30.69320
-1603.140094 -1603.065629 -20.5577  -30.10490
-1603.139545 -1603.065233 -19.5577  -29.51265
-1603.138974 -1603.064822 -18.5577  -28.91550
-1603.138383 -1603.064396 -17.5577  -28.31285
-1603.137748 -1603.063955 -16.5578  -27.66980
-1603.137106 -1603.063499 -15.5577  -27.04655
-1603.136439 -1603.063030 -14.5577  -26.40100
-1603.135743 -1603.062546 -13.5577  -25.74405
-1603.134962 -1603.062049 -12.5578  -24.98385
-1603.126692 -1603.064688 -11.5575   -6.34235
-1603.126650 -1603.064720 -10.5575   -5.44095
-1603.126620 -1603.064748  -9.5577   -4.55965
-1603.126601 -1603.064771  -8.5577   -3.69380
-1603.126591 -1603.064790  -7.5577   -2.83085
-1603.126584 -1603.064803  -6.5577   -1.97220
-1603.126586 -1603.064811  -5.5577   -1.11230
-1603.126595 -1603.064815  -4.5577   -0.24795
-1603.126610 -1603.064814  -3.5577    0.61210
-1603.126631 -1603.064809  -2.5577    1.46655
-1603.126660 -1603.064800  -1.5577    2.31355
-1603.126695 -1603.064786  -0.5577    3.15420
-1603.126737 -1603.064768   0.4423    3.98815
-1603.126786 -1603.064745   1.4423    4.82150
-1603.126844 -1603.064718   2.4423    5.66310
-1603.126910 -1603.064687   3.4423    6.51610
-1603.126986 -1603.064653   4.4423    7.38100
-1603.127084 -1603.064616   5.4424    8.27435

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.148210 -1603.070744 -52.3653  -49.83520
-1603.148205 -1603.070778 -51.3653  -49.13280
-1603.148187 -1603.070803 -50.3653  -48.44060
-1603.148155 -1603.070817 -49.3653  -47.75555
-1603.148108 -1603.070820 -48.3653  -47.07800
-1603.148048 -1603.070812 -47.3653  -46.40945
-1603.147973 -1603.070793 -46.3653  -45.75085
-1603.147884 -1603.070762 -45.3653  -45.10235
-1603.147779 -1603.070719 -44.3653  -44.46385
-1603.147658 -1603.070663 -43.3653  -43.83335
-1603.147521 -1603.070594 -42.3653  -43.20800
-1603.147366 -1603.070512 -41.3653  -42.58595
-1603.147195 -1603.070416 -40.3653  -41.96580
-1603.147006 -1603.070308 -39.3653  -41.34700
-1603.146800 -1603.070186 -38.3653  -40.73020
-1603.146577 -1603.070051 -37.3653  -40.11645
-1603.146337 -1603.069902 -36.3653  -39.50695
-1603.146081 -1603.069740 -35.3653  -38.90335
-1603.145807 -1603.069564 -34.3653  -38.30645
-1603.145515 -1603.069373 -33.3653  -37.71615
-1603.145206 -1603.069168 -32.3653  -37.13125
-1603.144879 -1603.068948 -31.3653  -36.55040
-1603.144534 -1603.068714 -30.3653  -35.97255
-1603.144170 -1603.068464 -29.3653  -35.39645
-1603.143787 -1603.068199 -28.3653  -34.82060
-1603.143386 -1603.067919 -27.3653  -34.24490
-1603.142968 -1603.067624 -26.3653  -33.67000
-1603.142533 -1603.067314 -25.3653  -33.09760
-1603.142076 -1603.066988 -24.3655  -32.52125
-1603.141601 -1603.066647 -23.3653  -31.94400
-1603.141105 -1603.066291 -22.3653  -31.36135
-1603.140594 -1603.065920 -21.3656  -30.78825
-1603.128731 -1603.064357 -20.3654  -16.43620
-1603.128157 -1603.064382 -19.3653  -14.86650
-1603.127772 -1603.064417 -18.3654  -13.54050
-1603.127504 -1603.064456 -17.3654  -12.34490
-1603.127292 -1603.064498 -16.3654  -11.21850
-1603.127120 -1603.064541 -15.3654  -10.16355
-1603.126982 -1603.064582 -14.3654   -9.13460
-1603.126869 -1603.064622 -13.3654   -8.14385
-1603.126781 -1603.064659 -12.3653   -7.18620
-1603.126718 -1603.064693 -11.3653   -6.26565
-1603.126663 -1603.064723 -10.3653   -5.35390
-1603.126626 -1603.064749  -9.3653   -4.44740
-1603.126604 -1603.064770  -8.3653   -3.56445
-1603.126593 -1603.064787  -7.3653   -2.70205
-1603.126591 -1603.064799  -6.3653   -1.85150
-1603.126593 -1603.064807  -5.3653   -1.00405
-1603.126600 -1603.064809  -4.3654   -0.14470
