optS0 = -1603.15431279
tdS0  = -1603.06429958
optS1 = -1603.07368808
optR1 = -1603.06736286

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3348        1.3340        1.3309
  R2         R(1,5)        1.3894        1.4108        1.4084
  R3        R(1,19)        1.5543        1.5428        1.5440
  R4         R(2,3)        1.4176        1.4220        1.4218
  R5        R(2,21)        1.0882        1.0876        1.0871
  R6         R(3,4)        1.3959        1.4140        1.4139
  R7        R(3,30)        1.4710        1.4499        1.4516
  R8         R(4,5)        1.4152        1.4022        1.4004
  R9        R(4,22)        1.0863        1.0844        1.0843
 R10        R(5,12)        1.4055        1.4223        1.4439
 R11         R(6,7)        1.3927        1.3924        1.3896
 R12        R(6,11)        1.4031        1.4066        1.4162
 R13        R(6,23)        1.0908        1.0912        1.0867
 R14         R(7,8)        1.3954        1.3960        1.3962
 R15        R(7,24)        1.0902        1.0907        1.0907
 R16         R(8,9)        1.3955        1.3956        1.3962
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3927        1.3929        1.3896
 R19        R(9,26)        1.0902        1.0907        1.0907
 R20       R(10,11)        1.4030        1.4063        1.4162
 R21       R(10,27)        1.0907        1.0907        1.0867
 R22       R(11,12)        1.4783        1.4726        1.4543
 R23       R(12,13)        1.4055        1.4230        1.4439
 R24       R(13,14)        1.4153        1.4017        1.4004
 R25       R(13,17)        1.3886        1.4091        1.4084
 R26       R(14,15)        1.3958        1.4139        1.4139
 R27       R(14,28)        1.0866        1.0851        1.0843
 R28       R(15,16)        1.4177        1.4228        1.4218
 R29       R(15,40)        1.4709        1.4497        1.4516
 R30       R(16,17)        1.3348        1.3337        1.3309
 R31       R(16,29)        1.0881        1.0875        1.0871
 R32       R(17,19)        1.5529        1.5412        1.5440
 R33       R(18,19)        1.3921        1.3955        1.3900
 R34       R(19,20)        1.3962        1.4027        1.3970
 R35       R(30,31)        1.3985        1.4074        1.4063
 R36       R(30,32)        1.4062        1.4146        1.4138
 R37       R(31,33)        1.3950        1.3893        1.3899
 R38       R(31,36)        1.0912        1.0902        1.0903
 R39       R(32,34)        1.3860        1.3800        1.3806
 R40       R(32,37)        1.0912        1.0902        1.0903
 R41       R(33,35)        1.3989        1.4031        1.4026
 R42       R(33,38)        1.0884        1.0882        1.0882
 R43       R(34,35)        1.4025        1.4077        1.4069
 R44       R(34,39)        1.0902        1.0899        1.0899
 R45       R(35,50)        1.3555        1.3461        1.3471
 R46       R(40,41)        1.3985        1.4074        1.4063
 R47       R(40,42)        1.4062        1.4147        1.4138
 R48       R(41,43)        1.3951        1.3893        1.3898
 R49       R(41,46)        1.0913        1.0902        1.0903
 R50       R(42,44)        1.3859        1.3800        1.3806
 R51       R(42,47)        1.0912        1.0902        1.0903
 R52       R(43,45)        1.3988        1.4032        1.4026
 R53       R(43,48)        1.0884        1.0882        1.0882
 R54       R(44,45)        1.4026        1.4077        1.4069
 R55       R(44,49)        1.0902        1.0899        1.0899
 R56       R(45,55)        1.3555        1.3461        1.3471
 R57       R(50,51)        1.4168        1.4201        1.4197
 R58       R(51,52)        1.0947        1.0942        1.0942
 R59       R(51,53)        1.1013        1.1005        1.1005
 R60       R(51,54)        1.1013        1.1005        1.1006
 R61       R(55,56)        1.4168        1.4201        1.4197
 R62       R(56,57)        1.0947        1.0942        1.0942
 R63       R(56,58)        1.1013        1.1005        1.1006
 R64       R(56,59)        1.1013        1.1005        1.1005
  A1       A(2,1,5)      108.2569      108.7637      109.3688
