optS0 = -1603.15431279
tdS0 = -1603.06429958
optS1 = -1603.07368808
optR1 = -1603.06736286

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52242  2.52080  2.51498
  R2         R(1,5)  2.62557  2.66607  2.66143
  R3        R(1,19)  2.93728  2.91552  2.91782
  R4         R(2,3)  2.67887  2.68719  2.68685
  R5        R(2,21)  2.05642  2.05526  2.05426
  R6         R(3,4)  2.63783  2.67204  2.67190
  R7        R(3,30)  2.77976  2.73985  2.74315
  R8         R(4,5)  2.67442  2.64978  2.64635
  R9        R(4,22)  2.05286  2.04929  2.04901
 R10        R(5,12)  2.65608  2.68784  2.72851
 R11         R(6,7)  2.63179  2.63134  2.62590
 R12        R(6,11)  2.65145  2.65814  2.67628
 R13        R(6,23)  2.06135  2.06207  2.05363
 R14         R(7,8)  2.63701  2.63802  2.63845
 R15        R(7,24)  2.06018  2.06107  2.06105
 R16         R(8,9)  2.63707  2.63723  2.63845
 R17        R(8,25)  2.06060  2.06061  2.05993
 R18        R(9,10)  2.63178  2.63219  2.62591
 R19        R(9,26)  2.06015  2.06109  2.06105
 R20       R(10,11)  2.65131  2.65745  2.67627
 R21       R(10,27)  2.06121  2.06114  2.05362
 R22       R(11,12)  2.79352  2.78277  2.74816
 R23       R(12,13)  2.65597  2.68903  2.72851
 R24       R(13,14)  2.67448  2.64888  2.64633
 R25       R(13,17)  2.62413  2.66282  2.66142
 R26       R(14,15)  2.63769  2.67180  2.67190
 R27       R(14,28)  2.05331  2.05049  2.04900
 R28       R(15,16)  2.67915  2.68869  2.68686
 R29       R(15,40)  2.77959  2.73952  2.74314
 R30       R(16,17)  2.52242  2.52025  2.51498
 R31       R(16,29)  2.05629  2.05511  2.05426
 R32       R(17,19)  2.93455  2.91245  2.91782
 R33       R(18,19)  2.63061  2.63717  2.62665
 R34       R(19,20)  2.63851  2.65078  2.64001
 R35       R(30,31)  2.64277  2.65953  2.65760
 R36       R(30,32)  2.65728  2.67325  2.67163
 R37       R(31,33)  2.63611  2.62539  2.62644
 R38       R(31,36)  2.06213  2.06020  2.06036
 R39       R(32,34)  2.61917  2.60779  2.60896
 R40       R(32,37)  2.06215  2.06021  2.06033
 R41       R(33,35)  2.64356  2.65154  2.65051
 R42       R(33,38)  2.05685  2.05640  2.05638
 R43       R(34,35)  2.65030  2.66009  2.65873
 R44       R(34,39)  2.06023  2.05959  2.05965
 R45       R(35,50)  2.56149  2.54380  2.54560
 R46       R(40,41)  2.64276  2.65965  2.65760
 R47       R(40,42)  2.65738  2.67334  2.67164
 R48       R(41,43)  2.63627  2.62531  2.62643
 R49       R(41,46)  2.06224  2.06027  2.06036
 R50       R(42,44)  2.61905  2.60776  2.60895
 R51       R(42,47)  2.06213  2.06016  2.06033
 R52       R(43,45)  2.64342  2.65161  2.65052
 R53       R(43,48)  2.05685  2.05639  2.05638
 R54       R(44,45)  2.65048  2.66016  2.65873
 R55       R(44,49)  2.06025  2.05959  2.05965
 R56       R(45,55)  2.56155  2.54371  2.54559
 R57       R(50,51)  2.67744  2.68351  2.68293
 R58       R(51,52)  2.06869  2.06769  2.06777
 R59       R(51,53)  2.08112  2.07967  2.07972
 R60       R(51,54)  2.08112  2.07966  2.07979
 R61       R(55,56)  2.67737  2.68360  2.68293
 R62       R(56,57)  2.06868  2.06767  2.06777
 R63       R(56,58)  2.08109  2.07966  2.07979
 R64       R(56,59)  2.08117  2.07967  2.07972
  A1       A(2,1,5)  1.88944  1.89829  1.90884
  A2      A(2,1,19)  2.19100  2.17951  2.23198
  A3      A(5,1,19)  2.19246  2.19180  2.14236
  A4       A(1,2,3)  1.92995  1.91975  1.91367
  A5      A(1,2,21)  2.10148  2.10008  2.09933
  A6      A(3,2,21)  2.25138  2.26279  2.27006
  A7       A(2,3,4)  1.84514  1.84939  1.84868
  A8      A(2,3,30)  2.19966  2.19506  2.19710
  A9      A(4,3,30)  2.23833  2.23870  2.23740
 A10       A(3,4,5)  1.87780  1.87975  1.88394
 A11      A(3,4,22)  2.22007  2.21723  2.20452
 A12      A(5,4,22)  2.18526  2.18612  2.19114
 A13       A(1,5,4)  1.88235  1.87728  1.86963
 A14      A(1,5,12)  2.10933  2.10389  2.08494
 A15      A(4,5,12)  2.29150  2.30177  2.32102
 A16      A(7,6,11)  2.09689  2.10832  2.11975
 A17      A(7,6,23)  2.09906  2.09315  2.06726
 A18     A(11,6,23)  2.08693  2.08150  2.09550
 A19       A(6,7,8)  2.09708  2.09946  2.10716
 A20      A(6,7,24)  2.08833  2.08724  2.07978
 A21      A(8,7,24)  2.09778  2.09646  2.09616
 A22       A(7,8,9)  2.09363  2.08587  2.07379
 A23      A(7,8,25)  2.09474  2.09873  2.10453
 A24      A(9,8,25)  2.09482  2.09857  2.10453
 A25      A(8,9,10)  2.09733  2.10035  2.10717
 A26      A(8,9,26)  2.09764  2.09622  2.09616
 A27     A(10,9,26)  2.08821  2.08656  2.07978
 A28     A(9,10,11)  2.09667  2.10738  2.11974
 A29     A(9,10,27)  2.09823  2.09036  2.06725
 A30    A(11,10,27)  2.08789  2.08499  2.09552
 A31     A(6,11,10)  2.08468  2.06495  2.03684
 A32     A(6,11,12)  2.09616  2.10111  2.12218
 A33    A(10,11,12)  2.10235  2.11708  2.12225
 A34     A(5,12,11)  2.09988  2.11975  2.14922
 A35     A(5,12,13)  2.09208  2.06604  1.98236
 A36    A(11,12,13)  2.09114  2.09586  2.14913
 A37    A(12,13,14)  2.28601  2.28920  2.32097
 A38    A(12,13,17)  2.11174  2.11169  2.08499
 A39    A(14,13,17)  1.88246  1.87875  1.86963
 A40    A(13,14,15)  1.87759  1.87905  1.88394
 A41    A(13,14,28)  2.18378  2.18083  2.19111
 A42    A(15,14,28)  2.22092  2.22180  2.20456
 A43    A(14,15,16)  1.84533  1.84923  1.84867
 A44    A(14,15,40)  2.23665  2.23878  2.23736
 A45    A(16,15,40)  2.20120  2.19517  2.19714
 A46    A(15,16,17)  1.92927  1.91896  1.91367
 A47    A(15,16,29)  2.25250  2.26383  2.27006
 A48    A(17,16,29)  2.10139  2.10032  2.09934
 A49    A(13,17,16)  1.89010  1.89873  1.90884
 A50    A(13,17,19)  2.19455  2.19033  2.14232
 A51    A(16,17,19)  2.19831  2.19215  2.23202
 A52     A(1,19,17)  1.84295  1.83119  1.78979
 A53     A(1,19,18)  1.93205  1.93473  1.93198
 A54     A(1,19,20)  1.91547  1.92440  1.93180
 A55    A(17,19,18)  1.92644  1.93348  1.93198
 A56    A(17,19,20)  1.92293  1.92902  1.93180
 A57    A(18,19,20)  1.92264  1.91014  1.94138
 A58     A(3,30,31)  2.11236  2.11024  2.11225
 A59     A(3,30,32)  2.11464  2.12079  2.11867
 A60    A(31,30,32)  2.05618  2.05216  2.05226
 A61    A(30,31,33)  2.12481  2.12646  2.12631
 A62    A(30,31,36)  2.08992  2.08866  2.08954
 A63    A(33,31,36)  2.06836  2.06805  2.06731
 A64    A(30,32,34)  2.11406  2.11509  2.11524
 A65    A(30,32,37)  2.09506  2.09527  2.09543
 A66    A(34,32,37)  2.07396  2.07279  2.07249
 A67    A(31,33,35)  2.08738  2.08639  2.08671
 A68    A(31,33,38)  2.08045  2.08269  2.08241
 A69    A(35,33,38)  2.11534  2.11410  2.11407
 A70    A(32,34,35)  2.10070  2.10038  2.10036
 A71    A(32,34,39)  2.11495  2.11744  2.11720
 A72    A(35,34,39)  2.06751  2.06536  2.06563
 A73    A(33,35,34)  2.08324  2.08588  2.08548
 A74    A(33,35,50)  2.17449  2.17395  2.17382
 A75    A(34,35,50)  2.02546  2.02336  2.02389
 A76    A(15,40,41)  2.11094  2.10943  2.11221
 A77    A(15,40,42)  2.11597  2.12149  2.11871
 A78    A(41,40,42)  2.05627  2.05227  2.05226
 A79    A(40,41,43)  2.12490  2.12646  2.12632
 A80    A(40,41,46)  2.08905  2.08809  2.08954
 A81    A(43,41,46)  2.06911  2.06861  2.06730
 A82    A(40,42,44)  2.11385  2.11496  2.11523
 A83    A(40,42,47)  2.09526  2.09533  2.09544
 A84    A(44,42,47)  2.07397  2.07287  2.07249
 A85    A(41,43,45)  2.08718  2.08630  2.08670
 A86    A(41,43,48)  2.08051  2.08284  2.08241
 A87    A(45,43,48)  2.11546  2.11405  2.11408
 A88    A(42,44,45)  2.10083  2.10041  2.10037
 A89    A(42,44,49)  2.11497  2.11747  2.11720
 A90    A(45,44,49)  2.06735  2.06530  2.06562
 A91    A(43,45,44)  2.08332  2.08598  2.08548
 A92    A(43,45,55)  2.17457  2.17386  2.17382
 A93    A(44,45,55)  2.02529  2.02335  2.02388
 A94    A(35,50,51)  2.04788  2.05612  2.05492
 A95    A(50,51,52)  1.85236  1.84957  1.84989
 A96    A(50,51,53)  1.94067  1.93682  1.93732
 A97    A(50,51,54)  1.94070  1.93696  1.93715
 A98    A(52,51,53)  1.91064  1.91336  1.91310
 A99    A(52,51,54)  1.91090  1.91350  1.91335
A100    A(53,51,54)  1.90769  1.91266  1.91208
A101    A(45,55,56)  2.04780  2.05619  2.05491
A102    A(55,56,57)  1.85236  1.84952  1.84989
A103    A(55,56,58)  1.94076  1.93696  1.93715
A104    A(55,56,59)  1.94067  1.93676  1.93732
A105    A(57,56,58)  1.91082  1.91356  1.91336
A106    A(57,56,59)  1.91062  1.91336  1.91310
A107    A(58,56,59)  1.90773  1.91271  1.91209
  D1     D(5,1,2,3) -0.00010 -0.01240  0.00098
  D2    D(5,1,2,21) -3.11473 -3.12128 -3.12517
  D3    D(19,1,2,3)  2.99450  2.96068 -3.14125
  D4   D(19,1,2,21) -0.12013 -0.14820  0.01579
  D5     D(2,1,5,4)  0.00830  0.02285 -0.00421
  D6    D(2,1,5,12) -3.13428 -3.09742 -3.03040
