From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150053 -1603.073688 -48.7504  -47.32280
-1603.150000 -1603.073682 -47.7505  -46.65630
-1603.149932 -1603.073666 -46.7505  -45.99265
-1603.149849 -1603.073637 -45.7504  -45.32015
-1603.149755 -1603.073596 -44.7505  -44.69765
-1603.149645 -1603.073543 -43.7505  -44.07250
-1603.149518 -1603.073476 -42.7505  -43.44910
-1603.149373 -1603.073396 -41.7505  -42.83005
-1603.149210 -1603.073302 -40.7505  -42.21325
-1603.149028 -1603.073195 -39.7505  -41.59655
-1603.148829 -1603.073075 -38.7505  -40.98045
-1603.148612 -1603.072942 -37.7505  -40.36780
-1603.148378 -1603.072795 -36.7505  -39.76020
-1603.148126 -1603.072635 -35.7505  -39.15635
-1603.147856 -1603.072460 -34.7505  -38.55490
-1603.147569 -1603.072272 -33.7505  -37.95520
-1603.147264 -1603.072069 -32.7505  -37.35680
-1603.146940 -1603.071852 -31.7505  -36.75890
-1603.146599 -1603.071620 -30.7505  -36.16145
-1603.146240 -1603.071375 -29.7505  -35.56640
-1603.145863 -1603.071115 -28.7505  -34.97445
-1603.145469 -1603.070840 -27.7505  -34.38565
-1603.145057 -1603.070550 -26.7505  -33.79925
-1603.144627 -1603.070245 -25.7505  -33.21515
-1603.144180 -1603.069925 -24.7505  -32.63305
-1603.143714 -1603.069590 -23.7505  -32.04810
-1603.143230 -1603.069240 -22.7505  -31.46905
-1603.142728 -1603.068875 -21.7505  -30.88390
-1603.142206 -1603.068495 -20.7505  -30.29800
-1603.141665 -1603.068100 -19.7505  -29.71040
-1603.141103 -1603.067690 -18.7505  -29.11645
-1603.140520 -1603.067265 -17.7505  -28.51760
-1603.139905 -1603.066825 -16.7506  -27.89420
-1603.139280 -1603.066370 -15.7505  -27.28110
-1603.138629 -1603.065901 -14.7505  -26.65545
-1603.137955 -1603.065417 -13.7505  -26.01480
-1603.137242 -1603.064919 -12.7506  -25.33555
-1603.136471 -1603.064409 -11.7506  -24.59680
-1603.128894 -1603.067326 -10.7504   -5.69275
-1603.128851 -1603.067352  -9.7504   -4.78360
-1603.128816 -1603.067375  -8.7505   -3.87430
-1603.128786 -1603.067393  -7.7505   -2.97195
-1603.128772 -1603.067408  -6.7505   -2.09135
-1603.128769 -1603.067418  -5.7505   -1.23690
-1603.128777 -1603.067423  -4.7505   -0.39485
-1603.128793 -1603.067423  -3.7505    0.44085
-1603.128817 -1603.067419  -2.7505    1.27490
-1603.128849 -1603.067409  -1.7505    2.11465
-1603.128888 -1603.067395  -0.7505    2.96735
-1603.128934 -1603.067377   0.2495    3.83510
-1603.128987 -1603.067356   1.2495    4.71195
-1603.129049 -1603.067331   2.2495    5.58675
-1603.129117 -1603.067303   3.2495    6.45485
-1603.129192 -1603.067273   4.2495    7.32705
