optS0 = -1603.15483332
tdS0 = -1603.06528909
optS1 = -1603.07443537
optR1 = -1603.06804901

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52265  2.52087  2.51499
  R2         R(1,5)  2.62565  2.66625  2.66170
  R3        R(1,19)  2.93673  2.91519  2.91739
  R4         R(2,3)  2.67873  2.68748  2.68715
  R5        R(2,21)  2.05642  2.05530  2.05430
  R6         R(3,4)  2.63798  2.67179  2.67160
  R7        R(3,30)  2.77984  2.73988  2.74315
  R8         R(4,5)  2.67430  2.65001  2.64667
  R9        R(4,22)  2.05286  2.04930  2.04898
 R10        R(5,12)  2.65621  2.68776  2.72831
 R11         R(6,7)  2.63179  2.63141  2.62604
 R12        R(6,11)  2.65153  2.65808  2.67615
 R13        R(6,23)  2.06134  2.06209  2.05359
 R14         R(7,8)  2.63705  2.63804  2.63842
 R15        R(7,24)  2.06017  2.06106  2.06104
 R16         R(8,9)  2.63711  2.63726  2.63842
 R17        R(8,25)  2.06059  2.06061  2.05993
 R18        R(9,10)  2.63177  2.63226  2.62604
 R19        R(9,26)  2.06014  2.06108  2.06104
 R20       R(10,11)  2.65139  2.65740  2.67615
 R21       R(10,27)  2.06120  2.06116  2.05359
 R22       R(11,12)  2.79338  2.78309  2.74890
 R23       R(12,13)  2.65609  2.68889  2.72831
 R24       R(13,14)  2.67436  2.64916  2.64665
 R25       R(13,17)  2.62422  2.66299  2.66168
 R26       R(14,15)  2.63782  2.67150  2.67160
 R27       R(14,28)  2.05330  2.05049  2.04898
 R28       R(15,16)  2.67901  2.68895  2.68716
 R29       R(15,40)  2.77966  2.73961  2.74314
 R30       R(16,17)  2.52265  2.52035  2.51499
 R31       R(16,29)  2.05630  2.05515  2.05430
 R32       R(17,19)  2.93404  2.91212  2.91738
 R33       R(18,19)  2.63109  2.63746  2.62682
 R34       R(19,20)  2.63908  2.65139  2.64079
 R35       R(30,31)  2.64286  2.65960  2.65769
 R36       R(30,32)  2.65730  2.67326  2.67166
 R37       R(31,33)  2.63612  2.62535  2.62640
 R38       R(31,36)  2.06212  2.06021  2.06037
 R39       R(32,34)  2.61924  2.60783  2.60899
 R40       R(32,37)  2.06214  2.06021  2.06033
 R41       R(33,35)  2.64363  2.65164  2.65061
 R42       R(33,38)  2.05686  2.05640  2.05637
 R43       R(34,35)  2.65036  2.66016  2.65881
 R44       R(34,39)  2.06025  2.05960  2.05966
 R45       R(35,50)  2.56140  2.54359  2.54539
 R46       R(40,41)  2.64284  2.65969  2.65769
 R47       R(40,42)  2.65740  2.67333  2.67166
 R48       R(41,43)  2.63627  2.62530  2.62639
 R49       R(41,46)  2.06224  2.06029  2.06037
 R50       R(42,44)  2.61911  2.60782  2.60899
 R51       R(42,47)  2.06213  2.06017  2.06033
 R52       R(43,45)  2.64350  2.65169  2.65062
