From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150611 -1603.074435 -48.7926  -47.36530
-1603.150560 -1603.074430 -47.7927  -46.69830
-1603.150493 -1603.074413 -46.7927  -46.03405
-1603.150412 -1603.074384 -45.7927  -45.36160
-1603.150319 -1603.074344 -44.7927  -44.73850
-1603.150210 -1603.074290 -43.7927  -44.11320
-1603.150084 -1603.074223 -42.7927  -43.48970
-1603.149941 -1603.074143 -41.7927  -42.87050
-1603.149779 -1603.074050 -40.7927  -42.25355
-1603.149599 -1603.073943 -39.7927  -41.63655
-1603.149401 -1603.073824 -38.7927  -41.02005
-1603.149186 -1603.073691 -37.7927  -40.40705
-1603.148952 -1603.073544 -36.7928  -39.79920
-1603.148702 -1603.073384 -35.7928  -39.19520
-1603.148434 -1603.073209 -34.7928  -38.59365
-1603.148148 -1603.073021 -33.7928  -37.99410
-1603.147844 -1603.072818 -32.7928  -37.39585
-1603.147522 -1603.072602 -31.7928  -36.79805
-1603.147182 -1603.072370 -30.7928  -36.20055
-1603.146825 -1603.072125 -29.7928  -35.60545
-1603.146450 -1603.071865 -28.7928  -35.01345
-1603.146056 -1603.071591 -27.7928  -34.42440
-1603.145646 -1603.071301 -26.7928  -33.83780
-1603.145218 -1603.070996 -25.7928  -33.25350
-1603.144772 -1603.070677 -24.7928  -32.67135
-1603.144308 -1603.070342 -23.7927  -32.08625
-1603.143825 -1603.069993 -22.7928  -31.50725
-1603.143324 -1603.069628 -21.7928  -30.92240
-1603.142804 -1603.069249 -20.7928  -30.33700
-1603.142265 -1603.068854 -19.7928  -29.74995
-1603.141705 -1603.068444 -18.7927  -29.15695
-1603.141124 -1603.068019 -17.7927  -28.55925
-1603.140522 -1603.067580 -16.7927  -27.95355
-1603.139886 -1603.067125 -15.7928  -27.31995
-1603.139241 -1603.066656 -14.7927  -26.69770
-1603.138565 -1603.066173 -13.7927  -26.05765
-1603.137866 -1603.065675 -12.7927  -25.39255
-1603.137112 -1603.065165 -11.7929  -24.67675
-1603.129517 -1603.068009 -10.7926   -5.72825
-1603.129479 -1603.068035  -9.7927   -4.81835
-1603.129451 -1603.068057  -8.7927   -3.92550
-1603.129425 -1603.068075  -7.7928   -3.03000
-1603.129411 -1603.068089  -6.7928   -2.14695
-1603.129407 -1603.068098  -5.7928   -1.27895
-1603.129413 -1603.068103  -4.7928   -0.41900
-1603.129427 -1603.068103  -3.7928    0.43540
-1603.129449 -1603.068099  -2.7928    1.28760
-1603.129481 -1603.068091  -1.7928    2.13500
-1603.129520 -1603.068078  -0.7928    2.98610
-1603.129565 -1603.068061   0.2072    3.84695
-1603.129617 -1603.068041   1.2073    4.71210
-1603.129674 -1603.068017   2.2073    5.57620
-1603.129741 -1603.067990   3.2073    6.44695
-1603.129820 -1603.067960   4.2073    7.33365
-1603.129920 -1603.067928   5.2073    8.23390

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150680 -1603.074327 -52.2919  -49.87520
-1603.150678 -1603.074358 -51.2919  -49.17725
-1603.150662 -1603.074379 -50.2919  -48.48360
-1603.150632 -1603.074391 -49.2919  -47.79235
-1603.150586 -1603.074391 -48.2919  -47.10510
-1603.150526 -1603.074381 -47.2919  -46.42705
-1603.150452 -1603.074360 -46.2919  -45.76215
-1603.150364 -1603.074326 -45.2919  -45.11020
-1603.150261 -1603.074281 -44.2919  -44.46945
-1603.150142 -1603.074223 -43.2919  -43.83730
-1603.150007 -1603.074152 -42.2919  -43.21115
-1603.149855 -1603.074068 -41.2919  -42.58875
-1603.149684 -1603.073970 -40.2919  -41.96735
-1603.149496 -1603.073859 -39.2919  -41.34700
-1603.149291 -1603.073736 -38.2918  -40.73015
-1603.149068 -1603.073598 -37.2918  -40.11920
-1603.148827 -1603.073447 -36.2918  -39.51550
-1603.148569 -1603.073282 -35.2918  -38.91865
-1603.148293 -1603.073103 -34.2918  -38.32650
-1603.147999 -1603.072909 -33.2918  -37.73730
-1603.147687 -1603.072701 -32.2919  -37.15025
-1603.147355 -1603.072478 -31.2918  -36.56170
-1603.147010 -1603.072241 -30.2919  -35.97785
-1603.146642 -1603.071988 -29.2919  -35.39330
-1603.146257 -1603.071721 -28.2919  -34.81265
-1603.145854 -1603.071439 -27.2919  -34.23560
-1603.145431 -1603.071142 -26.2919  -33.65010
-1603.144992 -1603.070829 -25.2919  -33.06905
-1603.144533 -1603.070502 -24.2919  -32.49125
-1603.144055 -1603.070160 -23.2921  -31.90275
-1603.143559 -1603.069802 -22.2921  -31.31875
-1603.143044 -1603.069429 -21.2922  -30.73460
-1603.132234 -1603.067642 -20.2920  -17.75190
-1603.130946 -1603.067646 -19.2920  -15.05300
-1603.130474 -1603.067674 -18.2920  -13.55705
-1603.130155 -1603.067710 -17.2920  -12.25765
-1603.129936 -1603.067750 -16.2920  -11.10060
-1603.129769 -1603.067791 -15.2920  -10.02200
-1603.129649 -1603.067832 -14.2919   -8.99540
-1603.129563 -1603.067870 -13.2919   -8.03170
-1603.129494 -1603.067906 -12.2919   -7.10170
-1603.129441 -1603.067937 -11.2919   -6.17760
-1603.129391 -1603.067966 -10.2919   -5.25150
-1603.129349 -1603.067990  -9.2919   -4.33480
-1603.129326 -1603.068010  -8.2919   -3.44100
-1603.129317 -1603.068027  -7.2919   -2.56160
-1603.129313 -1603.068039  -6.2919   -1.70610
