optS0 = -1603.15496487
tdS0 = -1603.06534051
optS1 = -1603.07462439
optR1 = -1603.06822257

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.3350    1.3340    1.3309
  R2         R(1,5)    1.3894    1.4109    1.4085
  R3        R(1,19)    1.5540    1.5426    1.5438
  R4         R(2,3)    1.4175    1.4222    1.4220
  R5        R(2,21)    1.0882    1.0876    1.0871
  R6         R(3,4)    1.3960    1.4138    1.4137
  R7        R(3,30)    1.4710    1.4499    1.4516
  R8         R(4,5)    1.4152    1.4024    1.4006
  R9        R(4,22)    1.0863    1.0844    1.0843
 R10        R(5,12)    1.4056    1.4223    1.4437
 R11         R(6,7)    1.3927    1.3925    1.3897
 R12        R(6,11)    1.4031    1.4066    1.4161
 R13        R(6,23)    1.0908    1.0912    1.0867
 R14         R(7,8)    1.3955    1.3960    1.3962
 R15        R(7,24)    1.0902    1.0907    1.0907
 R16         R(8,9)    1.3955    1.3956    1.3962
 R17        R(8,25)    1.0904    1.0904    1.0901
 R18        R(9,10)    1.3927    1.3929    1.3897
 R19        R(9,26)    1.0902    1.0907    1.0907
 R20       R(10,11)    1.4031    1.4062    1.4161
 R21       R(10,27)    1.0907    1.0907    1.0867
 R22       R(11,12)    1.4782    1.4728    1.4548
 R23       R(12,13)    1.4056    1.4229    1.4437
 R24       R(13,14)    1.4152    1.4019    1.4006
 R25       R(13,17)    1.3887    1.4092    1.4085
 R26       R(14,15)    1.3959    1.4137    1.4137
 R27       R(14,28)    1.0866    1.0851    1.0843
 R28       R(15,16)    1.4177    1.4230    1.4220
 R29       R(15,40)    1.4709    1.4498    1.4516
 R30       R(16,17)    1.3350    1.3337    1.3309
 R31       R(16,29)    1.0881    1.0875    1.0871
 R32       R(17,19)    1.5526    1.5410    1.5438
 R33       R(18,19)    1.3924    1.3957    1.3901
 R34       R(19,20)    1.3966    1.4031    1.3975
 R35       R(30,31)    1.3986    1.4074    1.4064
 R36       R(30,32)    1.4062    1.4146    1.4138
 R37       R(31,33)    1.3950    1.3893    1.3898
 R38       R(31,36)    1.0912    1.0902    1.0903
 R39       R(32,34)    1.3860    1.3800    1.3806
 R40       R(32,37)    1.0912    1.0902    1.0903
 R41       R(33,35)    1.3990    1.4032    1.4027
 R42       R(33,38)    1.0884    1.0882    1.0882
 R43       R(34,35)    1.4025    1.4077    1.4070
 R44       R(34,39)    1.0902    1.0899    1.0899
 R45       R(35,50)    1.3554    1.3460    1.3469
 R46       R(40,41)    1.3985    1.4075    1.4064
 R47       R(40,42)    1.4062    1.4147    1.4138
 R48       R(41,43)    1.3951    1.3892    1.3898
 R49       R(41,46)    1.0913    1.0903    1.0903
 R50       R(42,44)    1.3860    1.3800    1.3806
 R51       R(42,47)    1.0912    1.0902    1.0903
 R52       R(43,45)    1.3989    1.4032    1.4027
 R53       R(43,48)    1.0884    1.0882    1.0882
 R54       R(44,45)    1.4026    1.4077    1.4070
 R55       R(44,49)    1.0903    1.0899    1.0899
 R56       R(45,55)    1.3555    1.3460    1.3469
 R57       R(50,51)    1.4171    1.4203    1.4200
 R58       R(51,52)    1.0947    1.0942    1.0942
 R59       R(51,53)    1.1012    1.1005    1.1005
 R60       R(51,54)    1.1012    1.1005    1.1005
 R61       R(55,56)    1.4171    1.4203    1.4200
 R62       R(56,57)    1.0947    1.0941    1.0942
 R63       R(56,58)    1.1012    1.1005    1.1005
 R64       R(56,59)    1.1013    1.1005    1.1005
  A1       A(2,1,5)  108.2553  108.7583  109.3686
  A2      A(2,1,19)  125.5402  124.8993  127.8896
  A3      A(5,1,19)  125.6198  125.5700  122.7418
  A4       A(1,2,3)  110.5759  109.9953  109.6455
  A5      A(1,2,21)  120.4114  120.3419  120.2979
  A6      A(3,2,21)  128.9914  129.6317  130.0495
  A7       A(2,3,4)  105.7200  105.9627  105.9230
  A8      A(2,3,30)  126.0350  125.7555  125.8749
  A9      A(4,3,30)  128.2418  128.2793  128.2019
 A10       A(3,4,5)  107.5926  107.7061  107.9497
 A11      A(3,4,22)  127.2013  127.0345  126.2959
 A12      A(5,4,22)  125.2030  125.2543  125.5499
 A13       A(1,5,4)  107.8503  107.5589  107.1123
 A14      A(1,5,12)  120.8614  120.5433  119.4579
 A15      A(4,5,12)  131.2881  131.8836  133.0022
 A16      A(7,6,11)  120.1401  120.7959  121.4573
 A17      A(7,6,23)  120.2587  119.9203  118.4243
 A18     A(11,6,23)  119.5833  119.2720  120.0800
 A19       A(6,7,8)  120.1532  120.2870  120.7316
 A20      A(6,7,24)  119.6513  119.5911  119.1584
 A21      A(8,7,24)  120.1954  120.1202  120.1054
 A22       A(7,8,9)  119.9594  119.5153  118.8153
 A23      A(7,8,25)  120.0179  120.2468  120.5830
 A24      A(9,8,25)  120.0227  120.2377  120.5829
 A25      A(8,9,10)  120.1675  120.3388  120.7319
 A26      A(8,9,26)  120.1877  120.1066  120.1052
 A27     A(10,9,26)  119.6446  119.5516  119.1583
 A28     A(9,10,11)  120.1278  120.7416  121.4569
 A29     A(9,10,27)  120.2119  119.7614  118.4238
 A30    A(11,10,27)  119.6372  119.4721  120.0809
 A31     A(6,11,10)  119.4463  118.3198  116.6982
 A32     A(6,11,12)  120.1015  120.3835  121.5935
 A33    A(10,11,12)  120.4517  121.2940  121.5974
 A34     A(5,12,11)  120.3186  121.4408  123.1274
 A35     A(5,12,13)  119.8546  118.3893  113.6090
 A36    A(11,12,13)  119.8224  120.0823  123.1221
 A37    A(12,13,14)  130.9771  131.1700  132.9990
 A38    A(12,13,17)  120.9980  120.9873  119.4608
 A39    A(14,13,17)  107.8563  107.6423  107.1127
 A40    A(13,14,15)  107.5807  107.6663  107.9499
 A41    A(13,14,28)  125.1204  124.9528  125.5482
 A42    A(15,14,28)  127.2486  127.2955  126.2980
 A43    A(14,15,16)  105.7314  105.9546  105.9226
 A44    A(14,15,40)  128.1443  128.2830  128.1997
 A45    A(16,15,40)  126.1237  125.7621  125.8775
 A46    A(15,16,17)  110.5371  109.9505  109.6452
 A47    A(15,16,29)  129.0539  129.6895  130.0496
 A48    A(17,16,29)  120.4073  120.3556  120.2982
 A49    A(13,17,16)  108.2931  108.7826  109.3685
 A50    A(13,17,19)  125.7391  125.4851  122.7394
 A51    A(16,17,19)  125.9559  125.6169  127.8920
 A52     A(1,19,17)  105.6215  104.9561  102.5918
 A53     A(1,19,18)  110.7050  110.8597  110.7129
 A54     A(1,19,20)  109.7588  110.2569  110.6741
 A55    A(17,19,18)  110.3816  110.7903  110.7129
 A56    A(17,19,20)  110.1849  110.5187  110.6741
 A57    A(18,19,20)  110.1035  109.4001  111.1787
 A58     A(3,30,31)  121.0273  120.9001  121.0140
 A59     A(3,30,32)  121.1617  121.5138  121.3930
 A60    A(31,30,32)  117.8110  117.5860  117.5929
 A61    A(30,31,33)  121.7433  121.8359  121.8267
 A62    A(30,31,36)  119.7543  119.6810  119.7313
 A63    A(33,31,36)  118.4965  118.4823  118.4408
 A64    A(30,32,34)  121.1242  121.1804  121.1884
 A65    A(30,32,37)  120.0491  120.0636  120.0722
 A66    A(34,32,37)  118.8207  118.7544  118.7382
 A67    A(31,33,35)  119.5983  119.5404  119.5582
 A68    A(31,33,38)  119.1985  119.3285  119.3128
 A69    A(35,33,38)  121.2018  121.1310  121.1288
 A70    A(32,34,35)  120.3639  120.3453  120.3435
 A71    A(32,34,39)  121.1669  121.3110  121.2976
 A72    A(35,34,39)  118.4678  118.3437  118.3589
 A73    A(33,35,34)  119.3586  119.5119  119.4900
 A74    A(33,35,50)  124.5871  124.5552  124.5471
 A75    A(34,35,50)  116.0542  115.9328  115.9629
 A76    A(15,40,41)  120.9441  120.8535  121.0117
 A77    A(15,40,42)  121.2384  121.5537  121.3952
 A78    A(41,40,42)  117.8175  117.5928  117.5929
 A79    A(40,41,43)  121.7479  121.8356  121.8272
 A80    A(40,41,46)  119.7043  119.6477  119.7312
 A81    A(43,41,46)  118.5413  118.5150  118.4403
 A82    A(40,42,44)  121.1116  121.1723  121.1879
 A83    A(40,42,47)  120.0600  120.0663  120.0725
 A84    A(44,42,47)  118.8222  118.7598  118.7384
 A85    A(41,43,45)  119.5870  119.5349  119.5577
 A86    A(41,43,48)  119.2022  119.3369  119.3126
