optS0 = -1603.15496487
tdS0 = -1603.06534051
optS1 = -1603.07462439
optR1 = -1603.06822257

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52271  2.52089  2.51499
  R2         R(1,5)  2.62567  2.66629  2.66176
  R3        R(1,19)  2.93659  2.91510  2.91728
  R4         R(2,3)  2.67870  2.68756  2.68722
  R5        R(2,21)  2.05643  2.05532  2.05431
  R6         R(3,4)  2.63801  2.67173  2.67153
  R7        R(3,30)  2.77986  2.73989  2.74315
  R8         R(4,5)  2.67427  2.65006  2.64675
  R9        R(4,22)  2.05286  2.04930  2.04898
 R10        R(5,12)  2.65624  2.68774  2.72826
 R11         R(6,7)  2.63178  2.63142  2.62607
 R12        R(6,11)  2.65155  2.65807  2.67612
 R13        R(6,23)  2.06134  2.06209  2.05359
 R14         R(7,8)  2.63706  2.63805  2.63841
 R15        R(7,24)  2.06016  2.06106  2.06104
 R16         R(8,9)  2.63712  2.63726  2.63841
 R17        R(8,25)  2.06059  2.06061  2.05993
 R18        R(9,10)  2.63177  2.63228  2.62608
 R19        R(9,26)  2.06014  2.06108  2.06104
 R20       R(10,11)  2.65141  2.65738  2.67612
 R21       R(10,27)  2.06120  2.06116  2.05358
 R22       R(11,12)  2.79334  2.78317  2.74909
 R23       R(12,13)  2.65612  2.68885  2.72826
 R24       R(13,14)  2.67433  2.64923  2.64674
 R25       R(13,17)  2.62424  2.66303  2.66175
 R26       R(14,15)  2.63786  2.67142  2.67153
 R27       R(14,28)  2.05330  2.05049  2.04898
 R28       R(15,16)  2.67898  2.68902  2.68723
 R29       R(15,40)  2.77968  2.73963  2.74315
 R30       R(16,17)  2.52271  2.52037  2.51500
 R31       R(16,29)  2.05630  2.05516  2.05431
 R32       R(17,19)  2.93392  2.91204  2.91727
 R33       R(18,19)  2.63121  2.63754  2.62686
 R34       R(19,20)  2.63923  2.65154  2.64098
 R35       R(30,31)  2.64288  2.65961  2.65771
 R36       R(30,32)  2.65731  2.67327  2.67166
 R37       R(31,33)  2.63612  2.62534  2.62639
 R38       R(31,36)  2.06212  2.06021  2.06037
 R39       R(32,34)  2.61925  2.60784  2.60900
 R40       R(32,37)  2.06214  2.06021  2.06033
 R41       R(33,35)  2.64365  2.65166  2.65064
 R42       R(33,38)  2.05686  2.05640  2.05637
 R43       R(34,35)  2.65038  2.66018  2.65883
 R44       R(34,39)  2.06026  2.05961  2.05966
 R45       R(35,50)  2.56138  2.54353  2.54534
 R46       R(40,41)  2.64287  2.65971  2.65771
 R47       R(40,42)  2.65741  2.67333  2.67166
 R48       R(41,43)  2.63627  2.62529  2.62638
 R49       R(41,46)  2.06224  2.06029  2.06037
 R50       R(42,44)  2.61913  2.60783  2.60899
 R51       R(42,47)  2.06213  2.06017  2.06033
 R52       R(43,45)  2.64352  2.65171  2.65065
 R53       R(43,48)  2.05685  2.05638  2.05637
 R54       R(44,45)  2.65056  2.66023  2.65883
 R55       R(44,49)  2.06028  2.05960  2.05966
 R56       R(45,55)  2.56143  2.54349  2.54534
 R57       R(50,51)  2.67790  2.68400  2.68342
 R58       R(51,52)  2.06866  2.06765  2.06773
 R59       R(51,53)  2.08104  2.07958  2.07963
 R60       R(51,54)  2.08104  2.07958  2.07971
 R61       R(55,56)  2.67784  2.68407  2.68342
 R62       R(56,57)  2.06864  2.06764  2.06773
 R63       R(56,58)  2.08101  2.07958  2.07970
