From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150752 -1603.074624 -48.8033  -47.37595
-1603.150701 -1603.074619 -47.8034  -46.70890
-1603.150635 -1603.074602 -46.8034  -46.04455
-1603.150554 -1603.074573 -45.8034  -45.37210
-1603.150462 -1603.074533 -44.8034  -44.74880
-1603.150353 -1603.074479 -43.8034  -44.12350
-1603.150227 -1603.074412 -42.8034  -43.50000
-1603.150084 -1603.074332 -41.8034  -42.88075
-1603.149922 -1603.074239 -40.8034  -42.26375
-1603.149743 -1603.074133 -39.8034  -41.64670
-1603.149545 -1603.074013 -38.8034  -41.03010
-1603.149330 -1603.073880 -37.8034  -40.41700
-1603.149098 -1603.073733 -36.8034  -39.80900
-1603.148847 -1603.073573 -35.8034  -39.20500
-1603.148580 -1603.073399 -34.8034  -38.60340
-1603.148295 -1603.073211 -33.8034  -38.00385
-1603.147991 -1603.073008 -32.8034  -37.40565
-1603.147669 -1603.072791 -31.8034  -36.80790
-1603.147330 -1603.072560 -30.8034  -36.21040
-1603.146973 -1603.072315 -29.8034  -35.61525
-1603.146598 -1603.072055 -28.8034  -35.02325
-1603.146205 -1603.071781 -27.8034  -34.43415
-1603.145795 -1603.071491 -26.8034  -33.84755
-1603.145367 -1603.071186 -25.8034  -33.26315
-1603.144921 -1603.070867 -24.8034  -32.68085
-1603.144457 -1603.070533 -23.8034  -32.09590
-1603.143975 -1603.070183 -22.8034  -31.51695
-1603.143475 -1603.069819 -21.8034  -30.93210
-1603.142956 -1603.069439 -20.8034  -30.34680
-1603.142417 -1603.069045 -19.8034  -29.75990
-1603.141857 -1603.068635 -18.8034  -29.16710
-1603.141277 -1603.068210 -17.8034  -28.56970
-1603.140675 -1603.067771 -16.8034  -27.96435
-1603.140040 -1603.067316 -15.8035  -27.33110
-1603.139395 -1603.066847 -14.8034  -26.70930
-1603.138721 -1603.066364 -13.8034  -26.06980
-1603.138022 -1603.065867 -12.8034  -25.40560
-1603.137271 -1603.065356 -11.8035  -24.69370
-1603.129678 -1603.068186 -10.8033   -5.74500
-1603.129642 -1603.068212  -9.8033   -4.84030
-1603.129604 -1603.068234  -8.8034   -3.93465
-1603.129580 -1603.068252  -7.8034   -3.03525
-1603.129568 -1603.068266  -6.8034   -2.15625
-1603.129558 -1603.068276  -5.8034   -1.28320
-1603.129564 -1603.068281  -4.8034   -0.42540
-1603.129578 -1603.068281  -3.8034    0.42350
-1603.129601 -1603.068277  -2.8034    1.26665
-1603.129633 -1603.068268  -1.8034    2.11035
