optS0 = -1603.15474293
tdS0  = -1603.06452864
optS1 = -1603.07430552
optR1 = -1603.06792979

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3349        1.3340        1.3309
  R2         R(1,5)        1.3894        1.4109        1.4085
  R3        R(1,19)        1.5541        1.5427        1.5439
  R4         R(2,3)        1.4175        1.4221        1.4219
  R5        R(2,21)        1.0882        1.0876        1.0871
  R6         R(3,4)        1.3959        1.4139        1.4138
  R7        R(3,30)        1.4710        1.4499        1.4516
  R8         R(4,5)        1.4152        1.4023        1.4005
  R9        R(4,22)        1.0863        1.0844        1.0843
 R10        R(5,12)        1.4056        1.4223        1.4438
 R11         R(6,7)        1.3927        1.3925        1.3896
 R12        R(6,11)        1.4031        1.4066        1.4162
 R13        R(6,23)        1.0908        1.0912        1.0867
 R14         R(7,8)        1.3955        1.3960        1.3962
 R15        R(7,24)        1.0902        1.0907        1.0907
 R16         R(8,9)        1.3955        1.3956        1.3962
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3927        1.3929        1.3896
 R19        R(9,26)        1.0902        1.0907        1.0907
 R20       R(10,11)        1.4030        1.4062        1.4162
 R21       R(10,27)        1.0907        1.0907        1.0867
 R22       R(11,12)        1.4782        1.4727        1.4546
 R23       R(12,13)        1.4055        1.4229        1.4438
 R24       R(13,14)        1.4152        1.4018        1.4005
 R25       R(13,17)        1.3887        1.4092        1.4085
 R26       R(14,15)        1.3959        1.4137        1.4138
 R27       R(14,28)        1.0866        1.0851        1.0843
 R28       R(15,16)        1.4177        1.4229        1.4220
 R29       R(15,40)        1.4709        1.4497        1.4516
 R30       R(16,17)        1.3349        1.3337        1.3309
 R31       R(16,29)        1.0881        1.0875        1.0871
 R32       R(17,19)        1.5527        1.5411        1.5439
 R33       R(18,19)        1.3923        1.3957        1.3900
 R34       R(19,20)        1.3965        1.4030        1.3974
 R35       R(30,31)        1.3985        1.4074        1.4064
 R36       R(30,32)        1.4062        1.4146        1.4138
 R37       R(31,33)        1.3950        1.3893        1.3898
 R38       R(31,36)        1.0912        1.0902        1.0903
 R39       R(32,34)        1.3860        1.3800        1.3806
 R40       R(32,37)        1.0912        1.0902        1.0903
 R41       R(33,35)        1.3989        1.4032        1.4026
 R42       R(33,38)        1.0884        1.0882        1.0882
 R43       R(34,35)        1.4025        1.4077        1.4070
 R44       R(34,39)        1.0902        1.0899        1.0899
 R45       R(35,50)        1.3554        1.3460        1.3470
 R46       R(40,41)        1.3985        1.4074        1.4064
 R47       R(40,42)        1.4062        1.4147        1.4138
 R48       R(41,43)        1.3951        1.3892        1.3898
 R49       R(41,46)        1.0913        1.0903        1.0903
 R50       R(42,44)        1.3860        1.3800        1.3806
 R51       R(42,47)        1.0912        1.0902        1.0903
 R52       R(43,45)        1.3989        1.4032        1.4026
 R53       R(43,48)        1.0884        1.0882        1.0882
 R54       R(44,45)        1.4026        1.4077        1.4070
 R55       R(44,49)        1.0902        1.0899        1.0899
 R56       R(45,55)        1.3555        1.3460        1.3470
 R57       R(50,51)        1.4170        1.4202        1.4199
 R58       R(51,52)        1.0947        1.0942        1.0942
 R59       R(51,53)        1.1013        1.1005        1.1005
 R60       R(51,54)        1.1013        1.1005        1.1005
 R61       R(55,56)        1.4170        1.4203        1.4199
 R62       R(56,57)        1.0947        1.0942        1.0942
 R63       R(56,58)        1.1012        1.1005        1.1005
 R64       R(56,59)        1.1013        1.1005        1.1005
  A1       A(2,1,5)      108.2558      108.7602      109.3686
  A2      A(2,1,19)      125.5385      124.8917      127.8875
  A3      A(5,1,19)      125.6193      125.5735      122.7439
  A4       A(1,2,3)      110.5766      109.9947      109.6454
  A5      A(1,2,21)      120.4096      120.3365      120.2928
  A6      A(3,2,21)      128.9925      129.6372      130.0547
  A7       A(2,3,4)      105.7196      105.9626      105.9225
  A8      A(2,3,30)      126.0338      125.7595      125.8782
  A9      A(4,3,30)      128.2435      128.2753      128.1991
 A10       A(3,4,5)      107.5917      107.7045      107.9470
 A11      A(3,4,22)      127.2010      127.0356      126.3008
 A12      A(5,4,22)      125.2041      125.2549      125.5474
 A13       A(1,5,4)      107.8505      107.5593      107.1156
 A14      A(1,5,12)      120.8596      120.5435      119.4581
 A15      A(4,5,12)      131.2899      131.8830      132.9962
 A16      A(7,6,11)      120.1410      120.7966      121.4558
 A17      A(7,6,23)      120.2617      119.9232      118.4314
 A18     A(11,6,23)      119.5795      119.2683      120.0743
 A19       A(6,7,8)      120.1534      120.2880      120.7315
 A20      A(6,7,24)      119.6517      119.5907      119.1599
 A21      A(8,7,24)      120.1949      120.1196      120.1039
 A22       A(7,8,9)      119.9584      119.5141      118.8168
 A23      A(7,8,25)      120.0185      120.2474      120.5822
 A24      A(9,8,25)      120.0232      120.2383      120.5821
 A25      A(8,9,10)      120.1677      120.3397      120.7318
 A26      A(8,9,26)      120.1872      120.1059      120.1038
 A27     A(10,9,26)      119.6449      119.5514      119.1597
 A28     A(9,10,11)      120.1287      120.7425      121.4554
 A29     A(9,10,27)      120.2146      119.7640      118.4310
 A30    A(11,10,27)      119.6338      119.4685      120.0752
 A31     A(6,11,10)      119.4452      118.3175      116.6995
 A32     A(6,11,12)      120.1013      120.3839      121.5931
 A33    A(10,11,12)      120.4531      121.2960      121.5969
 A34     A(5,12,11)      120.3170      121.4448      123.1321
 A35     A(5,12,13)      119.8590      118.3847      113.5995
 A36    A(11,12,13)      119.8194      120.0828      123.1269
 A37    A(12,13,14)      130.9777      131.1672      132.9930
 A38    A(12,13,17)      120.9966      120.9884      119.4609
 A39    A(14,13,17)      107.8566      107.6431      107.1160
 A40    A(13,14,15)      107.5798      107.6646      107.9472
 A41    A(13,14,28)      125.1207      124.9526      125.5458
 A42    A(15,14,28)      127.2489      127.2969      126.3028
 A43    A(14,15,16)      105.7309      105.9541      105.9221
 A44    A(14,15,40)      128.1464      128.2794      128.1969
 A45    A(16,15,40)      126.1222      125.7662      125.8808
 A46    A(15,16,17)      110.5378      109.9498      109.6452
 A47    A(15,16,29)      129.0555      129.6957      130.0547
 A48    A(17,16,29)      120.4050      120.3501      120.2930
 A49    A(13,17,16)      108.2936      108.7848      109.3685
 A50    A(13,17,19)      125.7389      125.4889      122.7415
 A51    A(16,17,19)      125.9551      125.6114      127.8899
 A52     A(1,19,17)      105.6119      104.9435      102.5769
 A53     A(1,19,18)      110.7027      110.8569      110.7065
 A54     A(1,19,20)      109.7552      110.2580      110.6774
 A55    A(17,19,18)      110.3799      110.7868      110.7065
 A56    A(17,19,20)      110.1818      110.5207      110.6774
 A57    A(18,19,20)      110.1225      109.4147      111.1971
 A58     A(3,30,31)      121.0280      120.9027      121.0171
 A59     A(3,30,32)      121.1612      121.5131      121.3922
 A60    A(31,30,32)      117.8107      117.5841      117.5906
 A61    A(30,31,33)      121.7431      121.8364      121.8274
 A62    A(30,31,36)      119.7506      119.6778      119.7281
 A63    A(33,31,36)      118.5005      118.4851      118.4432
 A64    A(30,32,34)      121.1250      121.1823      121.1905
 A65    A(30,32,37)      120.0454      120.0590      120.0679
 A66    A(34,32,37)      118.8235      118.7571      118.7403
 A67    A(31,33,35)      119.5982      119.5408      119.5586
 A68    A(31,33,38)      119.1992      119.3288      119.3130
 A69    A(35,33,38)      121.2011      121.1304      121.1282
 A70    A(32,34,35)      120.3631      120.3445      120.3428
 A71    A(32,34,39)      121.1705      121.3142      121.3006
 A72    A(35,34,39)      118.4650      118.3411      118.3564
 A73    A(33,35,34)      119.3593      119.5120      119.4897
 A74    A(33,35,50)      124.5878      124.5561      124.5483
 A75    A(34,35,50)      116.0529      115.9319      115.9620
 A76    A(15,40,41)      120.9454      120.8562      121.0148
 A77    A(15,40,42)      121.2377      121.5531      121.3945
 A78    A(41,40,42)      117.8169      117.5906      117.5906
 A79    A(40,41,43)      121.7479      121.8361      121.8280
 A80    A(40,41,46)      119.7008      119.6446      119.7280
 A81    A(43,41,46)      118.5447      118.5176      118.4428
 A82    A(40,42,44)      121.1126      121.1742      121.1900
 A83    A(40,42,47)      120.0565      120.0619      120.0682
 A84    A(44,42,47)      118.8247      118.7622      118.7406
 A85    A(41,43,45)      119.5868      119.5352      119.5581
 A86    A(41,43,48)      119.2030      119.3372      119.3128
 A87    A(45,43,48)      121.2082      121.1274      121.1289
 A88    A(42,44,45)      120.3705      120.3461      120.3432
 A89    A(42,44,49)      121.1720      121.3155      121.3008
 A90    A(45,44,49)      118.4560      118.3382      118.3558
 A91    A(43,45,44)      119.3645      119.5176      119.4898
 A92    A(43,45,55)      124.5924      124.5511      124.5487
 A93    A(44,45,55)      116.0431      115.9312      115.9615
 A94    A(35,50,51)      117.3351      117.8094      117.7404
 A95    A(50,51,52)      106.1305      105.9698      105.9878
 A96    A(50,51,53)      111.1880      110.9662      110.9949
 A97    A(50,51,54)      111.1895      110.9745      110.9854
 A98    A(52,51,53)      109.4748      109.6314      109.6167
 A99    A(52,51,54)      109.4896      109.6396      109.6311
A100    A(53,51,54)      109.3069      109.5929      109.5596
A101    A(45,55,56)      117.3307      117.8128      117.7403
A102    A(55,56,57)      106.1304      105.9669      105.9877
A103    A(55,56,58)      111.1930      110.9753      110.9851
A104    A(55,56,59)      111.1880      110.9633      110.9948
A105    A(57,56,58)      109.4855      109.6423      109.6312
A106    A(57,56,59)      109.4735      109.6312      109.6168
A107    A(58,56,59)      109.3086      109.5952      109.5598
  D1     D(5,1,2,3)       -0.0057       -0.7027        0.0632
  D2    D(5,1,2,21)     -178.4689     -178.8492     -179.0598
  D3    D(19,1,2,3)      171.5950      169.6677      179.9881
  D4   D(19,1,2,21)       -6.8682       -8.4788        0.8651
  D5     D(2,1,5,4)        0.4753        1.3010       -0.2478
  D6    D(2,1,5,12)     -179.6008     -177.4828     -173.6740
  D7    D(19,1,5,4)     -171.1168     -168.9874      179.8227
  D8   D(19,1,5,12)        8.8071       12.2288        6.3965
  D9   D(2,1,19,17)      176.6998      169.0244      142.9935
 D10   D(2,1,19,18)       57.2180       49.3706       24.8538
 D11   D(2,1,19,20)      -64.5514      -71.9473      -98.9138
 D12   D(5,1,19,17)      -13.1256      -22.2048      -37.0907
 D13   D(5,1,19,18)     -132.6074     -141.8585     -155.2305
 D14   D(5,1,19,20)      105.6232       96.8236       81.0020
 D15     D(1,2,3,4)       -0.4673       -0.1594        0.1435
 D16    D(1,2,3,30)     -179.8588     -179.6173     -179.6783
 D17    D(21,2,3,4)      177.8273      177.7632      179.1542
 D18   D(21,2,3,30)       -1.5642       -1.6947       -0.6676
 D19     D(2,3,4,5)        0.7404        0.9578       -0.2935
 D20    D(2,3,4,22)     -179.8890     -179.8262      174.7170
 D21    D(30,3,4,5)     -179.8862     -179.6026      179.5227
 D22   D(30,3,4,22)       -0.5156       -0.3865       -5.4667
 D23   D(2,3,30,31)      160.1663      174.8210      175.3637
 D24   D(2,3,30,32)      -19.8712       -5.2849       -4.7813
 D25   D(4,3,30,31)      -19.0879       -4.5150       -4.4182
 D26   D(4,3,30,32)      160.8746      175.3790      175.4368
 D27     D(3,4,5,1)       -0.7647       -1.3828        0.3334
 D28    D(3,4,5,12)      179.3223      177.2103      172.5001
 D29    D(22,4,5,1)      179.8489      179.3836     -174.7246
 D30   D(22,4,5,12)       -0.0642       -2.0234       -2.5578
 D31   D(1,5,12,11)      179.0529     -179.8292     -154.4643
 D32   D(1,5,12,13)       -0.1745        3.5737       29.7422
 D33   D(4,5,12,11)       -1.0435        1.7283       34.1392
 D34   D(4,5,12,13)      179.7291     -174.8688     -141.6544
 D35    D(11,6,7,8)       -0.7474       -0.1345        0.8674
 D36   D(11,6,7,24)      179.1338      179.4016     -179.9165
 D37    D(23,6,7,8)     -179.2041     -178.8712     -176.8761
 D38   D(23,6,7,24)        0.6771        0.6649        2.3401
 D39   D(7,6,11,10)        0.5264        0.4171       -3.3267
 D40   D(7,6,11,12)     -179.7205      179.8296     -179.5626
 D41  D(23,6,11,10)      178.9936      179.1619      174.3802
 D42  D(23,6,11,12)       -1.2533       -1.4256       -1.8557
 D43     D(6,7,8,9)        0.2727       -0.1851        1.7244
 D44    D(6,7,8,25)     -179.6621      179.9756     -179.8492
 D45    D(24,7,8,9)     -179.6079     -179.7187     -177.4844
 D46   D(24,7,8,25)        0.4573        0.4421        0.9421
 D47    D(7,8,9,10)        0.4229        0.2131       -1.7242
 D48    D(7,8,9,26)     -179.3776     -179.1520      177.4851
 D49   D(25,8,9,10)     -179.6423     -179.9476      179.8493
 D50   D(25,8,9,26)        0.5571        0.6873       -0.9414
