optS0 = -1603.15474293
tdS0 = -1603.06452864
optS1 = -1603.07430552
optR1 = -1603.06792979

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52261  2.52086  2.51499
  R2         R(1,5)  2.62563  2.66622  2.66165
  R3        R(1,19)  2.93683  2.91525  2.91746
  R4         R(2,3)  2.67876  2.68743  2.68709
  R5        R(2,21)  2.05642  2.05530  2.05429
  R6         R(3,4)  2.63795  2.67183  2.67165
  R7        R(3,30)  2.77982  2.73987  2.74315
  R8         R(4,5)  2.67432  2.64997  2.64661
  R9        R(4,22)  2.05286  2.04930  2.04899
 R10        R(5,12)  2.65619  2.68777  2.72834
 R11         R(6,7)  2.63179  2.63139  2.62601
 R12        R(6,11)  2.65151  2.65809  2.67617
 R13        R(6,23)  2.06134  2.06208  2.05360
 R14         R(7,8)  2.63704  2.63804  2.63842
 R15        R(7,24)  2.06017  2.06106  2.06105
 R16         R(8,9)  2.63710  2.63725  2.63842
 R17        R(8,25)  2.06059  2.06061  2.05993
 R18        R(9,10)  2.63177  2.63225  2.62602
 R19        R(9,26)  2.06014  2.06108  2.06104
 R20       R(10,11)  2.65137  2.65741  2.67617
 R21       R(10,27)  2.06121  2.06115  2.05359
 R22       R(11,12)  2.79340  2.78303  2.74877
 R23       R(12,13)  2.65607  2.68891  2.72835
 R24       R(13,14)  2.67438  2.64911  2.64660
 R25       R(13,17)  2.62421  2.66296  2.66164
 R26       R(14,15)  2.63780  2.67155  2.67166
 R27       R(14,28)  2.05331  2.05049  2.04899
 R28       R(15,16)  2.67904  2.68891  2.68711
 R29       R(15,40)  2.77965  2.73959  2.74314
 R30       R(16,17)  2.52261  2.52033  2.51499
 R31       R(16,29)  2.05630  2.05514  2.05429
 R32       R(17,19)  2.93413  2.91218  2.91746
 R33       R(18,19)  2.63101  2.63741  2.62679
 R34       R(19,20)  2.63898  2.65128  2.64065
 R35       R(30,31)  2.64284  2.65959  2.65767
 R36       R(30,32)  2.65730  2.67326  2.67165
 R37       R(31,33)  2.63612  2.62536  2.62641
 R38       R(31,36)  2.06212  2.06021  2.06037
 R39       R(32,34)  2.61922  2.60782  2.60898
 R40       R(32,37)  2.06214  2.06021  2.06033
 R41       R(33,35)  2.64361  2.65162  2.65060
 R42       R(33,38)  2.05686  2.05640  2.05637
 R43       R(34,35)  2.65035  2.66015  2.65880
 R44       R(34,39)  2.06025  2.05960  2.05966
 R45       R(35,50)  2.56142  2.54362  2.54543
 R46       R(40,41)  2.64283  2.65969  2.65767
 R47       R(40,42)  2.65740  2.67333  2.67166
 R48       R(41,43)  2.63627  2.62530  2.62640
 R49       R(41,46)  2.06224  2.06028  2.06036
 R50       R(42,44)  2.61910  2.60781  2.60898
 R51       R(42,47)  2.06213  2.06016  2.06033
 R52       R(43,45)  2.64348  2.65168  2.65060
 R53       R(43,48)  2.05685  2.05638  2.05638
 R54       R(44,45)  2.65053  2.66021  2.65880
 R55       R(44,49)  2.06027  2.05960  2.05966
 R56       R(45,55)  2.56147  2.54357  2.54542
 R57       R(50,51)  2.67775  2.68383  2.68325
 R58       R(51,52)  2.06867  2.06766  2.06775
 R59       R(51,53)  2.08107  2.07961  2.07966
 R60       R(51,54)  2.08107  2.07961  2.07974
 R61       R(55,56)  2.67768  2.68391  2.68325
 R62       R(56,57)  2.06866  2.06765  2.06775
