From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150514 -1603.074305 -48.7853  -47.35795
-1603.150463 -1603.074300 -47.7854  -46.69100
-1603.150396 -1603.074283 -46.7854  -46.02685
-1603.150314 -1603.074254 -45.7854  -45.35445
-1603.150221 -1603.074214 -44.7854  -44.73145
-1603.150112 -1603.074160 -43.7854  -44.10615
-1603.149986 -1603.074093 -42.7854  -43.48270
-1603.149842 -1603.074013 -41.7854  -42.86350
-1603.149680 -1603.073920 -40.7854  -42.24655
-1603.149500 -1603.073813 -39.7854  -41.62960
-1603.149302 -1603.073694 -38.7854  -41.01320
-1603.149086 -1603.073560 -37.7854  -40.40025
-1603.148853 -1603.073414 -36.7854  -39.79240
-1603.148602 -1603.073254 -35.7854  -39.18845
-1603.148334 -1603.073079 -34.7854  -38.58695
-1603.148048 -1603.072891 -33.7854  -37.98730
-1603.147744 -1603.072688 -32.7854  -37.38905
-1603.147421 -1603.072471 -31.7854  -36.79120
-1603.147081 -1603.072240 -30.7854  -36.19375
-1603.146723 -1603.071995 -29.7854  -35.59865
-1603.146348 -1603.071735 -28.7854  -35.00665
-1603.145954 -1603.071460 -27.7854  -34.41760
-1603.145544 -1603.071170 -26.7854  -33.83110
-1603.145115 -1603.070866 -25.7854  -33.24680
-1603.144669 -1603.070546 -24.7854  -32.66465
-1603.144205 -1603.070212 -23.7854  -32.07965
-1603.143722 -1603.069862 -22.7854  -31.50065
-1603.143221 -1603.069497 -21.7854  -30.91570
-1603.142701 -1603.069118 -20.7854  -30.33020
-1603.142161 -1603.068723 -19.7854  -29.74305
-1603.141601 -1603.068313 -18.7854  -29.14990
-1603.141020 -1603.067888 -17.7854  -28.55200
-1603.140417 -1603.067448 -16.7854  -27.94610
-1603.139780 -1603.066994 -15.7855  -27.31225
-1603.139134 -1603.066525 -14.7854  -26.69000
-1603.138459 -1603.066041 -13.7854  -26.04935
-1603.137759 -1603.065544 -12.7854  -25.38295
-1603.137002 -1603.065033 -11.7855  -24.66470
-1603.129413 -1603.067890 -10.7852   -5.72060
-1603.129372 -1603.067916  -9.7853   -4.81125
-1603.129336 -1603.067938  -8.7854   -3.91545
-1603.129312 -1603.067956  -7.7854   -3.02030
-1603.129299 -1603.067970  -6.7854   -2.13990
-1603.129296 -1603.067980  -5.7854   -1.27430
-1603.129301 -1603.067985  -4.7854   -0.41670
-1603.129316 -1603.067985  -3.7854    0.43610
-1603.129338 -1603.067981  -2.7854    1.28580
-1603.129369 -1603.067972  -1.7854    2.13170
-1603.129408 -1603.067959  -0.7854    2.98225
-1603.129453 -1603.067942   0.2146    3.84490
-1603.129505 -1603.067922   1.2146    4.71280
-1603.129563 -1603.067898   2.2146    5.57835
-1603.129630 -1603.067871   3.2146    6.44710
-1603.129708 -1603.067841   4.2146    7.33290
-1603.129808 -1603.067808   5.2146    8.23195

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.150584 -1603.074197 -52.2903  -49.87125
-1603.150582 -1603.074228 -51.2903  -49.17310
-1603.150566 -1603.074250 -50.2903  -48.47920
-1603.150536 -1603.074261 -49.2903  -47.78785
-1603.150490 -1603.074261 -48.2903  -47.10075
-1603.150430 -1603.074251 -47.2902  -46.42290
-1603.150356 -1603.074230 -46.2902  -45.75825
-1603.150268 -1603.074197 -45.2902  -45.10640
-1603.150164 -1603.074151 -44.2902  -44.46565
-1603.150045 -1603.074093 -43.2902  -43.83340
-1603.149910 -1603.074022 -42.2902  -43.20705
-1603.149757 -1603.073938 -41.2902  -42.58375
-1603.149586 -1603.073840 -40.2902  -41.96120
-1603.149398 -1603.073730 -39.2902  -41.34000
-1603.149192 -1603.073606 -38.2902  -40.72260
-1603.148969 -1603.073469 -37.2902  -40.11150
-1603.148728 -1603.073318 -36.2902  -39.50790
-1603.148470 -1603.073153 -35.2902  -38.91135
-1603.148193 -1603.072974 -34.2902  -38.31975
