From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076365 -48.7504  -47.32280
0.000053 0.076370 -47.7505  -46.65630
0.000121 0.076387 -46.7505  -45.99265
0.000203 0.076416 -45.7504  -45.32015
0.000297 0.076457 -44.7505  -44.69765
0.000408 0.076510 -43.7505  -44.07250
0.000535 0.076577 -42.7505  -43.44910
0.000680 0.076657 -41.7505  -42.83005
0.000843 0.076751 -40.7505  -42.21325
0.001025 0.076858 -39.7505  -41.59655
0.001224 0.076977 -38.7505  -40.98045
0.001441 0.077111 -37.7505  -40.36780
0.001675 0.077258 -36.7505  -39.76020
0.001927 0.077418 -35.7505  -39.15635
0.002197 0.077593 -34.7505  -38.55490
0.002484 0.077781 -33.7505  -37.95520
0.002789 0.077984 -32.7505  -37.35680
0.003112 0.078201 -31.7505  -36.75890
0.003454 0.078433 -30.7505  -36.16145
0.003813 0.078678 -29.7505  -35.56640
0.004190 0.078938 -28.7505  -34.97445
0.004584 0.079213 -27.7505  -34.38565
0.004996 0.079503 -26.7505  -33.79925
0.005425 0.079808 -25.7505  -33.21515
0.005873 0.080128 -24.7505  -32.63305
0.006339 0.080463 -23.7505  -32.04810
0.006822 0.080813 -22.7505  -31.46905
0.007325 0.081178 -21.7505  -30.88390
0.007847 0.081558 -20.7505  -30.29800
0.008388 0.081953 -19.7505  -29.71040
0.008950 0.082363 -18.7505  -29.11645
0.009533 0.082788 -17.7505  -28.51760
0.010148 0.083228 -16.7506  -27.89420
0.010773 0.083683 -15.7505  -27.28110
0.011424 0.084152 -14.7505  -26.65545
0.012098 0.084636 -13.7505  -26.01480
0.012811 0.085133 -12.7506  -25.33555
0.013582 0.085644 -11.7506  -24.59680
0.021159 0.082727 -10.7504   -5.69275
0.021202 0.082701  -9.7504   -4.78360
0.021237 0.082678  -8.7505   -3.87430
0.021267 0.082659  -7.7505   -2.97195
0.021281 0.082645  -6.7505   -2.09135
0.021284 0.082635  -5.7505   -1.23690
0.021276 0.082630  -4.7505   -0.39485
0.021260 0.082629  -3.7505    0.44085
0.021236 0.082634  -2.7505    1.27490
0.021204 0.082644  -1.7505    2.11465
0.021165 0.082658  -0.7505    2.96735
0.021119 0.082676   0.2495    3.83510
0.021066 0.082697   1.2495    4.71195
0.021004 0.082722   2.2495    5.58675
0.020936 0.082749   3.2495    6.45485
0.020861 0.082780   4.2495    7.32705
0.020773 0.082814   5.2495    8.21320

From fb scan:
Fixed   = D(6,11,12,13), S, 48, -1.000
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076541 -52.2830  -49.84945
0.000002 0.076509 -51.2830  -49.15180
0.000018 0.076488 -50.2830  -48.45905
0.000049 0.076477 -49.2830  -47.76895
0.000095 0.076476 -48.2830  -47.08240
0.000156 0.076486 -47.2830  -46.40445
0.000230 0.076507 -46.2830  -45.73920
0.000319 0.076540 -45.2830  -45.08705
0.000423 0.076585 -44.2830  -44.44640
0.000543 0.076643 -43.2830  -43.81410
0.000679 0.076714 -42.2830  -43.18750
0.000833 0.076799 -41.2830  -42.56345
0.001005 0.076896 -40.2830  -41.93980
0.001194 0.077006 -39.2830  -41.31750
0.001401 0.077130 -38.2829  -40.69915
0.001625 0.077267 -37.2829  -40.08725
0.001866 0.077417 -36.2829  -39.48325
0.002125 0.077582 -35.2829  -38.88640
0.002401 0.077761 -34.2829  -38.29490
0.002696 0.077955 -33.2829  -37.70695
0.003009 0.078163 -32.2829  -37.12070
0.003340 0.078385 -31.2829  -36.53560
0.003690 0.078623 -30.2829  -35.95250
0.004057 0.078875 -29.2831  -35.36800
0.004442 0.079142 -28.2830  -34.78810
0.004847 0.079424 -27.2830  -34.20810
0.005270 0.079721 -26.2830  -33.62655
0.005712 0.080033 -25.2830  -33.04300
0.006172 0.080360 -24.2833  -32.45820
0.006651 0.080703 -23.2830  -31.87610
0.007150 0.081060 -22.2832  -31.28775
0.007665 0.081433 -21.2832  -30.70490
0.018687 0.083184 -20.2830  -17.42735
0.019862 0.083173 -19.2830  -14.91865
0.020296 0.083142 -18.2831  -13.47590
0.020606 0.083104 -17.2830  -12.19245
0.020818 0.083063 -16.2830  -11.05240
0.020980 0.083020 -15.2830   -9.98115
0.021096 0.082978 -14.2830   -8.96420
0.021180 0.082939 -13.2830   -8.00565
0.021248 0.082903 -12.2830   -7.07950
0.021300 0.082870 -11.2830   -6.15765
0.021350 0.082842 -10.2830   -5.23385
0.021392 0.082817  -9.2830   -4.32020
0.021415 0.082796  -8.2830   -3.42940
0.021424 0.082779  -7.2830   -2.55290
0.021428 0.082767  -6.2830   -1.70030
0.021416 0.082759  -5.2830   -0.85760
0.021405 0.082757  -4.2830   -0.01410
