From fa scan:
Fixed   = ['D(6,11,12,13)', 'S', '54', '1.0000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076176 -48.7926  -47.36530
0.000051 0.076182 -47.7927  -46.69830
0.000118 0.076199 -46.7927  -46.03405
0.000199 0.076227 -45.7927  -45.36160
0.000292 0.076268 -44.7927  -44.73850
0.000401 0.076321 -43.7927  -44.11320
0.000527 0.076388 -42.7927  -43.48970
0.000671 0.076468 -41.7927  -42.87050
0.000833 0.076561 -40.7927  -42.25355
0.001013 0.076668 -39.7927  -41.63655
0.001210 0.076788 -38.7927  -41.02005
0.001426 0.076921 -37.7927  -40.40705
0.001659 0.077067 -36.7928  -39.79920
0.001910 0.077228 -35.7928  -39.19520
0.002177 0.077402 -34.7928  -38.59365
0.002463 0.077590 -33.7928  -37.99410
0.002767 0.077793 -32.7928  -37.39585
0.003089 0.078010 -31.7928  -36.79805
0.003429 0.078241 -30.7928  -36.20055
0.003787 0.078486 -29.7928  -35.60545
0.004162 0.078746 -28.7928  -35.01345
0.004555 0.079021 -27.7928  -34.42440
0.004965 0.079310 -26.7928  -33.83780
0.005394 0.079615 -25.7928  -33.25350
0.005840 0.079935 -24.7928  -32.67135
0.006304 0.080269 -23.7927  -32.08625
0.006786 0.080619 -22.7928  -31.50725
0.007287 0.080983 -21.7928  -30.92240
0.007807 0.081363 -20.7928  -30.33700
0.008346 0.081757 -19.7928  -29.74995
0.008906 0.082167 -18.7927  -29.15695
0.009487 0.082592 -17.7927  -28.55925
0.010089 0.083032 -16.7927  -27.95355
0.010726 0.083486 -15.7928  -27.31995
0.011371 0.083955 -14.7927  -26.69770
0.012046 0.084439 -13.7927  -26.05765
0.012745 0.084936 -12.7927  -25.39255
0.013500 0.085447 -11.7929  -24.67675
0.021094 0.082602 -10.7926   -5.72825
0.021133 0.082576  -9.7927   -4.81835
0.021161 0.082554  -8.7927   -3.92550
0.021186 0.082536  -7.7928   -3.03000
0.021200 0.082523  -6.7928   -2.14695
0.021204 0.082513  -5.7928   -1.27895
0.021199 0.082508  -4.7928   -0.41900
0.021184 0.082508  -3.7928    0.43540
0.021162 0.082512  -2.7928    1.28760
0.021130 0.082521  -1.7928    2.13500
0.021092 0.082533  -0.7928    2.98610
0.021046 0.082550   0.2072    3.84695
0.020995 0.082571   1.2073    4.71210
0.020937 0.082594   2.2073    5.57620
0.020870 0.082622   3.2073    6.44695
0.020791 0.082651   4.2073    7.33365
0.020691 0.082683   5.2073    8.23390

From fb scan:
Fixed   = ['D(6,11,12,13)', 'S', '48', '-1.000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076353 -52.2919  -49.87520
0.000002 0.076322 -51.2919  -49.17725
0.000018 0.076301 -50.2919  -48.48360
0.000048 0.076289 -49.2919  -47.79235
0.000094 0.076289 -48.2919  -47.10510
0.000154 0.076299 -47.2919  -46.42705
0.000228 0.076320 -46.2919  -45.76215
0.000316 0.076354 -45.2919  -45.11020
0.000419 0.076399 -44.2919  -44.46945
0.000538 0.076457 -43.2919  -43.83730
0.000673 0.076528 -42.2919  -43.21115
0.000825 0.076612 -41.2919  -42.58875
0.000995 0.076710 -40.2919  -41.96735
0.001184 0.076820 -39.2919  -41.34700
0.001389 0.076944 -38.2918  -40.73015
0.001612 0.077082 -37.2918  -40.11920
0.001853 0.077233 -36.2918  -39.51550
0.002111 0.077398 -35.2918  -38.91865
0.002387 0.077577 -34.2918  -38.32650
0.002681 0.077771 -33.2918  -37.73730
0.002993 0.077979 -32.2919  -37.15025
0.003325 0.078202 -31.2918  -36.56170
0.003670 0.078439 -30.2919  -35.97785
0.004038 0.078692 -29.2919  -35.39330
0.004423 0.078959 -28.2919  -34.81265
0.004826 0.079241 -27.2919  -34.23560
0.005249 0.079538 -26.2919  -33.65010
0.005688 0.079850 -25.2919  -33.06905
0.006147 0.080178 -24.2919  -32.49125
0.006624 0.080520 -23.2921  -31.90275
0.007121 0.080878 -22.2921  -31.31875
0.007636 0.081251 -21.2922  -30.73460
0.018446 0.083038 -20.2920  -17.75190
0.019734 0.083034 -19.2920  -15.05300
0.020206 0.083006 -18.2920  -13.55705
0.020525 0.082970 -17.2920  -12.25765
0.020744 0.082930 -16.2920  -11.10060
0.020911 0.082889 -15.2920  -10.02200
0.021031 0.082848 -14.2919   -8.99540
0.021117 0.082810 -13.2919   -8.03170
0.021186 0.082774 -12.2919   -7.10170
0.021239 0.082743 -11.2919   -6.17760
0.021289 0.082714 -10.2919   -5.25150
0.021331 0.082690  -9.2919   -4.33480
0.021354 0.082670  -8.2919   -3.44100
0.021363 0.082653  -7.2919   -2.56160
0.021367 0.082641  -6.2919   -1.70610
0.021355 0.082633  -5.2919   -0.86090
0.021344 0.082631  -4.2920   -0.01450
