From fa scan:
Fixed   = ['D(6,11,12,13)', 'S', '54', '1.0000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076128 -48.8033  -47.37595
0.000051 0.076134 -47.8034  -46.70890
0.000118 0.076150 -46.8034  -46.04455
0.000198 0.076179 -45.8034  -45.37210
0.000291 0.076220 -44.8034  -44.74880
0.000399 0.076273 -43.8034  -44.12350
0.000525 0.076340 -42.8034  -43.50000
0.000668 0.076420 -41.8034  -42.88075
0.000830 0.076513 -40.8034  -42.26375
0.001009 0.076620 -39.8034  -41.64670
0.001207 0.076739 -38.8034  -41.03010
0.001422 0.076872 -37.8034  -40.41700
0.001655 0.077019 -36.8034  -39.80900
0.001905 0.077179 -35.8034  -39.20500
0.002172 0.077353 -34.8034  -38.60340
0.002458 0.077542 -33.8034  -38.00385
0.002761 0.077744 -32.8034  -37.40565
0.003083 0.077961 -31.8034  -36.80790
0.003423 0.078192 -30.8034  -36.21040
0.003780 0.078437 -29.8034  -35.61525
0.004155 0.078697 -28.8034  -35.02325
0.004548 0.078972 -27.8034  -34.43415
0.004958 0.079261 -26.8034  -33.84755
0.005385 0.079566 -25.8034  -33.26315
0.005831 0.079885 -24.8034  -32.68085
0.006295 0.080220 -23.8034  -32.09590
0.006777 0.080569 -22.8034  -31.51695
0.007277 0.080933 -21.8034  -30.93210
0.007797 0.081313 -20.8034  -30.34680
0.008336 0.081708 -19.8034  -29.75990
0.008895 0.082117 -18.8034  -29.16710
0.009475 0.082542 -17.8034  -28.56970
0.010077 0.082982 -16.8034  -27.96435
0.010713 0.083436 -15.8035  -27.33110
0.011357 0.083905 -14.8034  -26.70930
0.012032 0.084388 -13.8034  -26.06980
0.012730 0.084886 -12.8034  -25.40560
0.013481 0.085396 -11.8035  -24.69370
0.021075 0.082566 -10.8033   -5.74500
0.021110 0.082540  -9.8033   -4.84030
0.021149 0.082519  -8.8034   -3.93465
0.021173 0.082500  -7.8034   -3.03525
0.021184 0.082486  -6.8034   -2.15625
0.021194 0.082476  -5.8034   -1.28320
0.021188 0.082471  -4.8034   -0.42540
0.021175 0.082471  -3.8034    0.42350
0.021151 0.082475  -2.8034    1.26665
0.021120 0.082484  -1.8034    2.11035
0.021081 0.082497  -0.8034    2.96250
0.021035 0.082514   0.1966    3.82880
0.020981 0.082534   1.1966    4.70630
0.020921 0.082558   2.1966    5.57830
0.020854 0.082585   3.1966    6.44640
0.020777 0.082615   4.1966    7.32605
0.020686 0.082647   5.1966    8.22155

From fb scan:
Fixed   = ['D(6,11,12,13)', 'S', '48', '-1.000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076306 -52.2942  -49.88375
0.000001 0.076275 -51.2942  -49.18550
0.000017 0.076253 -50.2942  -48.49205
0.000048 0.076242 -49.2942  -47.80140
0.000093 0.076242 -48.2942  -47.11430
0.000153 0.076252 -47.2942  -46.43605
0.000226 0.076274 -46.2942  -45.77070
0.000314 0.076307 -45.2942  -45.11815
0.000417 0.076352 -44.2942  -44.47685
0.000536 0.076411 -43.2942  -43.84425
0.000671 0.076482 -42.2942  -43.21785
0.000823 0.076566 -41.2942  -42.59505
0.000994 0.076664 -40.2942  -41.97325
0.001182 0.076774 -39.2942  -41.35260
0.001387 0.076898 -38.2942  -40.73545
0.001610 0.077036 -37.2942  -40.12405
0.001851 0.077187 -36.2942  -39.51985
0.002108 0.077352 -35.2942  -38.92270
0.002384 0.077531 -34.2942  -38.33070
0.002678 0.077725 -33.2942  -37.74170
0.002989 0.077933 -32.2942  -37.15535
0.003318 0.078156 -31.2942  -36.57250
0.003669 0.078394 -30.2942  -35.98095
0.004034 0.078646 -29.2942  -35.39905
0.004420 0.078913 -28.2942  -34.81800
0.004823 0.079195 -27.2944  -34.23800
0.005244 0.079493 -26.2942  -33.65865
0.005683 0.079805 -25.2942  -33.07525
0.006142 0.080132 -24.2944  -32.49215
0.006619 0.080475 -23.2944  -31.90835
0.007113 0.080833 -22.2942  -31.32520
0.007630 0.081206 -21.2945  -30.74075
0.018388 0.083002 -20.2943  -17.83105
0.019699 0.083000 -19.2942  -15.09265
0.020183 0.082972 -18.2943  -13.57885
0.020505 0.082937 -17.2943  -12.27440
0.020726 0.082897 -16.2943  -11.11315
0.020894 0.082856 -15.2943  -10.03255
0.021015 0.082816 -14.2943   -9.00350
0.021102 0.082777 -13.2943   -8.03845
0.021171 0.082742 -12.2942   -7.10750
0.021223 0.082711 -11.2943   -6.18275
0.021274 0.082683 -10.2943   -5.25605
0.021316 0.082658  -9.2942   -4.33850
0.021339 0.082638  -8.2942   -3.44395
0.021349 0.082622  -7.2942   -2.56380
0.021353 0.082609  -6.2942   -1.70760
0.021341 0.082602  -5.2942   -0.86180
0.021329 0.082600  -4.2943   -0.01475
