From fa scan:
Fixed   = ['D(6,11,12,13)', 'S', '54', '1.0000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076209 -48.7853  -47.35795
0.000052 0.076215 -47.7854  -46.69100
0.000119 0.076232 -46.7854  -46.02685
0.000200 0.076260 -45.7854  -45.35445
0.000293 0.076301 -44.7854  -44.73145
0.000402 0.076354 -43.7854  -44.10615
0.000528 0.076421 -42.7854  -43.48270
0.000672 0.076501 -41.7854  -42.86350
0.000835 0.076594 -40.7854  -42.24655
0.001015 0.076701 -39.7854  -41.62960
0.001213 0.076821 -38.7854  -41.01320
0.001428 0.076954 -37.7854  -40.40025
0.001662 0.077101 -36.7854  -39.79240
0.001913 0.077261 -35.7854  -39.18845
0.002181 0.077435 -34.7854  -38.58695
0.002467 0.077624 -33.7854  -37.98730
0.002771 0.077826 -32.7854  -37.38905
0.003093 0.078043 -31.7854  -36.79120
0.003433 0.078274 -30.7854  -36.19375
0.003791 0.078520 -29.7854  -35.59865
0.004167 0.078780 -28.7854  -35.00665
0.004560 0.079054 -27.7854  -34.41760
0.004971 0.079344 -26.7854  -33.83110
0.005399 0.079649 -25.7854  -33.24680
0.005845 0.079968 -24.7854  -32.66465
0.006310 0.080303 -23.7854  -32.07965
0.006792 0.080652 -22.7854  -31.50065
0.007294 0.081017 -21.7854  -30.91570
0.007814 0.081397 -20.7854  -30.33020
0.008353 0.081791 -19.7854  -29.74305
0.008914 0.082201 -18.7854  -29.14990
0.009495 0.082626 -17.7854  -28.55200
0.010098 0.083066 -16.7854  -27.94610
0.010734 0.083521 -15.7855  -27.31225
0.011380 0.083990 -14.7854  -26.69000
0.012056 0.084473 -13.7854  -26.04935
0.012756 0.084970 -12.7854  -25.38295
0.013513 0.085481 -11.7855  -24.66470
0.021102 0.082624 -10.7852   -5.72060
0.021142 0.082598  -9.7853   -4.81125
0.021178 0.082576  -8.7854   -3.91545
0.021202 0.082558  -7.7854   -3.02030
0.021215 0.082544  -6.7854   -2.13990
0.021219 0.082535  -5.7854   -1.27430
0.021213 0.082530  -4.7854   -0.41670
0.021199 0.082529  -3.7854    0.43610
0.021177 0.082534  -2.7854    1.28580
0.021145 0.082542  -1.7854    2.13170
0.021107 0.082555  -0.7854    2.98225
0.021062 0.082572   0.2146    3.84490
0.021010 0.082593   1.2146    4.71280
0.020951 0.082617   2.2146    5.57835
0.020884 0.082644   3.2146    6.44710
0.020807 0.082674   4.2146    7.33290
0.020707 0.082706   5.2146    8.23195

From fb scan:
Fixed   = ['D(6,11,12,13)', 'S', '48', '-1.000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.076387 -52.2903  -49.87125
0.000002 0.076356 -51.2903  -49.17310
0.000018 0.076334 -50.2903  -48.47920
0.000048 0.076323 -49.2903  -47.78785
0.000094 0.076323 -48.2903  -47.10075
0.000154 0.076333 -47.2902  -46.42290
0.000228 0.076354 -46.2902  -45.75825
0.000316 0.076387 -45.2902  -45.10640
0.000419 0.076433 -44.2902  -44.46565
0.000539 0.076491 -43.2902  -43.83340
0.000674 0.076562 -42.2902  -43.20705
0.000827 0.076646 -41.2902  -42.58375
0.000998 0.076744 -40.2902  -41.96120
0.001186 0.076854 -39.2902  -41.34000
0.001392 0.076978 -38.2902  -40.72260
0.001615 0.077115 -37.2902  -40.11150
0.001856 0.077266 -36.2902  -39.50790
0.002114 0.077431 -35.2902  -38.91135
0.002390 0.077610 -34.2902  -38.31975
0.002685 0.077804 -33.2902  -37.73130
0.002997 0.078012 -32.2902  -37.14445
0.003328 0.078235 -31.2902  -36.55835
0.003676 0.078472 -30.2902  -35.97370
0.004042 0.078725 -29.2902  -35.39295
0.004429 0.078992 -28.2902  -34.80755
0.004831 0.079274 -27.2902  -34.22810
0.005253 0.079571 -26.2902  -33.64815
0.005695 0.079883 -25.2902  -33.06275
0.006152 0.080211 -24.2902  -32.48255
0.006630 0.080553 -23.2904  -31.89815
0.007127 0.080911 -22.2904  -31.31280
0.007642 0.081284 -21.2905  -30.72870
0.018490 0.083065 -20.2903  -17.69485
0.019760 0.083060 -19.2904  -15.03285
0.020223 0.083031 -18.2903  -13.54230
0.020540 0.082995 -17.2903  -12.24625
0.020758 0.082954 -16.2903  -11.09185
0.020924 0.082913 -15.2903  -10.01470
0.021044 0.082872 -14.2903   -8.98985
0.021129 0.082833 -13.2903   -8.02710
0.021198 0.082798 -12.2903   -7.09780
0.021251 0.082766 -11.2903   -6.17405
0.021301 0.082738 -10.2903   -5.24835
0.021342 0.082713  -9.2902   -4.33215
0.021366 0.082693  -8.2902   -3.43885
0.021375 0.082676  -7.2902   -2.55995
0.021379 0.082664  -6.2902   -1.70490
0.021367 0.082657  -5.2903   -0.86025
0.021356 0.082654  -4.2903   -0.01440
