From fa scan:
Fixed   = ['D(6,11,12,13)', 'S', '54', '1.0000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.077072 -48.5913  -47.16130
0.000057 0.077078 -47.5913  -46.49620
0.000130 0.077095 -46.5914  -45.83450
0.000218 0.077123 -45.5913  -45.16320
0.000318 0.077165 -44.5914  -44.54230
0.000433 0.077219 -43.5914  -43.91755
0.000566 0.077286 -42.5914  -43.29450
0.000716 0.077366 -41.5914  -42.67605
0.000884 0.077460 -40.5914  -42.05995
0.001071 0.077568 -39.5914  -41.44425
0.001275 0.077688 -38.5914  -40.82950
0.001497 0.077822 -37.5914  -40.21830
0.001737 0.077970 -36.5914  -39.61165
0.001994 0.078131 -35.5914  -39.00835
0.002269 0.078307 -34.5914  -38.40700
0.002561 0.078496 -33.5914  -37.80710
0.002872 0.078700 -32.5914  -37.20830
0.003201 0.078918 -31.5914  -36.61005
0.003548 0.079150 -30.5914  -36.01280
0.003912 0.079397 -29.5914  -35.41810
0.004294 0.079658 -28.5914  -34.82675
0.004694 0.079934 -27.5914  -34.23875
0.005111 0.080226 -26.5914  -33.65340
0.005546 0.080532 -25.5914  -33.06995
0.005999 0.080853 -24.5914  -32.48795
0.006471 0.081189 -23.5914  -31.90245
0.006961 0.081541 -22.5914  -31.32240
0.007470 0.081907 -21.5914  -30.73585
0.007998 0.082288 -20.5914  -30.14780
0.008546 0.082685 -19.5914  -29.55755
0.009118 0.083096 -18.5915  -28.95685
0.009718 0.083523 -17.5915  -28.34155
0.010331 0.083964 -16.5914  -27.73105
0.010967 0.084420 -15.5914  -27.11065
0.011632 0.084891 -14.5915  -26.46875
0.012319 0.085375 -13.5914  -25.82210
0.013067 0.085873 -12.5915  -25.10400
0.021361 0.083245 -11.5913   -6.40245
0.021408 0.083213 -10.5912   -5.49645
0.021444 0.083185  -9.5914   -4.60300
0.021475 0.083162  -8.5914   -3.71890
0.021496 0.083142  -7.5914   -2.83950
0.021506 0.083128  -6.5914   -1.97630
0.021506 0.083119  -5.5914   -1.12555
0.021498 0.083114  -4.5914   -0.28250
0.021482 0.083114  -3.5914    0.55775
0.021458 0.083120  -2.5914    1.39390
0.021426 0.083130  -1.5914    2.22840
0.021387 0.083145  -0.5914    3.06930
0.021341 0.083164   0.4086    3.92175
0.021288 0.083187   1.4086    4.77985
0.021229 0.083214   2.4086    5.63470
0.021163 0.083244   3.4086    6.49380
0.021086 0.083278   4.4086    7.36935
0.020995 0.083314   5.4086    8.25345

From fb scan:
Fixed   = ['D(6,11,12,13)', 'S', '48', '-1.000']
Opposit = D(10,11,12,5)

      S0       S1  D_fixed  D_average
0.000000 0.077234 -52.2514  -49.74200
0.000005 0.077201 -51.2514  -49.04305
0.000025 0.077178 -50.2514  -48.34835
0.000060 0.077165 -49.2514  -47.65650
0.000109 0.077163 -48.2514  -46.96990
0.000172 0.077172 -47.2514  -46.29380
0.000249 0.077192 -46.2514  -45.63075
0.000340 0.077224 -45.2514  -44.98025
0.000445 0.077268 -44.2514  -44.34070
0.000566 0.077324 -43.2514  -43.70995
0.000704 0.077394 -42.2514  -43.08555
0.000858 0.077477 -41.2514  -42.46505
0.001031 0.077573 -40.2514  -41.84620
0.001221 0.077683 -39.2514  -41.22835
0.001430 0.077806 -38.2513  -40.61330
0.001656 0.077942 -37.2513  -40.00365
0.001900 0.078092 -36.2513  -39.40070
0.002161 0.078256 -35.2513  -38.80400
0.002441 0.078435 -34.2513  -38.21150
0.002737 0.078628 -33.2514  -37.62365
0.003053 0.078835 -32.2514  -37.03420
0.003387 0.079057 -31.2514  -36.44445
0.003741 0.079294 -30.2514  -35.85495
0.004112 0.079545 -29.2514  -35.26955
0.004503 0.079811 -28.2514  -34.68540
0.004912 0.080092 -27.2514  -34.10135
0.005340 0.080388 -26.2516  -33.51590
0.005786 0.080700 -25.2514  -32.93155
0.006254 0.081027 -24.2516  -32.34180
0.006740 0.081368 -23.2514  -31.75435
0.007244 0.081725 -22.2517  -31.16190
0.007766 0.082097 -21.2516  -30.57000
0.019568 0.083705 -20.2515  -16.26390
0.020244 0.083676 -19.2515  -14.53475
0.020623 0.083636 -18.2515  -13.17800
0.020890 0.083591 -17.2515  -11.97690
0.021079 0.083543 -16.2515  -10.88400
0.021226 0.083496 -15.2514   -9.83455
0.021336 0.083451 -14.2514   -8.85235
0.021406 0.083408 -13.2514   -7.91115
0.021470 0.083369 -12.2514   -6.99775
0.021521 0.083335 -11.2514   -6.08440
0.021572 0.083304 -10.2514   -5.16935
0.021612 0.083277  -9.2514   -4.26690
0.021634 0.083255  -8.2514   -3.38725
0.021642 0.083237  -7.2514   -2.52170
0.021645 0.083224  -6.2514   -1.67915
0.021632 0.083216  -5.2514   -0.84620
0.021620 0.083213  -4.2515   -0.01300
