optS0 = -1603.15231614
tdS0  = -1603.06256775
optS1 = -1603.07083328
optR1 = -1603.0647392

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.3343        1.3338        1.3309
  R2         R(1,5)        1.3892        1.4104        1.4078
  R3        R(1,19)        1.5554        1.5435        1.5449
  R4         R(2,3)        1.4179        1.4214        1.4212
  R5        R(2,21)        1.0882        1.0875        1.0870
  R6         R(3,4)        1.3956        1.4145        1.4145
  R7        R(3,30)        1.4708        1.4498        1.4516
  R8         R(4,5)        1.4155        1.4018        1.3997
  R9        R(4,22)        1.0863        1.0844        1.0843
 R10        R(5,12)        1.4053        1.4225        1.4442
 R11         R(6,7)        1.3927        1.3923        1.3893
 R12        R(6,11)        1.4029        1.4067        1.4165
 R13        R(6,23)        1.0908        1.0912        1.0868
 R14         R(7,8)        1.3954        1.3959        1.3963
 R15        R(7,24)        1.0902        1.0907        1.0907
 R16         R(8,9)        1.3954        1.3955        1.3963
 R17        R(8,25)        1.0904        1.0904        1.0901
 R18        R(9,10)        1.3927        1.3928        1.3893
 R19        R(9,26)        1.0902        1.0907        1.0907
 R20       R(10,11)        1.4029        1.4064        1.4165
 R21       R(10,27)        1.0908        1.0907        1.0868
 R22       R(11,12)        1.4785        1.4719        1.4528
 R23       R(12,13)        1.4053        1.4233        1.4442
 R24       R(13,14)        1.4155        1.4012        1.3997
 R25       R(13,17)        1.3885        1.4087        1.4078
 R26       R(14,15)        1.3955        1.4145        1.4145
 R27       R(14,28)        1.0866        1.0851        1.0843
 R28       R(15,16)        1.4180        1.4222        1.4212
 R29       R(15,40)        1.4707        1.4495        1.4516
 R30       R(16,17)        1.3343        1.3335        1.3309
 R31       R(16,29)        1.0881        1.0874        1.0870
 R32       R(17,19)        1.5539        1.5419        1.5449
 R33       R(18,19)        1.3911        1.3949        1.3896
 R34       R(19,20)        1.3951        1.4015        1.3955
 R35       R(30,31)        1.3983        1.4072        1.4062
 R36       R(30,32)        1.4061        1.4146        1.4137
 R37       R(31,33)        1.3950        1.3894        1.3899
 R38       R(31,36)        1.0912        1.0902        1.0903
 R39       R(32,34)        1.3859        1.3799        1.3805
 R40       R(32,37)        1.0912        1.0902        1.0903
 R41       R(33,35)        1.3988        1.4029        1.4024
 R42       R(33,38)        1.0884        1.0882        1.0882
 R43       R(34,35)        1.4023        1.4075        1.4068
 R44       R(34,39)        1.0902        1.0899        1.0899
 R45       R(35,50)        1.3557        1.3465        1.3475
 R46       R(40,41)        1.3983        1.4073        1.4062
 R47       R(40,42)        1.4062        1.4147        1.4137
 R48       R(41,43)        1.3950        1.3893        1.3899
 R49       R(41,46)        1.0913        1.0902        1.0903
 R50       R(42,44)        1.3858        1.3798        1.3805
 R51       R(42,47)        1.0912        1.0902        1.0903
 R52       R(43,45)        1.3987        1.4030        1.4024
 R53       R(43,48)        1.0884        1.0882        1.0882
 R54       R(44,45)        1.4024        1.4076        1.4068
 R55       R(44,49)        1.0902        1.0899        1.0899
 R56       R(45,55)        1.3557        1.3464        1.3475
 R57       R(50,51)        1.4161        1.4193        1.4190
 R58       R(51,52)        1.0948        1.0942        1.0943
 R59       R(51,53)        1.1014        1.1007        1.1007
 R60       R(51,54)        1.1014        1.1007        1.1007
 R61       R(55,56)        1.4161        1.4193        1.4190
 R62       R(56,57)        1.0948        1.0942        1.0943
 R63       R(56,58)        1.1014        1.1006        1.1007
 R64       R(56,59)        1.1014        1.1006        1.1007
  A1       A(2,1,5)      108.2616      108.7803      109.3699
  A2      A(2,1,19)      125.5198      124.8092      127.8654
  A3      A(5,1,19)      125.6133      125.6104      122.7645
  A4       A(1,2,3)      110.5841      109.9888      109.6443
  A5      A(1,2,21)      120.3895      120.2765      120.2372
  A6      A(3,2,21)      129.0037      129.6990      130.1106
  A7       A(2,3,4)      105.7150      105.9599      105.9169
  A8      A(2,3,30)      126.0201      125.8046      125.9140
  A9      A(4,3,30)      128.2618      128.2323      128.1686
 A10       A(3,4,5)      107.5813      107.6884      107.9182
 A11      A(3,4,22)      127.1974      127.0485      126.3509
 A12      A(5,4,22)      125.2175      125.2588      125.5222
 A13       A(1,5,4)      107.8520      107.5627      107.1497
 A14      A(1,5,12)      120.8390      120.5455      119.4604
 A15      A(4,5,12)      131.3090      131.8768      132.9309
 A16      A(7,6,11)      120.1507      120.8047      121.4388
 A17      A(7,6,23)      120.2939      119.9549      118.5077
 A18     A(11,6,23)      119.5381      119.2271      120.0134
 A19       A(6,7,8)      120.1552      120.2990      120.7311
 A20      A(6,7,24)      119.6557      119.5862      119.1751
 A21      A(8,7,24)      120.1889      120.1129      120.0885
 A22       A(7,8,9)      119.9474      119.5011      118.8326
 A23      A(7,8,25)      120.0244      120.2538      120.5737
 A24      A(9,8,25)      120.0281      120.2449      120.5736
 A25      A(8,9,10)      120.1700      120.3493      120.7314
 A26      A(8,9,26)      120.1817      120.0979      120.0883
 A27     A(10,9,26)      119.6480      119.5496      119.1750
 A28     A(9,10,11)      120.1379      120.7524      121.4385
 A29     A(9,10,27)      120.2427      119.7913      118.5073
 A30    A(11,10,27)      119.5970      119.4290      120.0142
 A31     A(6,11,10)      119.4331      118.2919      116.7150
 A32     A(6,11,12)      120.0994      120.3872      121.5879
 A33    A(10,11,12)      120.4670      121.3181      121.5914
 A34     A(5,12,11)      120.3011      121.4906      123.1830
 A35     A(5,12,13)      119.9063      118.3325      113.4969
 A36    A(11,12,13)      119.7875      120.0886      123.1781
 A37    A(12,13,14)      130.9839      131.1341      132.9279
 A38    A(12,13,17)      120.9804      121.0026      119.4631
 A39    A(14,13,17)      107.8592      107.6508      107.1501
 A40    A(13,14,15)      107.5693      107.6467      107.9185
 A41    A(13,14,28)      125.1250      124.9491      125.5205
 A42    A(15,14,28)      127.2509      127.3132      126.3529
 A43    A(14,15,16)      105.7249      105.9487      105.9165
 A44    A(14,15,40)      128.1692      128.2388      128.1662
 A45    A(16,15,40)      126.1052      125.8120      125.9169
 A46    A(15,16,17)      110.5458      109.9415      109.6440
 A47    A(15,16,29)      129.0722      129.7643      130.1108
 A48    A(17,16,29)      120.3799      120.2898      120.2373
 A49    A(13,17,16)      108.2995      108.8086      109.3699
 A50    A(13,17,19)      125.7356      125.5282      122.7622
 A51    A(16,17,19)      125.9479      125.5539      127.8677
 A52     A(1,19,17)      105.5071      104.8052      102.4096
 A53     A(1,19,18)      110.6778      110.8276      110.6374
 A54     A(1,19,20)      109.7153      110.2684      110.7123
 A55    A(17,19,18)      110.3623      110.7486      110.6373
 A56    A(17,19,20)      110.1487      110.5406      110.7123
 A57    A(18,19,20)      110.3278      109.5770      111.4015
 A58     A(3,30,31)      121.0371      120.9310      121.0506
 A59     A(3,30,32)      121.1539      121.5068      121.3839
 A60    A(31,30,32)      117.8090      117.5621      117.5654
 A61    A(30,31,33)      121.7396      121.8419      121.8354
 A62    A(30,31,36)      119.7099      119.6432      119.6937
 A63    A(33,31,36)      118.5439      118.5139      118.4695
 A64    A(30,32,34)      121.1333      121.2024      121.2129
 A65    A(30,32,37)      120.0041      120.0105      120.0207
 A66    A(34,32,37)      118.8562      118.7853      118.7650
 A67    A(31,33,35)      119.5969      119.5446      119.5629
 A68    A(31,33,38)      119.2073      119.3315      119.3148
 A69    A(35,33,38)      121.1940      121.1238      121.1220
 A70    A(32,34,35)      120.3534      120.3370      120.3363
 A71    A(32,34,39)      121.2113      121.3497      121.3349
 A72    A(35,34,39)      118.4338      118.3132      118.3288
 A73    A(33,35,34)      119.3672      119.5120      119.4868
 A74    A(33,35,50)      124.5952      124.5663      124.5615
 A75    A(34,35,50)      116.0377      115.9217      115.9516
 A76    A(15,40,41)      120.9601      120.8853      121.0481
 A77    A(15,40,42)      121.2290      121.5478      121.3864
