optS0 = -1603.15231614
tdS0 = -1603.06256775
optS1 = -1603.07083328
optR1 = -1603.0647392

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.52153  2.52058  2.51496
  R2         R(1,5)  2.62528  2.66536  2.66043
  R3        R(1,19)  2.93934  2.91681  2.91951
  R4         R(2,3)  2.67939  2.68610  2.68573
  R5        R(2,21)  2.05639  2.05509  2.05411
  R6         R(3,4)  2.63727  2.67295  2.67301
  R7        R(3,30)  2.77948  2.73974  2.74313
  R8         R(4,5)  2.67487  2.64894  2.64513
  R9        R(4,22)  2.05288  2.04926  2.04909
 R10        R(5,12)  2.65561  2.68814  2.72922
 R11         R(6,7)  2.63180  2.63107  2.62539
 R12        R(6,11)  2.65117  2.65837  2.67673
 R13        R(6,23)  2.06138  2.06202  2.05375
 R14         R(7,8)  2.63685  2.63794  2.63856
 R15        R(7,24)  2.06024  2.06110  2.06106
 R16         R(8,9)  2.63691  2.63713  2.63856
 R17        R(8,25)  2.06062  2.06062  2.05993
 R18        R(9,10)  2.63179  2.63192  2.62540
 R19        R(9,26)  2.06020  2.06113  2.06106
 R20       R(10,11)  2.65101  2.65767  2.67672
 R21       R(10,27)  2.06125  2.06109  2.05374
 R22       R(11,12)  2.79404  2.78155  2.74543
 R23       R(12,13)  2.65555  2.68960  2.72923
 R24       R(13,14)  2.67491  2.64780  2.64511
 R25       R(13,17)  2.62380  2.66213  2.66042
 R26       R(14,15)  2.63717  2.67294  2.67301
 R27       R(14,28)  2.05332  2.05048  2.04908
 R28       R(15,16)  2.67967  2.68765  2.68574
 R29       R(15,40)  2.77931  2.73916  2.74312
 R30       R(16,17)  2.52154  2.51992  2.51496
 R31       R(16,29)  2.05626  2.05493  2.05411
 R32       R(17,19)  2.93647  2.91371  2.91951
 R33       R(18,19)  2.62878  2.63604  2.62596
 R34       R(19,20)  2.63631  2.64845  2.63706
 R35       R(30,31)  2.64243  2.65927  2.65727
 R36       R(30,32)  2.65716  2.67319  2.67154
 R37       R(31,33)  2.63611  2.62552  2.62661
 R38       R(31,36)  2.06215  2.06017  2.06034
