From fa scan:
Fixed   = D(6,11,12,13), S, 54, 1.0000
Opposit = D(10,11,12,5)

          S0           S1  D_fixed  D_average
-1603.147905 -1603.070833 -48.5913  -47.16130
-1603.147848 -1603.070828 -47.5913  -46.49620
-1603.147775 -1603.070811 -46.5914  -45.83450
-1603.147687 -1603.070782 -45.5913  -45.16320
-1603.147588 -1603.070741 -44.5914  -44.54230
-1603.147472 -1603.070687 -43.5914  -43.91755
-1603.147340 -1603.070619 -42.5914  -43.29450
-1603.147189 -1603.070539 -41.5914  -42.67605
-1603.147021 -1603.070445 -40.5914  -42.05995
-1603.146835 -1603.070338 -39.5914  -41.44425
-1603.146630 -1603.070217 -38.5914  -40.82950
-1603.146408 -1603.070083 -37.5914  -40.21830
-1603.146169 -1603.069935 -36.5914  -39.61165
-1603.145911 -1603.069774 -35.5914  -39.00835
-1603.145637 -1603.069599 -34.5914  -38.40700
-1603.145344 -1603.069409 -33.5914  -37.80710
-1603.145033 -1603.069205 -32.5914  -37.20830
-1603.144704 -1603.068987 -31.5914  -36.61005
-1603.144357 -1603.068755 -30.5914  -36.01280
-1603.143993 -1603.068508 -29.5914  -35.41810
-1603.143611 -1603.068247 -28.5914  -34.82675
-1603.143211 -1603.067971 -27.5914  -34.23875
-1603.142794 -1603.067680 -26.5914  -33.65340
-1603.142359 -1603.067373 -25.5914  -33.06995
-1603.141906 -1603.067052 -24.5914  -32.48795
-1603.141434 -1603.066716 -23.5914  -31.90245
-1603.140944 -1603.066365 -22.5914  -31.32240
-1603.140435 -1603.065998 -21.5914  -30.73585
-1603.139907 -1603.065617 -20.5914  -30.14780
-1603.139359 -1603.065220 -19.5914  -29.55755
-1603.138787 -1603.064809 -18.5915  -28.95685
-1603.138188 -1603.064382 -17.5915  -28.34155
-1603.137574 -1603.063941 -16.5914  -27.73105
-1603.136938 -1603.063485 -15.5914  -27.11065
-1603.136273 -1603.063015 -14.5915  -26.46875
-1603.135587 -1603.062530 -13.5914  -25.82210
