optS0 = -1116.64839179
tdS0  = -1116.54174888
optS1 = -1116.55225399
optR1 = -1116.55023103

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.5543        1.5450        1.5526
  R2        R(1,11)        1.5551        1.5473        1.5523
  R3        R(1,19)        1.3929        1.3924        1.3925
  R4        R(1,20)        1.3956        1.3982        1.3854
  R5         R(2,3)        1.3371        1.3368        1.3332
  R6         R(2,9)        1.3888        1.4008        1.3989
  R7         R(3,4)        1.0879        1.0881        1.0876
  R8         R(3,5)        1.4107        1.4224        1.4207
  R9         R(5,6)        1.0852        1.0862        1.0860
 R10         R(5,7)        1.3878        1.3854        1.3870
 R11         R(7,8)        1.0865        1.0856        1.0854
 R12         R(7,9)        1.4196        1.4281        1.4246
 R13        R(9,10)        1.4021        1.4246        1.4424
 R14       R(10,18)        1.4021        1.4236        1.4425
 R15       R(10,21)        1.4816        1.4654        1.4421
 R16       R(11,12)        1.3371        1.3368        1.3333
 R17       R(11,18)        1.3891        1.4033        1.3987
 R18       R(12,13)        1.0879        1.0882        1.0877
 R19       R(12,14)        1.4105        1.4217        1.4207
 R20       R(14,15)        1.0853        1.0862        1.0861
 R21       R(14,16)        1.3879        1.3856        1.3870
 R22       R(16,17)        1.0864        1.0849        1.0855
 R23       R(16,18)        1.4195        1.4285        1.4246
 R24       R(21,22)        1.4025        1.4095        1.4182
 R25       R(21,29)        1.4024        1.4090        1.4183
 R26       R(22,23)        1.0899        1.0902        1.0873
 R27       R(22,24)        1.3903        1.3871        1.3836
 R28       R(24,25)        1.0878        1.0879        1.0878
 R29       R(24,26)        1.3896        1.3924        1.3938
 R30       R(26,27)        1.3895        1.3917        1.3938
 R31       R(26,31)        1.4752        1.4665        1.4620
 R32       R(27,28)        1.0878        1.0879        1.0878
 R33       R(27,29)        1.3903        1.3877        1.3836
 R34       R(29,30)        1.0899        1.0895        1.0874
 R35       R(31,32)        1.2128        1.2152        1.2163
 R36       R(31,33)        1.2128        1.2152        1.2163
  A1      A(2,1,11)      105.7594      104.7375      102.3614
  A2      A(2,1,19)      110.2598      110.5794      110.4912
  A3      A(2,1,20)      110.2405      110.6292      110.5692
  A4     A(11,1,19)      110.5768      110.7341      110.5081
  A5     A(11,1,20)      109.8435      110.1814      110.5892
  A6     A(19,1,20)      110.0817      109.8846      111.9309
  A7       A(1,2,3)      125.9506      125.6489      128.7730
  A8       A(1,2,9)      125.9050      125.8980      122.3453
  A9       A(3,2,9)      108.1443      108.4374      108.8543
 A10       A(2,3,4)      120.6322      120.7977      120.7661
 A11       A(2,3,5)      110.2175      109.8380      109.5962
 A12       A(4,3,5)      129.1492      129.3621      129.6375
 A13       A(3,5,6)      125.7316      125.3290      125.5251
 A14       A(3,5,7)      106.6517      107.0479      107.0345
 A15       A(6,5,7)      127.6128      127.6164      127.4392
 A16       A(5,7,8)      127.4994      127.5396      127.1688
 A17       A(5,7,9)      107.0152      107.0507      107.1116
 A18       A(8,7,9)      125.4746      125.3701      125.6730
 A19       A(2,9,7)      107.9696      107.6246      107.3800
 A20      A(2,9,10)      120.9036      121.5543      119.7976
