optS0 = -1116.64839179
tdS0 = -1116.54174888
optS1 = -1116.55225399
optR1 = -1116.55023103

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93719  2.91961  2.93390
  R2        R(1,11)  2.93872  2.92405  2.93341
  R3        R(1,19)  2.63224  2.63118  2.63141
  R4        R(1,20)  2.63729  2.64227  2.61795
  R5         R(2,3)  2.52667  2.52613  2.51937
  R6         R(2,9)  2.62448  2.64709  2.64355
  R7         R(3,4)  2.05579  2.05627  2.05535
  R8         R(3,5)  2.66574  2.68790  2.68483
  R9         R(5,6)  2.05081  2.05254  2.05230
 R10         R(5,7)  2.62265  2.61803  2.62099
 R11         R(7,8)  2.05315  2.05151  2.05106
 R12         R(7,9)  2.68257  2.69868  2.69212
 R13        R(9,10)  2.64962  2.69217  2.72579
 R14       R(10,18)  2.64960  2.69022  2.72586
 R15       R(10,21)  2.79984  2.76924  2.72518
 R16       R(11,12)  2.52669  2.52619  2.51950
 R17       R(11,18)  2.62507  2.65179  2.64315
 R18       R(12,13)  2.05584  2.05642  2.05541
 R19       R(12,14)  2.66552  2.68659  2.68483
 R20       R(14,15)  2.05083  2.05255  2.05234
 R21       R(14,16)  2.62271  2.61832  2.62107
 R22       R(16,17)  2.05304  2.05016  2.05134
 R23       R(16,18)  2.68256  2.69954  2.69217
 R24       R(21,22)  2.65035  2.66366  2.67997
 R25       R(21,29)  2.65019  2.66256  2.68017
 R26       R(22,23)  2.05970  2.06014  2.05469
 R27       R(22,24)  2.62727  2.62123  2.61466
 R28       R(24,25)  2.05557  2.05578  2.05567
 R29       R(24,26)  2.62590  2.63128  2.63396
 R30       R(26,27)  2.62585  2.62996  2.63393
 R31       R(26,31)  2.78779  2.77135  2.76274
 R32       R(27,28)  2.05557  2.05579  2.05571
 R33       R(27,29)  2.62727  2.62236  2.61464
 R34       R(29,30)  2.05955  2.05889  2.05493
 R35       R(31,32)  2.29191  2.29642  2.29844
 R36       R(31,33)  2.29192  2.29647  2.29840
  A1      A(2,1,11)  1.84585  1.82801  1.78654
  A2      A(2,1,19)  1.92440  1.92998  1.92843
  A3      A(2,1,20)  1.92406  1.93084  1.92980
  A4     A(11,1,19)  1.92993  1.93267  1.92873
  A5     A(11,1,20)  1.91713  1.92303  1.93015
  A6     A(19,1,20)  1.92129  1.91785  1.95356
  A7       A(1,2,3)  2.19825  2.19299  2.24751
  A8       A(1,2,9)  2.19746  2.19734  2.13533
  A9       A(3,2,9)  1.88747  1.89259  1.89987
 A10       A(2,3,4)  2.10543  2.10832  2.10777
 A11       A(2,3,5)  1.92366  1.91704  1.91282
 A12       A(4,3,5)  2.25408  2.25779  2.26260
 A13       A(3,5,6)  2.19443  2.18740  2.19083
 A14       A(3,5,7)  1.86142  1.86834  1.86810
 A15       A(6,5,7)  2.22726  2.22733  2.22423
 A16       A(5,7,8)  2.22528  2.22598  2.21951
 A17       A(5,7,9)  1.86777  1.86839  1.86945
 A18       A(8,7,9)  2.18994  2.18812  2.19341
 A19       A(2,9,7)  1.88442  1.87840  1.87414
 A20      A(2,9,10)  2.11017  2.12152  2.09086
 A21      A(7,9,10)  2.28668  2.28011  2.31259
 A22     A(9,10,18)  2.09847  2.05418  1.94602
 A23     A(9,10,21)  2.08970  2.10021  2.16682
