From fa scan:
Fixed   = D(9,10,21,22), S, 50, 1.0000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.645338 -1116.552254 -46.0572  -44.68460
-1116.645237 -1116.552248 -45.0573  -44.06610
-1116.645109 -1116.552230 -44.0573  -43.44125
-1116.644976 -1116.552198 -43.0573  -42.84890
-1116.644824 -1116.552154 -42.0573  -42.25695
-1116.644655 -1116.552095 -41.0573  -41.66950
-1116.644469 -1116.552023 -40.0573  -41.08350
-1116.644264 -1116.551938 -39.0573  -40.49695
-1116.644039 -1116.551838 -38.0573  -39.91075
-1116.643796 -1116.551725 -37.0573  -39.32455
-1116.643533 -1116.551598 -36.0573  -38.73910
-1116.643253 -1116.551457 -35.0573  -38.15785
-1116.642955 -1116.551301 -34.0573  -37.58310
-1116.642640 -1116.551131 -33.0573  -37.01385
-1116.642307 -1116.550945 -32.0573  -36.44775
-1116.641957 -1116.550745 -31.0573  -35.88540
-1116.641589 -1116.550529 -30.0573  -35.32580
-1116.641202 -1116.550298 -29.0573  -34.76525
-1116.640796 -1116.550051 -28.0573  -34.20320
-1116.640373 -1116.549789 -27.0573  -33.64275
-1116.639932 -1116.549511 -26.0573  -33.08500
-1116.639474 -1116.549218 -25.0573  -32.52815
-1116.638998 -1116.548909 -24.0573  -31.97225
-1116.638505 -1116.548584 -23.0573  -31.42090
-1116.637994 -1116.548243 -22.0573  -30.86895
-1116.637465 -1116.547886 -21.0573  -30.31635
-1116.636916 -1116.547513 -20.0573  -29.75955
-1116.636348 -1116.547124 -19.0573  -29.19770
-1116.635760 -1116.546719 -18.0573  -28.63170
-1116.635152 -1116.546298 -17.0573  -28.05955
-1116.634492 -1116.545862 -16.0574  -27.42390
-1116.616735 -1116.549902 -15.0572   -7.80175
-1116.616724 -1116.549965 -14.0573   -7.02470
-1116.616697 -1116.550020 -13.0574   -6.18745
-1116.616717 -1116.550069 -12.0574   -5.39025
-1116.616734 -1116.550110 -11.0574   -4.60035
-1116.616747 -1116.550143 -10.0574   -3.81700
-1116.616760 -1116.550170  -9.0574   -3.03510
-1116.616768 -1116.550189  -8.0574   -2.23755
-1116.616772 -1116.550203  -7.0574   -1.42315
-1116.616786 -1116.550210  -6.0574   -0.60630
-1116.616813 -1116.550212  -5.0574    0.20775
-1116.616854 -1116.550209  -4.0574    1.01230
-1116.616908 -1116.550199  -3.0574    1.80945
-1116.616973 -1116.550184  -2.0574    2.59880
-1116.617049 -1116.550162  -1.0574    3.37075
-1116.617127 -1116.550134  -0.0574    4.12505
-1116.617206 -1116.550099   0.9426    4.86825
-1116.617288 -1116.550057   1.9426    5.60815
-1116.617375 -1116.550008   2.9426    6.35165
-1116.617467 -1116.549953   3.9427    7.10315

From fb scan:
Fixed   = D(9,10,21,22), S, 50, -1.000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.645669 -1116.552233 -45.1001  -45.81315
-1116.645509 -1116.552248 -44.1000  -45.17380
-1116.645336 -1116.552251 -43.1000  -44.54510
-1116.645147 -1116.552242 -42.1000  -43.92735
-1116.644941 -1116.552221 -41.1000  -43.31915
-1116.644713 -1116.552188 -40.1000  -42.71755
-1116.644461 -1116.552142 -39.1000  -42.12015
-1116.644181 -1116.552084 -38.1001  -41.51945
-1116.643875 -1116.552013 -37.1001  -40.92350
-1116.643544 -1116.551930 -36.1001  -40.32805
-1116.643194 -1116.551835 -35.1001  -39.73055
-1116.642825 -1116.551727 -34.1001  -39.13360
-1116.642439 -1116.551608 -33.1000  -38.53220
-1116.642047 -1116.551476 -32.1001  -37.92630
-1116.641631 -1116.551332 -31.1000  -37.32705
-1116.641198 -1116.551176 -30.1000  -36.72595
-1116.640739 -1116.551007 -29.1001  -36.11460
-1116.640256 -1116.550827 -28.1001  -35.50180
-1116.639743 -1116.550635 -27.1001  -34.88250
-1116.639192 -1116.550432 -26.1001  -34.25860
-1116.638599 -1116.550219 -25.1002  -33.62255
-1116.637963 -1116.549995 -24.1001  -32.98610
-1116.637307 -1116.549762 -23.1001  -32.32245
-1116.636598 -1116.549521 -22.1002  -31.64185
-1116.635857 -1116.549272 -21.1003  -30.94335
-1116.623387 -1116.548695 -20.1001  -22.45920
-1116.621972 -1116.548750 -19.1002  -20.75120
-1116.621227 -1116.548825 -18.1001  -19.55535
-1116.620746 -1116.548906 -17.1002  -18.56650
-1116.620261 -1116.548991 -16.1001  -17.55520
-1116.619829 -1116.549079 -15.1001  -16.57660
-1116.619473 -1116.549168 -14.1001  -15.65190
-1116.619170 -1116.549257 -13.1001  -14.75280
-1116.618893 -1116.549345 -12.1001  -13.87145
-1116.618615 -1116.549432 -11.1000  -12.98725
-1116.618432 -1116.549517 -10.1000  -12.15985
-1116.618270 -1116.549598  -9.1000  -11.33810
-1116.618127 -1116.549675  -8.1000  -10.53145
-1116.617991 -1116.549748  -7.1000   -9.72480
-1116.617852 -1116.549817  -6.1000   -8.90000
-1116.617702 -1116.549883  -5.1000   -8.06915
-1116.617586 -1116.549944  -4.1000   -7.24505
-1116.617489 -1116.550001  -3.1000   -6.44950
-1116.617418 -1116.550052  -2.1000   -5.65700
-1116.617353 -1116.550098  -1.1000   -4.86935
-1116.617282 -1116.550138  -0.1000   -4.09340
-1116.617212 -1116.550171   0.9000   -3.33900
-1116.617163 -1116.550198   1.9000   -2.59285
-1116.617111 -1116.550216   2.9000   -1.85930
-1116.617056 -1116.550227   3.8999   -1.12445
-1116.617007 -1116.550231   4.8999   -0.36235
