optS0 = -1116.64879877
tdS0  = -1116.54289073
optS1 = -1116.55303255
optR1 = -1116.55087774

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.5540        1.5448        1.5522
  R2        R(1,11)        1.5548        1.5471        1.5520
  R3        R(1,19)        1.3932        1.3926        1.3929
  R4        R(1,20)        1.3959        1.3986        1.3855
  R5         R(2,3)        1.3372        1.3370        1.3333
  R6         R(2,9)        1.3889        1.4007        1.3989
  R7         R(3,4)        1.0879        1.0881        1.0877
  R8         R(3,5)        1.4106        1.4223        1.4208
  R9         R(5,6)        1.0852        1.0862        1.0860
 R10         R(5,7)        1.3879        1.3853        1.3869
 R11         R(7,8)        1.0865        1.0856        1.0854
 R12         R(7,9)        1.4195        1.4283        1.4248
 R13        R(9,10)        1.4021        1.4245        1.4423
 R14       R(10,18)        1.4021        1.4235        1.4423
 R15       R(10,21)        1.4816        1.4656        1.4425
 R16       R(11,12)        1.3372        1.3370        1.3334
 R17       R(11,18)        1.3892        1.4031        1.3987
 R18       R(12,13)        1.0879        1.0882        1.0877
 R19       R(12,14)        1.4104        1.4217        1.4208
 R20       R(14,15)        1.0853        1.0862        1.0861
 R21       R(14,16)        1.3879        1.3855        1.3869
 R22       R(16,17)        1.0864        1.0849        1.0855
 R23       R(16,18)        1.4195        1.4287        1.4249
 R24       R(21,22)        1.4025        1.4095        1.4181
 R25       R(21,29)        1.4024        1.4089        1.4182
 R26       R(22,23)        1.0899        1.0902        1.0872
 R27       R(22,24)        1.3903        1.3871        1.3837
 R28       R(24,25)        1.0877        1.0879        1.0878
 R29       R(24,26)        1.3896        1.3924        1.3938
 R30       R(26,27)        1.3896        1.3917        1.3938
 R31       R(26,31)        1.4751        1.4665        1.4619
 R32       R(27,28)        1.0877        1.0879        1.0878
 R33       R(27,29)        1.3903        1.3877        1.3836
 R34       R(29,30)        1.0899        1.0895        1.0874
 R35       R(31,32)        1.2129        1.2153        1.2163
 R36       R(31,33)        1.2129        1.2153        1.2163
  A1      A(2,1,11)      105.7831      104.7778      102.4003
  A2      A(2,1,19)      110.2655      110.5823      110.4907
  A3      A(2,1,20)      110.2488      110.6313      110.5825
