optS0 = -1116.64879877
tdS0 = -1116.54289073
optS1 = -1116.55303255
optR1 = -1116.55087774

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93663  2.91928  2.93332
  R2        R(1,11)  2.93813  2.92364  2.93283
  R3        R(1,19)  2.63282  2.63170  2.63221
  R4        R(1,20)  2.63790  2.64289  2.61827
  R5         R(2,3)  2.52691  2.52656  2.51961
  R6         R(2,9)  2.62460  2.64687  2.64355
  R7         R(3,4)  2.05581  2.05630  2.05537
  R8         R(3,5)  2.66558  2.68782  2.68486
  R9         R(5,6)  2.05081  2.05255  2.05230
 R10         R(5,7)  2.62276  2.61786  2.62078
 R11         R(7,8)  2.05316  2.05152  2.05103
 R12         R(7,9)  2.68247  2.69911  2.69256
 R13        R(9,10)  2.64967  2.69189  2.72557
 R14       R(10,18)  2.64965  2.69002  2.72562
 R15       R(10,21)  2.79981  2.76967  2.72598
 R16       R(11,12)  2.52694  2.52661  2.51975
 R17       R(11,18)  2.62518  2.65149  2.64315
 R18       R(12,13)  2.05586  2.05645  2.05543
 R19       R(12,14)  2.66536  2.68653  2.68486
 R20       R(14,15)  2.05083  2.05255  2.05234
 R21       R(14,16)  2.62283  2.61815  2.62087
 R22       R(16,17)  2.05304  2.05019  2.05133
 R23       R(16,18)  2.68246  2.69994  2.69262
 R24       R(21,22)  2.65036  2.66348  2.67981
 R25       R(21,29)  2.65020  2.66240  2.68002
 R26       R(22,23)  2.05968  2.06012  2.05460
 R27       R(22,24)  2.62724  2.62130  2.61473
 R28       R(24,25)  2.05554  2.05576  2.05566
 R29       R(24,26)  2.62593  2.63124  2.63391
 R30       R(26,27)  2.62587  2.62996  2.63389
 R31       R(26,31)  2.78759  2.77126  2.76252
 R32       R(27,28)  2.05554  2.05577  2.05570
 R33       R(27,29)  2.62724  2.62241  2.61471
 R34       R(29,30)  2.05953  2.05890  2.05486
 R35       R(31,32)  2.29201  2.29650  2.29854
 R36       R(31,33)  2.29202  2.29654  2.29851
  A1      A(2,1,11)  1.84626  1.82872  1.78722
  A2      A(2,1,19)  1.92450  1.93003  1.92843
  A3      A(2,1,20)  1.92420  1.93088  1.93003
  A4     A(11,1,19)  1.93002  1.93278  1.92871
  A5     A(11,1,20)  1.91730  1.92312  1.93039
  A6     A(19,1,20)  1.92043  1.91694  1.95258
  A7       A(1,2,3)  2.19841  2.19290  2.24737
  A8       A(1,2,9)  2.19737  2.19753  2.13547
  A9       A(3,2,9)  1.88741  1.89249  1.89989
 A10       A(2,3,4)  2.10561  2.10853  2.10796
 A11       A(2,3,5)  1.92366  1.91710  1.91283
 A12       A(4,3,5)  2.25390  2.25752  2.26239
 A13       A(3,5,6)  2.19442  2.18730  2.19075
