From fa scan:
Fixed   = D(9,10,21,22), S, 30, 1.0000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.640413 -1116.550296 -26.1292  -33.16525
-1116.639957 -1116.550003 -25.1294  -32.60010
-1116.639481 -1116.549694 -24.1293  -32.04845
-1116.638991 -1116.549370 -23.1293  -31.50480
-1116.638481 -1116.549029 -22.1293  -30.95145
-1116.637954 -1116.548673 -21.1293  -30.39925
-1116.637408 -1116.548300 -20.1293  -29.84605
-1116.636843 -1116.547912 -19.1293  -29.28815
-1116.636259 -1116.547507 -18.1293  -28.72575
-1116.635658 -1116.547087 -17.1293  -28.16155
-1116.635037 -1116.546651 -16.1293  -27.59080
-1116.634397 -1116.546199 -15.1293  -27.01410
-1116.617336 -1116.550608 -14.1292   -7.07440
-1116.617312 -1116.550664 -13.1293   -6.27545
-1116.617323 -1116.550712 -12.1293   -5.47755
-1116.617329 -1116.550753 -11.1294   -4.68565
-1116.617328 -1116.550787 -10.1294   -3.89945
-1116.617340 -1116.550814  -9.1294   -3.11720
-1116.617352 -1116.550834  -8.1294   -2.31910
-1116.617356 -1116.550847  -7.1294   -1.49780
-1116.617370 -1116.550855  -6.1294   -0.67625
-1116.617396 -1116.550858  -5.1293    0.14100
-1116.617434 -1116.550854  -4.1293    0.94880
-1116.617486 -1116.550845  -3.1293    1.74955
-1116.617550 -1116.550831  -2.1293    2.54295
-1116.617626 -1116.550810  -1.1293    3.31720
-1116.617703 -1116.550783  -0.1293    4.07365
-1116.617780 -1116.550749   0.8707    4.82070
-1116.617863 -1116.550708   1.8707    5.56380
-1116.617953 -1116.550661   2.8707    6.30985
-1116.618047 -1116.550606   3.8707    7.06485

From fb scan:
Fixed   = D(9,10,21,22), S, 50, -1.000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.646109 -1116.553011 -45.1297  -45.85100
-1116.645943 -1116.553025 -44.1297  -45.21470
-1116.645771 -1116.553028 -43.1297  -44.58785
-1116.645584 -1116.553019 -42.1297  -43.97145
-1116.645381 -1116.552998 -41.1297  -43.36555
-1116.645159 -1116.552964 -40.1297  -42.76700
-1116.644916 -1116.552917 -39.1297  -42.17320
-1116.644645 -1116.552857 -38.1297  -41.57385
-1116.644346 -1116.552785 -37.1297  -40.98270
-1116.644019 -1116.552700 -36.1297  -40.38255
-1116.643665 -1116.552603 -35.1297  -39.78370
-1116.643297 -1116.552494 -34.1297  -39.18545
-1116.642912 -1116.552374 -33.1297  -38.57680
-1116.642514 -1116.552241 -32.1297  -37.97440
-1116.642096 -1116.552095 -31.1297  -37.37470
-1116.641658 -1116.551938 -30.1297  -36.77190
-1116.641208 -1116.551769 -29.1297  -36.16615
-1116.640728 -1116.551587 -28.1297  -35.55060
-1116.640216 -1116.551394 -27.1297  -34.93395
-1116.639676 -1116.551190 -26.1297  -34.31070
-1116.639087 -1116.550975 -25.1298  -33.67895
-1116.638441 -1116.550750 -24.1297  -33.02500
-1116.637787 -1116.550516 -23.1297  -32.37225
-1116.637087 -1116.550273 -22.1298  -31.69445
-1116.636327 -1116.550023 -21.1299  -30.97920
-1116.624402 -1116.549386 -20.1297  -22.88535
-1116.622736 -1116.549431 -19.1298  -20.97735
-1116.621908 -1116.549500 -18.1297  -19.70840
-1116.621364 -1116.549578 -17.1298  -18.67385
-1116.620902 -1116.549660 -16.1297  -17.68020
-1116.620463 -1116.549744 -15.1297  -16.68015
-1116.620086 -1116.549830 -14.1297  -15.73270
-1116.619813 -1116.549917 -13.1297  -14.83540
-1116.619501 -1116.550003 -12.1297  -13.95180
-1116.619203 -1116.550088 -11.1297  -13.05720
-1116.619023 -1116.550171 -10.1296  -12.21695
-1116.618867 -1116.550251  -9.1296  -11.39565
-1116.618705 -1116.550327  -8.1296  -10.57965
-1116.618560 -1116.550399  -7.1296   -9.77545
-1116.618422 -1116.550467  -6.1296   -8.93875
-1116.618292 -1116.550532  -5.1296   -8.10320
-1116.618172 -1116.550592  -4.1296   -7.28235
-1116.618072 -1116.550649  -3.1296   -6.47940
-1116.617997 -1116.550700  -2.1296   -5.68575
-1116.617931 -1116.550745  -1.1296   -4.89530
-1116.617863 -1116.550785  -0.1296   -4.11660
-1116.617794 -1116.550818   0.8704   -3.35875
-1116.617738 -1116.550844   1.8703   -2.61225
-1116.617687 -1116.550863   2.8703   -1.87885
-1116.617632 -1116.550874   3.8703   -1.14295
-1116.617583 -1116.550878   4.8703   -0.37975
