optS0 = -1116.6489016
tdS0  = -1116.54285542
optS1 = -1116.55322977
optR1 = -1116.5510416

Name     Definition  -optS0_Value  -optS1_Value  -optR1_Value
  R1         R(1,2)        1.5539        1.5448        1.5522
  R2        R(1,11)        1.5547        1.5471        1.5519
  R3        R(1,19)        1.3933        1.3927        1.3930
  R4        R(1,20)        1.3960        1.3986        1.3856
  R5         R(2,3)        1.3372        1.3371        1.3334
  R6         R(2,9)        1.3889        1.4006        1.3989
  R7         R(3,4)        1.0879        1.0881        1.0877
  R8         R(3,5)        1.4105        1.4223        1.4208
  R9         R(5,6)        1.0852        1.0862        1.0860
 R10         R(5,7)        1.3879        1.3853        1.3868
 R11         R(7,8)        1.0865        1.0856        1.0854
 R12         R(7,9)        1.4195        1.4284        1.4249
 R13        R(9,10)        1.4022        1.4244        1.4423
 R14       R(10,18)        1.4021        1.4235        1.4423
 R15       R(10,21)        1.4816        1.4657        1.4426
 R16       R(11,12)        1.3372        1.3371        1.3334
 R17       R(11,18)        1.3892        1.4031        1.3987
 R18       R(12,13)        1.0879        1.0882        1.0877
 R19       R(12,14)        1.4104        1.4216        1.4208
 R20       R(14,15)        1.0853        1.0862        1.0861
 R21       R(14,16)        1.3880        1.3854        1.3869
 R22       R(16,17)        1.0864        1.0849        1.0855
 R23       R(16,18)        1.4195        1.4288        1.4249
 R24       R(21,22)        1.4025        1.4094        1.4181
 R25       R(21,29)        1.4024        1.4089        1.4182
 R26       R(22,23)        1.0899        1.0902        1.0872
 R27       R(22,24)        1.3903        1.3871        1.3837
 R28       R(24,25)        1.0877        1.0879        1.0878
 R29       R(24,26)        1.3896        1.3924        1.3938
 R30       R(26,27)        1.3896        1.3917        1.3938
 R31       R(26,31)        1.4751        1.4665        1.4618
 R32       R(27,28)        1.0877        1.0879        1.0878
 R33       R(27,29)        1.3903        1.3877        1.3837
 R34       R(29,30)        1.0899        1.0895        1.0874
 R35       R(31,32)        1.2129        1.2153        1.2164
 R36       R(31,33)        1.2129        1.2153        1.2163
  A1      A(2,1,11)      105.7890      104.7879      102.4101
  A2      A(2,1,19)      110.2670      110.5831      110.4905
  A3      A(2,1,20)      110.2508      110.6318      110.5859
  A4     A(11,1,19)      110.5832      110.7414      110.5070
  A5     A(11,1,20)      109.8555      110.1879      110.6068
  A6     A(19,1,20)      110.0203      109.8198      111.8606
  A7       A(1,2,3)      125.9617      125.6430      128.7629
  A8       A(1,2,9)      125.8985      125.9115      122.3556
  A9       A(3,2,9)      108.1396      108.4304      108.8563
 A10       A(2,3,4)      120.6449      120.8125      120.7799
 A11       A(2,3,5)      110.2174      109.8429      109.5976
 A12       A(4,3,5)      129.1366      129.3423      129.6223
 A13       A(3,5,6)      125.7305      125.3217      125.5199
 A14       A(3,5,7)      106.6537      107.0483      107.0350
 A15       A(6,5,7)      127.6119      127.6234      127.4437
 A16       A(5,7,8)      127.4952      127.5386      127.1497
 A17       A(5,7,9)      107.0178      107.0529      107.1198
 A18       A(8,7,9)      125.4764      125.3697      125.6825
 A19       A(2,9,7)      107.9697      107.6242      107.3682
 A20      A(2,9,10)      120.9055      121.5500      119.8009
 A21      A(7,9,10)      131.0167      130.6497      132.5148
 A22     A(9,10,18)      120.2253      117.7163      111.5628
 A23     A(9,10,21)      119.7373      120.3415      124.1232
 A24    A(18,10,21)      120.0345      121.8682      123.9993
 A25     A(1,11,12)      125.7482      124.8011      128.8049
 A26     A(1,11,18)      125.8555      126.0443      122.3151
 A27    A(12,11,18)      108.1268      108.4020      108.8516
 A28    A(11,12,13)      120.6467      120.8230      120.7894
 A29    A(11,12,14)      110.2306      109.8901      109.5995
 A30    A(13,12,14)      129.1206      129.2732      129.6108
 A31    A(12,14,15)      125.7512      125.3801      125.5200
 A32    A(12,14,16)      106.6528      107.0746      107.0328
 A33    A(15,14,16)      127.5953      127.5423      127.4459
 A34    A(14,16,17)      127.4431      127.2049      127.1734
 A35    A(14,16,18)      107.0214      107.0890      107.1120
 A36    A(17,16,18)      125.5340      125.7028      125.6673
 A37    A(10,18,11)      120.8342      120.9863      119.8607
 A38    A(10,18,16)      131.1979      131.4774      132.4422
 A39    A(11,18,16)      107.9648      107.5362      107.3803
 A40    A(10,21,22)      119.9362      120.0757      121.1748
 A41    A(10,21,29)      120.1080      121.1581      121.1004
 A42    A(22,21,29)      119.9555      118.7644      117.6362
 A43    A(21,22,23)      119.9189      119.6595      120.2135
 A44    A(21,22,24)      120.2672      120.9167      121.3337
 A45    A(23,22,24)      119.8020      119.3996      118.4274
 A46    A(22,24,25)      121.6206      121.5150      121.2431
 A47    A(22,24,26)      118.3231      118.5589      118.9047
 A48    A(25,24,26)      120.0563      119.9225      119.8490
 A49    A(24,26,27)      122.8583      122.2812      121.7881
 A50    A(24,26,31)      118.5593      118.8582      119.0932
 A51    A(27,26,31)      118.5824      118.8603      119.1020
 A52    A(26,27,28)      120.0669      119.9068      119.8525
 A53    A(26,27,29)      118.3180      118.6240      118.9051
 A54    A(28,27,29)      121.6148      121.4637      121.2390
 A55    A(21,29,27)      120.2749      120.8528      121.3318
 A56    A(21,29,30)      119.9180      119.8828      120.1844
 A57    A(27,29,30)      119.7923      119.2181      118.4560
 A58    A(26,31,32)      117.6236      117.8027      117.8641
 A59    A(26,31,33)      117.6488      117.8343      117.8815
 A60    A(32,31,33)      124.7277      124.3629      124.2543
  D1    D(11,1,2,3)     -173.0176     -164.8868      142.0666
  D2    D(11,1,2,9)        6.8100       16.6912      -35.8961
  D3    D(19,1,2,3)      -53.4219      -45.5202     -100.2126
  D4    D(19,1,2,9)      126.4057      136.0578       81.8247
  D5    D(20,1,2,3)       68.2614       76.3771       24.1877
  D6    D(20,1,2,9)     -111.9110     -102.0449     -153.7750
  D7   D(2,1,11,12)      178.5885      172.0030     -142.0149
  D8   D(2,1,11,18)       -8.0929      -19.1035       35.8204
  D9  D(19,1,11,12)       59.2011       52.7428      100.2760
 D10  D(19,1,11,18)     -127.4803     -138.3638      -81.8887
 D11  D(20,1,11,12)      -62.4285      -68.9615      -24.1509
 D12  D(20,1,11,18)      110.8900       99.9319      153.6844
 D13     D(1,2,3,4)        0.1680        2.1040        2.1390
 D14     D(1,2,3,5)      179.8243     -178.3885     -177.7101
 D15     D(9,2,3,4)     -179.6851     -179.2430     -179.6795
 D16     D(9,2,3,5)       -0.0288        0.2644        0.4713
 D17     D(1,2,9,7)     -179.5771      178.5930      177.0605
 D18    D(1,2,9,10)       -2.9608       -5.7480        2.7335
 D19     D(3,2,9,7)        0.2761       -0.0554       -1.2610
 D20    D(3,2,9,10)      176.8924      175.6036     -175.5880
 D21     D(2,3,5,6)     -179.5653     -179.4961     -179.8699
 D22     D(2,3,5,7)       -0.2337       -0.3762        0.5233
 D23     D(4,3,5,6)        0.0534       -0.0432        0.2984
 D24     D(4,3,5,7)      179.3851      179.0768     -179.3085
 D25     D(3,5,7,8)     -178.4614     -177.4855      176.3017
 D26     D(3,5,7,9)        0.3924        0.3281       -1.2752
 D27     D(6,5,7,8)        0.8537        1.6079       -3.2953
 D28     D(6,5,7,9)      179.7075      179.4216      179.1278
 D29     D(5,7,9,2)       -0.4178       -0.1772        1.5652
 D30    D(5,7,9,10)     -176.5693     -175.3002      174.8824
 D31     D(8,7,9,2)      178.4655      177.6968     -176.0571
 D32    D(8,7,9,10)        2.3140        2.5738       -2.7398
 D33   D(2,9,10,18)       -1.1018       -6.3242       35.0528
 D34   D(2,9,10,21)      179.5237      176.7462     -151.1764
 D35   D(7,9,10,18)      174.6309      168.2198     -137.5936
 D36   D(7,9,10,21)       -4.7436       -8.7098       36.1772
 D37  D(9,10,18,11)       -0.1336        4.0658      -35.1314
 D38  D(9,10,18,16)      179.1492     -175.7797      137.5089
 D39 D(21,10,18,11)      179.2391     -179.0544      151.0886
 D40 D(21,10,18,16)       -1.4782        1.1000      -36.2710
 D41  D(9,10,21,22)      -54.8610      -46.1475        4.8629
 D42  D(9,10,21,29)      124.9444      133.3511     -178.6397
 D43 D(18,10,21,22)      125.7633      137.0532      177.8715
 D44 D(18,10,21,29)      -54.4313      -43.4482       -5.6311
 D45  D(1,11,12,13)       -5.2620       -8.5578       -2.2721
 D46  D(1,11,12,14)      174.2559      170.2153      177.5630
 D47 D(18,11,12,13)     -179.5675     -179.1099      179.6610
 D48 D(18,11,12,14)       -0.0495       -0.3368       -0.5040
 D49  D(1,11,18,10)        5.5319       10.4968       -2.6057
 D50  D(1,11,18,16)     -173.9008     -169.6246     -176.9211
 D51 D(12,11,18,10)      179.8296     -179.0995      175.6119
 D52 D(12,11,18,16)        0.3970        0.7792        1.2965
 D53 D(11,12,14,15)      179.9661     -179.6592      179.8800
 D54 D(11,12,14,16)       -0.3227       -0.2497       -0.5063
 D55 D(13,12,14,15)       -0.5685       -1.0202       -0.3039
 D56 D(13,12,14,16)      179.1427      178.3893      179.3098
 D57 D(12,14,16,17)     -179.0114     -178.6485     -176.3150
 D58 D(12,14,16,18)        0.5515        0.7172        1.2803
