optS0 = -1116.6489016
tdS0 = -1116.54285542
optS1 = -1116.55322977
optR1 = -1116.5510416

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93649  2.91920  2.93318
  R2        R(1,11)  2.93798  2.92353  2.93268
  R3        R(1,19)  2.63297  2.63183  2.63241
  R4        R(1,20)  2.63805  2.64305  2.61835
  R5         R(2,3)  2.52698  2.52667  2.51967
  R6         R(2,9)  2.62463  2.64682  2.64355
  R7         R(3,4)  2.05581  2.05630  2.05537
  R8         R(3,5)  2.66554  2.68779  2.68487
  R9         R(5,6)  2.05081  2.05255  2.05230
 R10         R(5,7)  2.62279  2.61782  2.62073
 R11         R(7,8)  2.05316  2.05152  2.05102
 R12         R(7,9)  2.68244  2.69921  2.69267
 R13        R(9,10)  2.64968  2.69182  2.72551
 R14       R(10,18)  2.64966  2.68997  2.72556
 R15       R(10,21)  2.79980  2.76978  2.72618
 R16       R(11,12)  2.52700  2.52671  2.51981
 R17       R(11,18)  2.62521  2.65142  2.64314
 R18       R(12,13)  2.05586  2.05646  2.05543
 R19       R(12,14)  2.66531  2.68652  2.68486
 R20       R(14,15)  2.05083  2.05256  2.05234
 R21       R(14,16)  2.62285  2.61811  2.62081
 R22       R(16,17)  2.05305  2.05020  2.05132
 R23       R(16,18)  2.68243  2.70004  2.69273
 R24       R(21,22)  2.65037  2.66344  2.67977
 R25       R(21,29)  2.65020  2.66236  2.67998
 R26       R(22,23)  2.05968  2.06012  2.05458
 R27       R(22,24)  2.62723  2.62131  2.61475
 R28       R(24,25)  2.05554  2.05576  2.05565
 R29       R(24,26)  2.62594  2.63124  2.63390
 R30       R(26,27)  2.62588  2.62996  2.63387
 R31       R(26,31)  2.78754  2.77123  2.76246
 R32       R(27,28)  2.05554  2.05577  2.05570
 R33       R(27,29)  2.62724  2.62242  2.61473
 R34       R(29,30)  2.05952  2.05890  2.05484
 R35       R(31,32)  2.29204  2.29652  2.29857
 R36       R(31,33)  2.29204  2.29656  2.29853
  A1      A(2,1,11)  1.84637  1.82889  1.78739
  A2      A(2,1,19)  1.92452  1.93004  1.92842
  A3      A(2,1,20)  1.92424  1.93089  1.93009
  A4     A(11,1,19)  1.93004  1.93280  1.92871
  A5     A(11,1,20)  1.91734  1.92314  1.93045
  A6     A(19,1,20)  1.92022  1.91672  1.95234
  A7       A(1,2,3)  2.19845  2.19289  2.24734
  A8       A(1,2,9)  2.19734  2.19757  2.13551
  A9       A(3,2,9)  1.88739  1.89247  1.89990
 A10       A(2,3,4)  2.10565  2.10858  2.10801
 A11       A(2,3,5)  1.92366  1.91712  1.91284
 A12       A(4,3,5)  2.25386  2.25745  2.26234
 A13       A(3,5,6)  2.19441  2.18728  2.19074
 A14       A(3,5,7)  1.86146  1.86835  1.86811
 A15       A(6,5,7)  2.22725  2.22745  2.22431
 A16       A(5,7,8)  2.22521  2.22597  2.21918
 A17       A(5,7,9)  1.86781  1.86843  1.86959
 A18       A(8,7,9)  2.18998  2.18811  2.19357
 A19       A(2,9,7)  1.88443  1.87840  1.87393
 A20      A(2,9,10)  2.11020  2.12145  2.09092
 A21      A(7,9,10)  2.28667  2.28027  2.31282
 A22     A(9,10,18)  2.09833  2.05454  1.94714
 A23     A(9,10,21)  2.08981  2.10035  2.16636
 A24    A(18,10,21)  2.09500  2.12700  2.16420
 A25     A(1,11,12)  2.19472  2.17819  2.24807
 A26     A(1,11,18)  2.19659  2.19989  2.13480
 A27    A(12,11,18)  1.88717  1.89197  1.89982
 A28    A(11,12,13)  2.10568  2.10876  2.10817
 A29    A(11,12,14)  1.92389  1.91794  1.91287
 A30    A(13,12,14)  2.25358  2.25624  2.26214
 A31    A(12,14,15)  2.19477  2.18829  2.19074
 A32    A(12,14,16)  1.86144  1.86880  1.86808
 A33    A(15,14,16)  2.22696  2.22603  2.22435
 A34    A(14,16,17)  2.22430  2.22014  2.21959
 A35    A(14,16,18)  1.86788  1.86906  1.86946
 A36    A(17,16,18)  2.19098  2.19393  2.19331
 A37    A(10,18,11)  2.10895  2.11161  2.09196
 A38    A(10,18,16)  2.28984  2.29471  2.31155
 A39    A(11,18,16)  1.88434  1.87686  1.87414
 A40    A(10,21,22)  2.09328  2.09572  2.11490
 A41    A(10,21,29)  2.09628  2.11461  2.11360
 A42    A(22,21,29)  2.09362  2.07283  2.05314
 A43    A(21,22,23)  2.09298  2.08845  2.09812
 A44    A(21,22,24)  2.09906  2.11039  2.11767
 A45    A(23,22,24)  2.09094  2.08392  2.06695
 A46    A(22,24,25)  2.12268  2.12084  2.11609
 A47    A(22,24,26)  2.06513  2.06924  2.07528
 A48    A(25,24,26)  2.09538  2.09304  2.09176
 A49    A(24,26,27)  2.14428  2.13421  2.12560
 A50    A(24,26,31)  2.06925  2.07447  2.07857
 A51    A(27,26,31)  2.06965  2.07450  2.07872
 A52    A(26,27,28)  2.09556  2.09277  2.09182
 A53    A(26,27,29)  2.06504  2.07038  2.07528
 A54    A(28,27,29)  2.12258  2.11994  2.11602
 A55    A(21,29,27)  2.09919  2.10928  2.11764
 A56    A(21,29,30)  2.09296  2.09235  2.09761
 A57    A(27,29,30)  2.09077  2.08075  2.06745
 A58    A(26,31,32)  2.05292  2.05605  2.05712
 A59    A(26,31,33)  2.05336  2.05660  2.05742
 A60    A(32,31,33)  2.17691  2.17054  2.16865
  D1    D(11,1,2,3) -3.01974 -2.87782  2.47952
  D2    D(11,1,2,9)  0.11884  0.29133 -0.62651
  D3    D(19,1,2,3) -0.93240 -0.79448 -1.74905
  D4    D(19,1,2,9)  2.20618  2.37467  1.42811
  D5    D(20,1,2,3)  1.19137  1.33303  0.42214
  D6    D(20,1,2,9) -1.95323 -1.78100 -2.68388
  D7   D(2,1,11,12)  3.11697  3.00201 -2.47862
  D8   D(2,1,11,18) -0.14123 -0.33342  0.62519
  D9  D(19,1,11,12)  1.03327  0.92052  1.75016
 D10  D(19,1,11,18) -2.22493 -2.41491 -1.42922
 D11  D(20,1,11,12) -1.08957 -1.20362 -0.42150
 D12  D(20,1,11,18)  1.93542  1.74414  2.68230
 D13     D(1,2,3,4)  0.00293  0.03674  0.03734
 D14     D(1,2,3,5)  3.13852 -3.11345 -3.10163
 D15     D(9,2,3,4) -3.13610 -3.12838 -3.13600
 D16     D(9,2,3,5) -0.00050  0.00461  0.00822
 D17     D(1,2,9,7) -3.13421  3.11702  3.09029
 D18    D(1,2,9,10) -0.05167 -0.10034  0.04771
 D19     D(3,2,9,7)  0.00482 -0.00096 -0.02200
 D20    D(3,2,9,10)  3.08736  3.06486 -3.06458
 D21     D(2,3,5,6) -3.13401 -3.13280 -3.13932
 D22     D(2,3,5,7) -0.00408 -0.00656  0.00914
 D23     D(4,3,5,6)  0.00093 -0.00075  0.00521
 D24     D(4,3,5,7)  3.13086  3.12548 -3.12952
 D25     D(3,5,7,8) -3.11474 -3.09770  3.07704
 D26     D(3,5,7,9)  0.00685  0.00573 -0.02226
 D27     D(6,5,7,8)  0.01490  0.02807 -0.05751
 D28     D(6,5,7,9)  3.13649  3.13150  3.12637
 D29     D(5,7,9,2) -0.00729 -0.00309  0.02732
 D30    D(5,7,9,10) -3.08172 -3.05956  3.05227
 D31     D(8,7,9,2)  3.11481  3.10139 -3.07278
 D32    D(8,7,9,10)  0.04038  0.04493 -0.04782
 D33   D(2,9,10,18) -0.01923 -0.11037  0.61179
 D34   D(2,9,10,21)  3.13328  3.08482 -2.63852
 D35   D(7,9,10,18)  3.04789  2.93599 -2.40146
 D36   D(7,9,10,21) -0.08279 -0.15201  0.63141
 D37  D(9,10,18,11) -0.00233  0.07096 -0.61316
 D38  D(9,10,18,16)  3.12674 -3.06793  2.39998
