From fa scan:
Fixed   = D(9,10,21,22), S, 50, 1.0000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.645912 -1116.553230 -46.1476  -44.79790
-1116.645811 -1116.553224 -45.1476  -44.17695
-1116.645681 -1116.553206 -44.1476  -43.56490
-1116.645540 -1116.553175 -43.1477  -42.94715
-1116.645391 -1116.553130 -42.1477  -42.35020
-1116.645227 -1116.553072 -41.1477  -41.76680
-1116.645045 -1116.553001 -40.1477  -41.18830
-1116.644845 -1116.552915 -39.1476  -40.60625
-1116.644625 -1116.552816 -38.1477  -40.01840
-1116.644386 -1116.552703 -37.1477  -39.43150
-1116.644129 -1116.552576 -36.1477  -38.85730
-1116.643849 -1116.552435 -35.1476  -38.25805
-1116.643555 -1116.552280 -34.1476  -37.70135
-1116.643241 -1116.552110 -33.1476  -37.13220
-1116.642908 -1116.551925 -32.1476  -36.56420
-1116.642558 -1116.551725 -31.1476  -35.99850
-1116.642190 -1116.551510 -30.1476  -35.43655
-1116.641804 -1116.551279 -29.1476  -34.87510
-1116.641399 -1116.551033 -28.1476  -34.31135
-1116.640976 -1116.550771 -27.1476  -33.74785
-1116.640535 -1116.550494 -26.1476  -33.18740
-1116.640078 -1116.550202 -25.1476  -32.63020
-1116.639603 -1116.549893 -24.1476  -32.07390
-1116.639111 -1116.549569 -23.1476  -31.51940
-1116.638602 -1116.549229 -22.1476  -30.96950
-1116.638076 -1116.548872 -21.1476  -30.41970
-1116.637531 -1116.548500 -20.1476  -29.86615
-1116.636967 -1116.548112 -19.1476  -29.31105
-1116.636385 -1116.547707 -18.1476  -28.74910
-1116.635784 -1116.547287 -17.1476  -28.18530
-1116.635164 -1116.546851 -16.1476  -27.61810
-1116.634525 -1116.546399 -15.1476  -27.04250
-1116.633867 -1116.545931 -14.1476  -26.45795
-1116.617462 -1116.550827 -13.1475   -6.28710
-1116.617478 -1116.550876 -12.1476   -5.49485
-1116.617465 -1116.550917 -11.1477   -4.70965
-1116.617476 -1116.550950 -10.1477   -3.92375
-1116.617489 -1116.550977  -9.1477   -3.13930
-1116.617499 -1116.550997  -8.1477   -2.33830
-1116.617504 -1116.551011  -7.1477   -1.51725
-1116.617515 -1116.551019  -6.1477   -0.69295
-1116.617538 -1116.551021  -5.1477    0.12615
-1116.617576 -1116.551018  -4.1477    0.93370
-1116.617628 -1116.551009  -3.1477    1.73420
-1116.617692 -1116.550995  -2.1477    2.52860
-1116.617767 -1116.550974  -1.1477    3.30455
-1116.617844 -1116.550947  -0.1477    4.06160
-1116.617923 -1116.550914   0.8523    4.80790
-1116.618006 -1116.550873   1.8523    5.55060
-1116.618095 -1116.550826   2.8523    6.29720
-1116.618190 -1116.550771   3.8523    7.05220

From fb scan:
Fixed   = D(9,10,21,22), S, 50, -1.000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.646228 -1116.553212 -45.1371  -45.86120
-1116.646068 -1116.553225 -44.1370  -45.22235
-1116.645896 -1116.553227 -43.1370  -44.59395
-1116.645708 -1116.553217 -42.1370  -43.97610
-1116.645503 -1116.553195 -41.1370  -43.36800
-1116.645278 -1116.553161 -40.1370  -42.76645
-1116.645030 -1116.553114 -39.1370  -42.16875
-1116.644756 -1116.553054 -38.1370  -41.57190
-1116.644454 -1116.552982 -37.1370  -40.97640
-1116.644125 -1116.552898 -36.1371  -40.38025
-1116.643774 -1116.552801 -35.1370  -39.78485
-1116.643410 -1116.552692 -34.1371  -39.18400
-1116.643028 -1116.552571 -33.1371  -38.58205
-1116.642632 -1116.552438 -32.1371  -37.97895
-1116.642216 -1116.552293 -31.1370  -37.37975
-1116.641786 -1116.552136 -30.1370  -36.77840
-1116.641336 -1116.551966 -29.1370  -36.17525
-1116.640856 -1116.551784 -28.1371  -35.55870
-1116.640351 -1116.551591 -27.1371  -34.94270
-1116.639812 -1116.551386 -26.1371  -34.31760
-1116.639238 -1116.551171 -25.1371  -33.69235
-1116.638609 -1116.550945 -24.1372  -33.04845
-1116.637948 -1116.550710 -23.1371  -32.39545
-1116.637248 -1116.550467 -22.1371  -31.71350
-1116.636495 -1116.550215 -21.1371  -31.01455
-1116.635746 -1116.549957 -20.1372  -30.31600
-1116.622949 -1116.549603 -19.1371  -21.04995
-1116.622074 -1116.549672 -18.1371  -19.74040
-1116.621522 -1116.549749 -17.1371  -18.68870
-1116.621072 -1116.549829 -16.1371  -17.70145
-1116.620623 -1116.549913 -15.1371  -16.70405
-1116.620244 -1116.549998 -14.1371  -15.75960
-1116.619941 -1116.550084 -13.1371  -14.86080
-1116.619658 -1116.550170 -12.1371  -13.97270
-1116.619361 -1116.550254 -11.1370  -13.06900
-1116.619171 -1116.550337 -10.1370  -12.23275
-1116.619005 -1116.550416  -9.1370  -11.40615
-1116.618859 -1116.550492  -8.1370  -10.59160
-1116.618725 -1116.550564  -7.1370   -9.78540
-1116.618589 -1116.550632  -6.1370   -8.96290
-1116.618436 -1116.550696  -5.1370   -8.12450
-1116.618316 -1116.550757  -4.1370   -7.29175
-1116.618216 -1116.550813  -3.1370   -6.48975
-1116.618145 -1116.550864  -2.1370   -5.69235
-1116.618079 -1116.550909  -1.1370   -4.90135
-1116.618005 -1116.550949  -0.1370   -4.12210
-1116.617933 -1116.550982   0.8630   -3.36625
-1116.617886 -1116.551008   1.8630   -2.61835
-1116.617832 -1116.551027   2.8630   -1.88210
-1116.617777 -1116.551038   3.8629   -1.14715
-1116.617729 -1116.551042   4.8629   -0.38410
