optS0 = -1116.64872811
tdS0 = -1116.54173084
optS1 = -1116.55289715
optR1 = -1116.55076524

Name     Definition     optS0     optS1     optR1
  R1         R(1,2)    1.5540    1.5448    1.5523
  R2        R(1,11)    1.5548    1.5472    1.5520
  R3        R(1,19)    1.3932    1.3926    1.3928
  R4        R(1,20)    1.3959    1.3985    1.3855
  R5         R(2,3)    1.3372    1.3370    1.3333
  R6         R(2,9)    1.3889    1.4007    1.3989
  R7         R(3,4)    1.0879    1.0881    1.0877
  R8         R(3,5)    1.4106    1.4223    1.4208
  R9         R(5,6)    1.0852    1.0862    1.0860
 R10         R(5,7)    1.3879    1.3853    1.3869
 R11         R(7,8)    1.0865    1.0856    1.0854
 R12         R(7,9)    1.4195    1.4283    1.4248
 R13        R(9,10)    1.4021    1.4245    1.4423
 R14       R(10,18)    1.4021    1.4235    1.4424
 R15       R(10,21)    1.4816    1.4656    1.4425
 R16       R(11,12)    1.3372    1.3370    1.3334
 R17       R(11,18)    1.3892    1.4031    1.3987
 R18       R(12,13)    1.0879    1.0882    1.0877
 R19       R(12,14)    1.4105    1.4217    1.4208
 R20       R(14,15)    1.0853    1.0862    1.0861
 R21       R(14,16)    1.3879    1.3855    1.3869
 R22       R(16,17)    1.0864    1.0849    1.0855
 R23       R(16,18)    1.4195    1.4287    1.4248
 R24       R(21,22)    1.4025    1.4095    1.4181
 R25       R(21,29)    1.4024    1.4089    1.4182
 R26       R(22,23)    1.0899    1.0902    1.0873
 R27       R(22,24)    1.3903    1.3871    1.3836
 R28       R(24,25)    1.0877    1.0879    1.0878
 R29       R(24,26)    1.3896    1.3924    1.3938
 R30       R(26,27)    1.3896    1.3917    1.3938
 R31       R(26,31)    1.4751    1.4665    1.4619
 R32       R(27,28)    1.0877    1.0879    1.0878
 R33       R(27,29)    1.3903    1.3877    1.3836
 R34       R(29,30)    1.0899    1.0895    1.0874
 R35       R(31,32)    1.2129    1.2152    1.2163
 R36       R(31,33)    1.2129    1.2153    1.2163
  A1      A(2,1,11)  105.7790  104.7708  102.3936
  A2      A(2,1,19)  110.2645  110.5818  110.4908
  A3      A(2,1,20)  110.2474  110.6310  110.5802
  A4     A(11,1,19)  110.5810  110.7389  110.5074
  A5     A(11,1,20)  109.8515  110.1858  110.6008
  A6     A(19,1,20)  110.0412  109.8417  111.8845
  A7       A(1,2,3)  125.9578  125.6448  128.7663
  A8       A(1,2,9)  125.9008  125.9072  122.3521
  A9       A(3,2,9)  108.1412  108.4327  108.8556
 A10       A(2,3,4)  120.6406  120.8075  120.7752
 A11       A(2,3,5)  110.2174  109.8413  109.5971
 A12       A(4,3,5)  129.1409  129.3489  129.6275
 A13       A(3,5,6)  125.7309  125.3242  125.5217
 A14       A(3,5,7)  106.6531  107.0481  107.0348
 A15       A(6,5,7)  127.6122  127.6210  127.4422
 A16       A(5,7,8)  127.4966  127.5388  127.1562
 A17       A(5,7,9)  107.0169  107.0522  107.1170
 A18       A(8,7,9)  125.4757  125.3699  125.6792
 A19       A(2,9,7)  107.9696  107.6243  107.3722
 A20      A(2,9,10)  120.9048  121.5514  119.7998
 A21      A(7,9,10)  131.0169  130.6467  132.5104
 A22     A(9,10,18)  120.2280  117.7094  111.5410
 A23     A(9,10,21)  119.7352  120.3386  124.1321
 A24    A(18,10,21)  120.0338  121.8772  124.0100
 A25     A(1,11,12)  125.7433  124.7955  128.8075
 A26     A(1,11,18)  125.8575  126.0418  122.3122
 A27    A(12,11,18)  108.1284  108.4042  108.8510
 A28    A(11,12,13)  120.6424  120.8174  120.7847
 A29    A(11,12,14)  110.2307  109.8888  109.5990
 A30    A(13,12,14)  129.1248  129.2799  129.6161
 A31    A(12,14,15)  125.7515  125.3826  125.5218
 A32    A(12,14,16)  106.6521  107.0749  107.0327
 A33    A(15,14,16)  127.5956  127.5395  127.4443
 A34    A(14,16,17)  127.4445  127.2026  127.1795
 A35    A(14,16,18)  107.0206  107.0885  107.1093
 A36    A(17,16,18)  125.5334  125.7056  125.6644
 A37    A(10,18,11)  120.8333  120.9823  119.8588
 A38    A(10,18,16)  131.1989  131.4821  132.4388
 A39    A(11,18,16)  107.9648  107.5355  107.3842
 A40    A(10,21,22)  119.9368  120.0744  121.1728
 A41    A(10,21,29)  120.1100  121.1639  121.1002
 A42    A(22,21,29)  119.9530  118.7597  117.6392
 A43    A(21,22,23)  119.9139  119.6549  120.2064
 A44    A(21,22,24)  120.2686  120.9184  121.3311
 A45    A(23,22,24)  119.8056  119.4023  118.4371
 A46    A(22,24,25)  121.6262  121.5198  121.2502
 A47    A(22,24,26)  118.3237  118.5607  118.9050
 A48    A(25,24,26)  120.0500  119.9159  119.8416
 A49    A(24,26,27)  122.8566  122.2784  121.7899
 A50    A(24,26,31)  118.5603  118.8598  119.0923
 A51    A(27,26,31)  118.5831  118.8614  119.1011
 A52    A(26,27,28)  120.0602  119.8996  119.8451
 A53    A(26,27,29)  118.3189  118.6263  118.9054
 A54    A(28,27,29)  121.6206  121.4686  121.2461
 A55    A(21,29,27)  120.2762  120.8542  121.3291
 A56    A(21,29,30)  119.9135  119.8798  120.1779
 A57    A(27,29,30)  119.7955  119.2193  118.4652
 A58    A(26,31,32)  117.6186  117.7978  117.8587
 A59    A(26,31,33)  117.6436  117.8293  117.8760
 A60    A(32,31,33)  124.7378  124.3730  124.2653
  D1    D(11,1,2,3) -172.9978 -164.8073  142.0133
  D2    D(11,1,2,9)    6.8456   16.7807  -35.9200
  D3    D(19,1,2,3)  -53.4119  -45.4542 -100.2742
  D4    D(19,1,2,9)  126.4314  136.1338   81.7925
  D5    D(20,1,2,3)   68.2937   76.4694   24.1529
  D6    D(20,1,2,9) -111.8630 -101.9427 -153.7804
  D7   D(2,1,11,12)  178.5691  171.9442 -141.9602
  D8   D(2,1,11,18)   -8.1277  -19.2055   35.8424
  D9  D(19,1,11,12)   59.1917   52.6967  100.3392
 D10  D(19,1,11,18) -127.5050 -138.4530  -81.8582
 D11  D(20,1,11,12)  -62.4600  -69.0321  -24.1144
 D12  D(20,1,11,18)  110.8433   99.8182  153.6882
 D13     D(1,2,3,4)    0.1816    2.1144    2.1640
 D14     D(1,2,3,5)  179.8378 -178.3779 -177.6861
 D15     D(9,2,3,4) -179.6849 -179.2413 -179.6808
 D16     D(9,2,3,5)   -0.0287    0.2664    0.4691
 D17     D(1,2,9,7) -179.5908  178.5834  177.0357
 D18    D(1,2,9,10)   -2.9821   -5.7756    2.7225
 D19     D(3,2,9,7)    0.2758   -0.0564   -1.2616
 D20    D(3,2,9,10)  176.8845  175.5846 -175.5749
 D21     D(2,3,5,6) -179.5634 -179.4975 -179.8570
 D22     D(2,3,5,7)   -0.2335   -0.3785    0.5275
 D23     D(4,3,5,6)    0.0553   -0.0442    0.3103
 D24     D(4,3,5,7)  179.3851  179.0748 -179.3053
 D25     D(3,5,7,8) -178.4577 -177.4762  176.3093
 D26     D(3,5,7,9)    0.3921    0.3298   -1.2797
 D27     D(6,5,7,8)    0.8556    1.6163   -3.2966
 D28     D(6,5,7,9)  179.7053  179.4223  179.1144
 D29     D(5,7,9,2)   -0.4174   -0.1776    1.5684
 D30    D(5,7,9,10) -176.5602 -175.2806  174.8698
 D31     D(8,7,9,2)  178.4620  177.6889 -176.0660
 D32    D(8,7,9,10)    2.3192    2.5859   -2.7646
 D33   D(2,9,10,18)   -1.1037   -6.3669   35.1013
 D34   D(2,9,10,21)  179.5251  176.7200 -151.1489
 D35   D(7,9,10,18)  174.6194  168.1546 -137.5279
 D36   D(7,9,10,21)   -4.7518   -8.7585   36.2219
 D37  D(9,10,18,11)   -0.1309    4.0973  -35.1818
 D38  D(9,10,18,16)  179.1592 -175.7352  137.4428
 D39 D(21,10,18,11)  179.2384 -179.0401  151.0594
 D40 D(21,10,18,16)   -1.4715    1.1274  -36.3160
 D41  D(9,10,21,22)  -54.8708  -46.1165    4.8754
 D42  D(9,10,21,29)  124.9337  133.3797 -178.6119
 D43 D(18,10,21,22)  125.7568  137.1019  177.8584
 D44 D(18,10,21,29)  -54.4387  -43.4019   -5.6289
 D45  D(1,11,12,13)   -5.2740   -8.5872   -2.2992
 D46  D(1,11,12,14)  174.2429  170.1768  177.5363
 D47 D(18,11,12,13) -179.5665 -179.1023  179.6631
 D48 D(18,11,12,14)   -0.0496   -0.3383   -0.5015
 D49  D(1,11,18,10)    5.5516   10.5477   -2.5909
 D50  D(1,11,18,16) -173.8869 -169.5839 -176.8937
 D51 D(12,11,18,10)  179.8359 -179.0865  175.5999
 D52 D(12,11,18,16)    0.3974    0.7819    1.2971
 D53 D(11,12,14,15)  179.9667 -179.6529  179.8667
 D54 D(11,12,14,16)   -0.3230   -0.2499   -0.5109
 D55 D(13,12,14,15)   -0.5692   -1.0243   -0.3168
 D56 D(13,12,14,16)  179.1412  178.3787  179.3057
 D57 D(12,14,16,17) -179.0095 -178.6421 -176.3214
 D58 D(12,14,16,18)    0.5521    0.7191    1.2850
 D59 D(15,14,16,17)    0.6937    0.7441    3.2916
 D60 D(15,14,16,18) -179.7446 -179.8948 -179.1020
 D61 D(14,16,18,10) -179.9523  178.9217 -174.8938
 D62 D(14,16,18,11)   -0.5931   -0.9277   -1.5930
 D63 D(17,16,18,10)   -0.3800   -1.7049    2.7589
 D64 D(17,16,18,11)  178.9792  178.4457  176.0596
 D65 D(10,21,22,23)   -1.1110   -1.7998    1.6019
 D66 D(10,21,22,24) -179.8558 -179.9913  179.7399
 D67 D(29,21,22,23)  179.0842  178.6920 -175.0275
 D68 D(29,21,22,24)    0.3394    0.5004    3.1104
 D69 D(10,21,29,27) -179.6287 -179.7714 -179.7230
 D70 D(10,21,29,30)   -1.0275   -2.2752   -1.6699
 D71 D(22,21,29,27)    0.1757   -0.2688   -3.0909
 D72 D(22,21,29,30)  178.7770  177.2275  174.9621
 D73 D(21,22,24,25)  179.3469  178.9924  179.9448
 D74 D(21,22,24,26)   -0.5241   -0.3154   -0.7115
 D75 D(23,22,24,25)    0.6008    0.7963   -1.8853
 D76 D(23,22,24,26) -179.2702 -178.5114  177.4585
 D77 D(22,24,26,27)    0.2108   -0.1088   -1.8666
 D78 D(22,24,26,31) -179.7525 -179.9029  179.6332
 D79 D(25,24,26,27) -179.6623 -179.4280  177.4866
 D80 D(25,24,26,31)    0.3744    0.7779   -1.0136
 D81 D(24,26,27,28) -179.5262 -178.8264 -177.4558
 D82 D(24,26,27,29)    0.2921    0.3339    1.8854
 D83 D(31,26,27,28)    0.4371    0.9677    1.0443
 D84 D(31,26,27,29) -179.7446 -179.8719 -179.6144
 D85 D(24,26,31,32)    0.0763    1.3384   -0.9543
