optS0 = -1116.64872811
tdS0 = -1116.54173084
optS1 = -1116.55289715
optR1 = -1116.55076524

Name     Definition    optS0    optS1    optR1
  R1         R(1,2)  2.93673  2.91934  2.93342
  R2        R(1,11)  2.93823  2.92371  2.93293
  R3        R(1,19)  2.63272  2.63161  2.63207
  R4        R(1,20)  2.63779  2.64279  2.61822
  R5         R(2,3)  2.52687  2.52648  2.51957
  R6         R(2,9)  2.62458  2.64691  2.64355
  R7         R(3,4)  2.05580  2.05629  2.05536
  R8         R(3,5)  2.66561  2.68783  2.68485
  R9         R(5,6)  2.05081  2.05255  2.05230
 R10         R(5,7)  2.62274  2.61789  2.62082
 R11         R(7,8)  2.05316  2.05152  2.05104
 R12         R(7,9)  2.68249  2.69903  2.69248
 R13        R(9,10)  2.64966  2.69194  2.72561
 R14       R(10,18)  2.64964  2.69005  2.72566
 R15       R(10,21)  2.79981  2.76960  2.72584
 R16       R(11,12)  2.52689  2.52653  2.51971
 R17       R(11,18)  2.62516  2.65155  2.64315
 R18       R(12,13)  2.05585  2.05645  2.05542
 R19       R(12,14)  2.66538  2.68654  2.68485
 R20       R(14,15)  2.05083  2.05255  2.05234
 R21       R(14,16)  2.62281  2.61818  2.62090
 R22       R(16,17)  2.05304  2.05018  2.05133
 R23       R(16,18)  2.68247  2.69987  2.69254
 R24       R(21,22)  2.65036  2.66351  2.67984
 R25       R(21,29)  2.65020  2.66243  2.68004
 R26       R(22,23)  2.05969  2.06013  2.05462
 R27       R(22,24)  2.62724  2.62128  2.61472
 R28       R(24,25)  2.05555  2.05577  2.05566
 R29       R(24,26)  2.62592  2.63125  2.63392
 R30       R(26,27)  2.62587  2.62996  2.63389
 R31       R(26,31)  2.78763  2.77127  2.76256
 R32       R(27,28)  2.05555  2.05577  2.05570
 R33       R(27,29)  2.62725  2.62240  2.61470
 R34       R(29,30)  2.05953  2.05890  2.05487
 R35       R(31,32)  2.29200  2.29649  2.29853
 R36       R(31,33)  2.29200  2.29653  2.29849
  A1      A(2,1,11)  1.84619  1.82860  1.78711
  A2      A(2,1,19)  1.92448  1.93002  1.92843
  A3      A(2,1,20)  1.92418  1.93087  1.92999
  A4     A(11,1,19)  1.93000  1.93276  1.92872
  A5     A(11,1,20)  1.91727  1.92310  1.93035
  A6     A(19,1,20)  1.92058  1.91710  1.95275
  A7       A(1,2,3)  2.19838  2.19292  2.24740
  A8       A(1,2,9)  2.19738  2.19749  2.13545
  A9       A(3,2,9)  1.88742  1.89251  1.89989
 A10       A(2,3,4)  2.10558  2.10849  2.10792
 A11       A(2,3,5)  1.92366  1.91709  1.91283
 A12       A(4,3,5)  2.25393  2.25756  2.26243
 A13       A(3,5,6)  2.19442  2.18732  2.19077
 A14       A(3,5,7)  1.86145  1.86834  1.86811
 A15       A(6,5,7)  2.22725  2.22741  2.22429
 A16       A(5,7,8)  2.22524  2.22597  2.21929
 A17       A(5,7,9)  1.86780  1.86841  1.86954
 A18       A(8,7,9)  2.18997  2.18812  2.19352
 A19       A(2,9,7)  1.88443  1.87840  1.87400
 A20      A(2,9,10)  2.11019  2.12147  2.09090
 A21      A(7,9,10)  2.28668  2.28021  2.31274
 A22     A(9,10,18)  2.09837  2.05442  1.94676
 A23     A(9,10,21)  2.08977  2.10030  2.16651
 A24    A(18,10,21)  2.09499  2.12716  2.16438
 A25     A(1,11,12)  2.19464  2.17809  2.24812
 A26     A(1,11,18)  2.19663  2.19984  2.13475
 A27    A(12,11,18)  1.88720  1.89201  1.89981
 A28    A(11,12,13)  2.10561  2.10866  2.10809
 A29    A(11,12,14)  1.92389  1.91792  1.91286
 A30    A(13,12,14)  2.25365  2.25636  2.26223
 A31    A(12,14,15)  2.19478  2.18834  2.19077
 A32    A(12,14,16)  1.86143  1.86881  1.86807
 A33    A(15,14,16)  2.22696  2.22598  2.22432
 A34    A(14,16,17)  2.22433  2.22010  2.21970
 A35    A(14,16,18)  1.86786  1.86905  1.86941
 A36    A(17,16,18)  2.19097  2.19398  2.19326
 A37    A(10,18,11)  2.10894  2.11154  2.09193
 A38    A(10,18,16)  2.28985  2.29480  2.31149
 A39    A(11,18,16)  1.88434  1.87685  1.87421
 A40    A(10,21,22)  2.09329  2.09569  2.11487
 A41    A(10,21,29)  2.09631  2.11471  2.11360
 A42    A(22,21,29)  2.09357  2.07275  2.05319
 A43    A(21,22,23)  2.09289  2.08837  2.09800
 A44    A(21,22,24)  2.09908  2.11042  2.11763
 A45    A(23,22,24)  2.09100  2.08396  2.06712
 A46    A(22,24,25)  2.12278  2.12092  2.11621
 A47    A(22,24,26)  2.06514  2.06928  2.07528
 A48    A(25,24,26)  2.09527  2.09293  2.09163
 A49    A(24,26,27)  2.14425  2.13416  2.12563
 A50    A(24,26,31)  2.06927  2.07450  2.07855
 A51    A(27,26,31)  2.06967  2.07452  2.07871
