From fa scan:
Fixed   = D(9,10,21,22), S, 50, 1.0000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.645717 -1116.552897 -46.1165  -44.75920
-1116.645616 -1116.552891 -45.1166  -44.14000
-1116.645485 -1116.552873 -44.1166  -43.52890
-1116.645344 -1116.552842 -43.1166  -42.91205
-1116.645195 -1116.552797 -42.1166  -42.31335
-1116.645030 -1116.552739 -41.1166  -41.72895
-1116.644847 -1116.552667 -40.1166  -41.15135
-1116.644647 -1116.552582 -39.1166  -40.57005
-1116.644426 -1116.552483 -38.1166  -39.98115
-1116.644188 -1116.552370 -37.1166  -39.40970
-1116.643928 -1116.552243 -36.1166  -38.81895
-1116.643650 -1116.552102 -35.1166  -38.23970
-1116.643354 -1116.551946 -34.1166  -37.66480
-1116.643040 -1116.551776 -33.1166  -37.09635
-1116.642707 -1116.551591 -32.1166  -36.52995
-1116.642357 -1116.551391 -31.1166  -35.96405
-1116.641988 -1116.551175 -30.1166  -35.40135
-1116.641600 -1116.550944 -29.1166  -34.83995
-1116.641194 -1116.550698 -28.1166  -34.27620
-1116.640771 -1116.550436 -27.1166  -33.71175
-1116.640329 -1116.550159 -26.1166  -33.15055
-1116.639871 -1116.549866 -25.1166  -32.59365
-1116.639396 -1116.549558 -24.1166  -32.03760
-1116.638904 -1116.549233 -23.1166  -31.48225
-1116.638394 -1116.548893 -22.1166  -30.93200
-1116.637867 -1116.548536 -21.1166  -30.38295
-1116.637321 -1116.548163 -20.1166  -29.82945
-1116.636756 -1116.547775 -19.1166  -29.27360
-1116.636174 -1116.547370 -18.1166  -28.70835
-1116.635571 -1116.546950 -17.1166  -28.14460
-1116.634950 -1116.546513 -16.1166  -27.57845
-1116.634309 -1116.546061 -15.1166  -26.99950
-1116.617223 -1116.550497 -14.1164   -7.06925
-1116.617228 -1116.550552 -13.1165   -6.24255
-1116.617210 -1116.550601 -12.1167   -5.46575
-1116.617222 -1116.550642 -11.1167   -4.67130
-1116.617234 -1116.550675 -10.1167   -3.88775
-1116.617246 -1116.550702  -9.1167   -3.10355
-1116.617255 -1116.550722  -8.1167   -2.30395
-1116.617261 -1116.550735  -7.1167   -1.48760
-1116.617273 -1116.550743  -6.1167   -0.66915
-1116.617298 -1116.550745  -5.1167    0.14625
-1116.617338 -1116.550742  -4.1167    0.95365
-1116.617391 -1116.550733  -3.1167    1.75590
-1116.617458 -1116.550718  -2.1167    2.54955
-1116.617535 -1116.550697  -1.1167    3.32485
-1116.617614 -1116.550670  -0.1167    4.08240
-1116.617692 -1116.550636   0.8833    4.83055
-1116.617775 -1116.550595   1.8833    5.57460
-1116.617863 -1116.550547   2.8833    6.32100
-1116.617957 -1116.550493   3.8833    7.07465

From fb scan:
Fixed   = D(9,10,21,22), S, 50, -1.000
Opposit = D(18,10,21,29)

          S0           S1  D_fixed  D_average
-1116.646039 -1116.552878 -45.1246  -45.84415
-1116.645877 -1116.552892 -44.1246  -45.20550
-1116.645705 -1116.552894 -43.1246  -44.57700
-1116.645517 -1116.552885 -42.1246  -43.95930
-1116.645312 -1116.552863 -41.1246  -43.35170
-1116.645086 -1116.552829 -40.1246  -42.75125
-1116.644837 -1116.552783 -39.1246  -42.15565
-1116.644560 -1116.552723 -38.1246  -41.56225
-1116.644258 -1116.552652 -37.1246  -40.95715
-1116.643926 -1116.552568 -36.1246  -40.36020
-1116.643579 -1116.552472 -35.1246  -39.76650
-1116.643211 -1116.552363 -34.1246  -39.16575
-1116.642830 -1116.552243 -33.1246  -38.56460
-1116.642433 -1116.552110 -32.1246  -37.96215
-1116.642017 -1116.551966 -31.1246  -37.36180
-1116.641586 -1116.551808 -30.1246  -36.76020
-1116.641135 -1116.551639 -29.1246  -36.15630
-1116.640654 -1116.551458 -28.1246  -35.54080
-1116.640140 -1116.551265 -27.1246  -34.92095
-1116.639602 -1116.551061 -26.1247  -34.29805
-1116.639020 -1116.550846 -25.1246  -33.67080
-1116.638386 -1116.550621 -24.1246  -33.02280
-1116.637729 -1116.550387 -23.1246  -32.36900
-1116.637026 -1116.550144 -22.1247  -31.68830
-1116.636287 -1116.549894 -21.1248  -30.99265
-1116.624155 -1116.549265 -20.1247  -22.75450
-1116.622598 -1116.549312 -19.1247  -20.93380
-1116.621792 -1116.549383 -18.1246  -19.68225
-1116.621253 -1116.549461 -17.1247  -18.65645
-1116.620790 -1116.549543 -16.1247  -17.65715
-1116.620352 -1116.549628 -15.1246  -16.66185
-1116.619980 -1116.549715 -14.1246  -15.71690
-1116.619689 -1116.549802 -13.1246  -14.80915
-1116.619398 -1116.549888 -12.1246  -13.94040
-1116.619101 -1116.549974 -11.1246  -13.04610
-1116.618922 -1116.550057 -10.1246  -12.20610
-1116.618766 -1116.550137  -9.1246  -11.38495
-1116.618600 -1116.550213  -8.1246  -10.57240
-1116.618457 -1116.550286  -7.1246   -9.77090
-1116.618323 -1116.550354  -6.1246   -8.92850
-1116.618195 -1116.550419  -5.1245   -8.09585
-1116.618068 -1116.550480  -4.1245   -7.27585
-1116.617968 -1116.550536  -3.1245   -6.47645
-1116.617898 -1116.550587  -2.1245   -5.68025
-1116.617833 -1116.550633  -1.1245   -4.89055
-1116.617760 -1116.550673  -0.1245   -4.11300
-1116.617689 -1116.550706   0.8755   -3.35850
-1116.617643 -1116.550732   1.8754   -2.61240
-1116.617588 -1116.550751   2.8754   -1.87250
-1116.617532 -1116.550762   3.8754   -1.13890
-1116.617483 -1116.550765   4.8754   -0.37680
