From fa scan:
Fixed   = ['D(9,10,21,22)', 'S', '50', '1.0000']
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.093084 -46.0572  -44.68460
0.000101 0.093091 -45.0573  -44.06610
0.000230 0.093109 -44.0573  -43.44125
0.000362 0.093140 -43.0573  -42.84890
0.000514 0.093185 -42.0573  -42.25695
0.000683 0.093243 -41.0573  -41.66950
0.000869 0.093315 -40.0573  -41.08350
0.001075 0.093401 -39.0573  -40.49695
0.001299 0.093500 -38.0573  -39.91075
0.001543 0.093613 -37.0573  -39.32455
0.001805 0.093741 -36.0573  -38.73910
0.002086 0.093882 -35.0573  -38.15785
0.002384 0.094037 -34.0573  -37.58310
0.002699 0.094208 -33.0573  -37.01385
0.003031 0.094393 -32.0573  -36.44775
0.003382 0.094594 -31.0573  -35.88540
0.003750 0.094810 -30.0573  -35.32580
0.004137 0.095041 -29.0573  -34.76525
0.004542 0.095287 -28.0573  -34.20320
0.004965 0.095549 -27.0573  -33.64275
0.005406 0.095827 -26.0573  -33.08500
0.005864 0.096120 -25.0573  -32.52815
0.006340 0.096429 -24.0573  -31.97225
0.006833 0.096754 -23.0573  -31.42090
0.007344 0.097095 -22.0573  -30.86895
0.007874 0.097452 -21.0573  -30.31635
0.008422 0.097825 -20.0573  -29.75955
0.008991 0.098214 -19.0573  -29.19770
0.009578 0.098619 -18.0573  -28.63170
0.010186 0.099040 -17.0573  -28.05955
0.010847 0.099477 -16.0574  -27.42390
0.028603 0.095436 -15.0572   -7.80175
0.028615 0.095374 -14.0573   -7.02470
0.028642 0.095318 -13.0574   -6.18745
0.028621 0.095270 -12.0574   -5.39025
0.028604 0.095229 -11.0574   -4.60035
0.028591 0.095195 -10.0574   -3.81700
0.028579 0.095169  -9.0574   -3.03510
0.028571 0.095149  -8.0574   -2.23755
0.028566 0.095136  -7.0574   -1.42315
0.028553 0.095128  -6.0574   -0.60630
0.028526 0.095126  -5.0574    0.20775
0.028485 0.095130  -4.0574    1.01230
0.028431 0.095139  -3.0574    1.80945
0.028365 0.095155  -2.0574    2.59880
0.028289 0.095176  -1.0574    3.37075
0.028211 0.095204  -0.0574    4.12505
0.028133 0.095239   0.9426    4.86825
0.028051 0.095281   1.9426    5.60815
0.027964 0.095330   2.9426    6.35165
0.027872 0.095386   3.9427    7.10315

From fb scan:
Fixed   = ['D(9,10,21,22)', 'S', '50', '-1.000']
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.093435 -45.1001  -45.81315
0.000160 0.093421 -44.1000  -45.17380
0.000333 0.093418 -43.1000  -44.54510
0.000522 0.093426 -42.1000  -43.92735
0.000728 0.093447 -41.1000  -43.31915
0.000955 0.093481 -40.1000  -42.71755
0.001207 0.093526 -39.1000  -42.12015
0.001487 0.093585 -38.1001  -41.51945
0.001793 0.093656 -37.1001  -40.92350
0.002125 0.093739 -36.1001  -40.32805
0.002475 0.093834 -35.1001  -39.73055
0.002843 0.093941 -34.1001  -39.13360
0.003230 0.094061 -33.1000  -38.53220
0.003621 0.094193 -32.1001  -37.92630
0.004038 0.094337 -31.1000  -37.32705
0.004471 0.094493 -30.1000  -36.72595
0.004930 0.094661 -29.1001  -36.11460
0.005413 0.094841 -28.1001  -35.50180
0.005926 0.095033 -27.1001  -34.88250
0.006477 0.095236 -26.1001  -34.25860
0.007070 0.095450 -25.1002  -33.62255
0.007705 0.095673 -24.1001  -32.98610
0.008362 0.095906 -23.1001  -32.32245
0.009071 0.096148 -22.1002  -31.64185
0.009811 0.096396 -21.1003  -30.94335
0.022282 0.096974 -20.1001  -22.45920
0.023696 0.096919 -19.1002  -20.75120
0.024441 0.096844 -18.1001  -19.55535
0.024922 0.096762 -17.1002  -18.56650
0.025408 0.096677 -16.1001  -17.55520
0.025840 0.096590 -15.1001  -16.57660
0.026196 0.096501 -14.1001  -15.65190
0.026498 0.096412 -13.1001  -14.75280
0.026775 0.096324 -12.1001  -13.87145
0.027053 0.096237 -11.1000  -12.98725
0.027236 0.096152 -10.1000  -12.15985
0.027398 0.096071  -9.1000  -11.33810
0.027541 0.095994  -8.1000  -10.53145
0.027677 0.095921  -7.1000   -9.72480
0.027817 0.095851  -6.1000   -8.90000
0.027967 0.095786  -5.1000   -8.06915
0.028082 0.095725  -4.1000   -7.24505
0.028180 0.095668  -3.1000   -6.44950
0.028251 0.095616  -2.1000   -5.65700
0.028316 0.095570  -1.1000   -4.86935
0.028386 0.095531  -0.1000   -4.09340
0.028457 0.095497   0.9000   -3.33900
0.028505 0.095471   1.9000   -2.59285
0.028558 0.095452   2.9000   -1.85930
0.028612 0.095441   3.8999   -1.12445
0.028662 0.095438   4.8999   -0.36235
