From fa scan:
Fixed   = ['D(9,10,21,22)', 'S', '30', '1.0000']
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.090118 -26.1292  -33.16525
0.000456 0.090410 -25.1294  -32.60010
0.000932 0.090719 -24.1293  -32.04845
0.001423 0.091043 -23.1293  -31.50480
0.001932 0.091384 -22.1293  -30.95145
0.002459 0.091740 -21.1293  -30.39925
0.003005 0.092113 -20.1293  -29.84605
0.003570 0.092501 -19.1293  -29.28815
0.004154 0.092906 -18.1293  -28.72575
0.004755 0.093326 -17.1293  -28.16155
0.005376 0.093762 -16.1293  -27.59080
0.006017 0.094215 -15.1293  -27.01410
0.023077 0.089805 -14.1292   -7.07440
0.023101 0.089749 -13.1293   -6.27545
0.023090 0.089701 -12.1293   -5.47755
0.023085 0.089660 -11.1294   -4.68565
0.023085 0.089626 -10.1294   -3.89945
0.023073 0.089600  -9.1294   -3.11720
0.023061 0.089580  -8.1294   -2.31910
0.023058 0.089566  -7.1294   -1.49780
0.023044 0.089558  -6.1294   -0.67625
0.023018 0.089556  -5.1293    0.14100
0.022979 0.089559  -4.1293    0.94880
0.022928 0.089568  -3.1293    1.74955
0.022863 0.089583  -2.1293    2.54295
0.022787 0.089603  -1.1293    3.31720
0.022711 0.089630  -0.1293    4.07365
0.022633 0.089664   0.8707    4.82070
0.022550 0.089705   1.8707    5.56380
0.022461 0.089753   2.8707    6.30985
0.022366 0.089807   3.8707    7.06485

From fb scan:
Fixed   = ['D(9,10,21,22)', 'S', '50', '-1.000']
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.093097 -45.1297  -45.85100
0.000165 0.093083 -44.1297  -45.21470
0.000338 0.093081 -43.1297  -44.58785
0.000525 0.093090 -42.1297  -43.97145
0.000727 0.093111 -41.1297  -43.36555
0.000950 0.093145 -40.1297  -42.76700
0.001193 0.093192 -39.1297  -42.17320
0.001464 0.093252 -38.1297  -41.57385
0.001762 0.093324 -37.1297  -40.98270
0.002090 0.093409 -36.1297  -40.38255
0.002444 0.093506 -35.1297  -39.78370
0.002812 0.093614 -34.1297  -39.18545
0.003197 0.093735 -33.1297  -38.57680
0.003594 0.093868 -32.1297  -37.97440
0.004012 0.094013 -31.1297  -37.37470
0.004451 0.094171 -30.1297  -36.77190
0.004901 0.094340 -29.1297  -36.16615
0.005381 0.094521 -28.1297  -35.55060
0.005893 0.094714 -27.1297  -34.93395
0.006433 0.094919 -26.1297  -34.31070
0.007022 0.095134 -25.1298  -33.67895
0.007668 0.095359 -24.1297  -33.02500
0.008322 0.095593 -23.1297  -32.37225
0.009022 0.095836 -22.1298  -31.69445
0.009781 0.096086 -21.1299  -30.97920
0.021707 0.096723 -20.1297  -22.88535
0.023373 0.096678 -19.1298  -20.97735
0.024201 0.096608 -18.1297  -19.70840
0.024745 0.096530 -17.1298  -18.67385
0.025207 0.096449 -16.1297  -17.68020
0.025646 0.096365 -15.1297  -16.68015
0.026023 0.096278 -14.1297  -15.73270
0.026296 0.096192 -13.1297  -14.83540
0.026607 0.096106 -12.1297  -13.95180
0.026906 0.096021 -11.1297  -13.05720
0.027086 0.095938 -10.1296  -12.21695
0.027242 0.095858  -9.1296  -11.39565
0.027404 0.095782  -8.1296  -10.57965
0.027549 0.095710  -7.1296   -9.77545
0.027687 0.095641  -6.1296   -8.93875
0.027816 0.095577  -5.1296   -8.10320
0.027937 0.095516  -4.1296   -7.28235
0.028036 0.095460  -3.1296   -6.47940
0.028112 0.095409  -2.1296   -5.68575
0.028178 0.095363  -1.1296   -4.89530
0.028246 0.095324  -0.1296   -4.11660
0.028315 0.095290   0.8704   -3.35875
0.028371 0.095264   1.8703   -2.61225
0.028422 0.095246   2.8703   -1.87885
0.028477 0.095235   3.8703   -1.14295
0.028525 0.095231   4.8703   -0.37975
