From fa scan:
Fixed   = D(9,10,21,22), S, 50, 1.0000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.092682 -46.1476  -44.79790
0.000101 0.092688 -45.1476  -44.17695
0.000231 0.092706 -44.1476  -43.56490
0.000372 0.092737 -43.1477  -42.94715
0.000520 0.092782 -42.1477  -42.35020
0.000685 0.092840 -41.1477  -41.76680
0.000867 0.092911 -40.1477  -41.18830
0.001067 0.092997 -39.1476  -40.60625
0.001287 0.093096 -38.1477  -40.01840
0.001526 0.093209 -37.1477  -39.43150
0.001783 0.093336 -36.1477  -38.85730
0.002063 0.093477 -35.1476  -38.25805
0.002357 0.093632 -34.1476  -37.70135
0.002671 0.093802 -33.1476  -37.13220
0.003004 0.093987 -32.1476  -36.56420
0.003354 0.094187 -31.1476  -35.99850
0.003722 0.094402 -30.1476  -35.43655
0.004108 0.094633 -29.1476  -34.87510
0.004513 0.094879 -28.1476  -34.31135
0.004936 0.095141 -27.1476  -33.74785
0.005377 0.095418 -26.1476  -33.18740
0.005834 0.095710 -25.1476  -32.63020
0.006309 0.096019 -24.1476  -32.07390
0.006801 0.096343 -23.1476  -31.51940
0.007310 0.096683 -22.1476  -30.96950
0.007836 0.097040 -21.1476  -30.41970
0.008381 0.097412 -20.1476  -29.86615
0.008945 0.097800 -19.1476  -29.31105
0.009527 0.098205 -18.1476  -28.74910
0.010128 0.098625 -17.1476  -28.18530
0.010748 0.099061 -16.1476  -27.61810
0.011387 0.099513 -15.1476  -27.04250
0.012045 0.099981 -14.1476  -26.45795
0.028450 0.095085 -13.1475   -6.28710
0.028434 0.095036 -12.1476   -5.49485
0.028447 0.094995 -11.1477   -4.70965
0.028436 0.094961 -10.1477   -3.92375
0.028423 0.094935  -9.1477   -3.13930
0.028413 0.094915  -8.1477   -2.33830
0.028408 0.094901  -7.1477   -1.51725
0.028397 0.094893  -6.1477   -0.69295
0.028374 0.094891  -5.1477    0.12615
0.028336 0.094894  -4.1477    0.93370
0.028284 0.094903  -3.1477    1.73420
0.028220 0.094917  -2.1477    2.52860
0.028145 0.094938  -1.1477    3.30455
0.028067 0.094965  -0.1477    4.06160
0.027989 0.094998   0.8523    4.80790
0.027906 0.095039   1.8523    5.55060
0.027817 0.095086   2.8523    6.29720
0.027722 0.095141   3.8523    7.05220

From fb scan:
Fixed   = D(9,10,21,22), S, 50, -1.000
Opposit = D(18,10,21,29)

      S0       S1  D_fixed  D_average
0.000000 0.093016 -45.1371  -45.86120
0.000160 0.093002 -44.1370  -45.22235
0.000332 0.093001 -43.1370  -44.59395
0.000520 0.093010 -42.1370  -43.97610
0.000725 0.093032 -41.1370  -43.36800
0.000949 0.093067 -40.1370  -42.76645
0.001197 0.093114 -39.1370  -42.16875
0.001472 0.093174 -38.1370  -41.57190
0.001774 0.093246 -37.1370  -40.97640
0.002102 0.093330 -36.1371  -40.38025
0.002454 0.093427 -35.1370  -39.78485
0.002818 0.093535 -34.1371  -39.18400
0.003200 0.093656 -33.1371  -38.58205
0.003596 0.093789 -32.1371  -37.97895
0.004011 0.093935 -31.1370  -37.37975
0.004442 0.094092 -30.1370  -36.77840
0.004892 0.094262 -29.1370  -36.17525
0.005372 0.094443 -28.1371  -35.55870
0.005877 0.094637 -27.1371  -34.94270
0.006415 0.094841 -26.1371  -34.31760
0.006990 0.095057 -25.1371  -33.69235
0.007618 0.095283 -24.1372  -33.04845
0.008280 0.095518 -23.1371  -32.39545
0.008980 0.095761 -22.1371  -31.71350
0.009732 0.096012 -21.1371  -31.01455
0.010482 0.096270 -20.1372  -30.31600
0.023279 0.096624 -19.1371  -21.04995
0.024154 0.096556 -18.1371  -19.74040
0.024706 0.096479 -17.1371  -18.68870
0.025156 0.096399 -16.1371  -17.70145
0.025605 0.096315 -15.1371  -16.70405
0.025984 0.096230 -14.1371  -15.75960
0.026286 0.096144 -13.1371  -14.86080
0.026570 0.096058 -12.1371  -13.97270
0.026867 0.095974 -11.1370  -13.06900
0.027057 0.095891 -10.1370  -12.23275
0.027223 0.095812  -9.1370  -11.40615
0.027369 0.095736  -8.1370  -10.59160
0.027502 0.095664  -7.1370   -9.78540
0.027639 0.095596  -6.1370   -8.96290
0.027792 0.095532  -5.1370   -8.12450
0.027911 0.095471  -4.1370   -7.29175
0.028012 0.095415  -3.1370   -6.48975
0.028083 0.095364  -2.1370   -5.69235
0.028149 0.095318  -1.1370   -4.90135
0.028222 0.095279  -0.1370   -4.12210
0.028294 0.095246   0.8630   -3.36625
0.028342 0.095219   1.8630   -2.61835
0.028395 0.095201   2.8630   -1.88210
0.028451 0.095190   3.8629   -1.14715
0.028499 0.095186   4.8629   -0.38410
